H(A/m),M(A/m)
0,0
0.28513,26034.37746
0.57026,66759.29208
0.85539,101015.0101
1.14052,135078.354
1.42565,168334.6731
1.71078,197812.8593
1.99591,238073.3449
2.28103,270232.931
2.56616,298970.2816
2.85129,331483.7811
3.13642,360160.1074
3.42155,388297.9945
3.70668,421208.2329
3.99181,446982.0484
4.27694,480410.6626
4.56207,506836.695
4.8472,534575.4501
5.13233,561724.191
5.41746,585957.577
5.70259,610112.0358
5.98772,637142.5582
6.27284,660324.1163
6.55797,687155.8947
6.8431,710181.2613
7.12823,730463.8541
7.41336,750476.5265
7.69849,769459.4879
7.98362,785532.1153
8.26875,800607.8587
8.55388,816382.4157
8.83901,830235.7146
9.12414,840888.6727
9.40927,850080.1348
9.6944,858616.606
9.97953,867076.143
10.26466,875451.5814
10.54978,883663.2455
10.83491,891493.8557
11.12004,897603.2368
11.40517,902333.0498
11.6903,906531.2305
11.97543,910699.3699
12.26056,914406.5784
12.54569,917623.291
12.83082,920349.5077
13.11595,922585.2285
13.40108,924330.4534
13.68621,925585.1823
13.97134,926349.4154
