H(A/m),M(A/m)
0,0
69.84855,10442.64374
141.47164,20885.28749
220.92206,31327.93123
315.83386,41770.57497
406.12482,52213.21872
505.3412,62655.86246
595.69365,73098.5062
656.61677,83541.14995
721.27638,93983.79369
767.58732,104426.4374
805.42085,114869.0812
839.9747,125311.7249
873.0849,135754.3687
901.09987,146197.0124
922.87465,156639.6562
943.31412,167082.2999
961.53981,177524.9436
978.5649,187967.5874
995.14343,198410.2311
1009.20655,208852.8749
1022.44829,219295.5186
1034.01504,229738.1624
1044.70331,240180.8061
1054.16169,250623.4498
1062.6959,261066.0936
1071.01928,271508.7373
1079.34266,281951.3811
1088.22827,292394.0248
1097.30831,302836.6686
1106.38836,313279.3123
1115.46841,323721.956
1123.52238,334164.5998
1131.46743,344607.2435
1139.41247,355049.8873
1147.41285,365492.531
1156.20915,375935.1748
1165.00545,386377.8185
1173.80174,396820.4622
1181.75206,407263.106
1188.917,417705.7497
1195.15953,428148.3935
1201.40207,438591.0372
1207.6446,449033.681
1213.88713,459476.3247
1220.93495,469918.9684
1227.9441,480361.6122
1234.56497,490804.2559
1241.18584,501246.8997
1247.80671,511689.5434
1254.42758,522132.1872
1261.71902,532574.8309
1269.28573,543017.4746
1276.85244,553460.1184
1283.81592,563902.7621
1290.43678,574345.4059
1297.05765,584788.0496
1303.67852,595230.6934
1310.31696,605673.3371
1317.50533,616115.9808
1324.22517,626558.6246
1330.46771,637001.2683
1336.60131,647443.9121
1342.27634,657886.5558
1347.95137,668329.1996
1354.13065,678771.8433
1360.37318,689214.4871
1367.16916,699657.1308
1374.35753,710099.7745
1381.5459,720542.4183
1388.73428,730985.062
1395.92265,741427.7058
1402.46278,751870.3495
1408.54317,762312.9933
1414.62356,772755.637
1420.70394,783198.2807
1426.78433,793640.9245
1433.20733,804083.5682
1439.85523,814526.212
1446.50312,824968.8557
1453.15101,835411.4995
1460.44986,845854.1432
1468.07283,856296.7869
1476.11246,866739.4307
1483.56174,877182.0744
1490.75011,887624.7182
1497.93848,898067.3619
1505.12685,908510.0057
1512.31522,918952.6494
1519.5036,929395.2931
1526.69197,939837.9369
1533.90523,950280.5806
1542.70153,960723.2244
1551.49782,971165.8681
1560.29412,981608.5119
1570.6304,992051.1556
1581.98046,1002490
1593.33052,1012940
1604.68058,1023380
1616.03064,1033820
1627.3807,1044260
1638.79518,1054710
1652.41467,1065150
1667.07516,1075590
1683.11781,1086030
1700.13119,1096480
1718.88631,1106920
1737.42474,1117360
1757.64987,1127810
1777.40647,1138250
1797.2802,1148690
1818.33755,1159130
1843.87518,1169580
1867.94574,1180020
1890.64586,1190460
1917.3431,1200900
1949.82079,1211350
1989.64263,1221790
2033.30639,1232230
2067.23944,1242670
2099.39794,1253120
2152.18919,1263560
2210.66133,1274000
2270.04709,1284450
2331.15468,1294890
