H (A/m),M (A/m)
0,0
0.126590,12159.437650
0.130757,12660.486493
0.135062,13161.535337
0.139508,13662.584180
0.144101,14163.633023
0.148845,14664.681866
0.153745,15165.730710
0.158806,15666.779553
0.164034,16167.828396
0.169434,16668.877239
0.175012,17169.926083
0.180773,17670.974926
0.186724,18172.023769
0.192871,18673.072612
0.199221,19174.121456
0.205779,19675.170299
0.212553,20176.219142
0.219551,20677.267985
0.226778,21178.316829
0.234244,21679.365672
0.241955,22180.414515
0.249921,22943.029509
0.258148,23778.567571
0.266646,24614.105632
0.275424,25449.643694
0.284491,26285.181755
0.293857,27120.719816
0.303531,27956.257878
0.313523,28791.795939
0.323844,29627.334001
0.334506,30462.872062
0.345518,31298.410123
0.356892,32133.948185
0.368641,32969.486246
0.380777,33805.024308
0.393312,34640.562369
0.406260,35476.100430
0.419634,36311.638492
0.433449,37147.176553
0.447718,37982.714615
0.462457,39410.584149
0.477681,41838.954135
0.493406,44267.324121
0.509650,46695.694108
0.526427,49124.064094
0.543757,51552.434080
0.561658,53980.804066
0.580148,56409.174052
0.599247,58837.544038
0.618974,61265.914024
0.639351,63694.284011
0.660398,64212.591001
0.682139,64311.506242
0.704595,64410.421483
0.727790,64509.336724
0.751750,64608.251965
0.776497,64707.167207
0.802060,64806.082448
0.828464,66385.050174
0.855737,69038.215868
0.883908,71691.381563
0.913007,74344.547257
0.943063,76997.712951
0.974109,79650.878645
1.006177,82304.044340
1.039300,84957.210034
1.073515,87610.375728
1.108855,90263.541423
1.145359,92916.707117
1.183064,95569.872811
1.222011,98223.038505
1.262240,100876.204200
1.303793,103658.984375
1.346714,106468.223654
1.391049,109277.462934
1.436842,112086.702213
1.484143,114895.941492
1.533002,118405.497397
1.583469,122274.565054
1.635597,126143.632712
1.689441,130012.700369
1.745058,133881.768027
1.802506,137750.835684
1.861845,141619.903341
1.923137,145488.970999
1.986447,151861.002383
2.051842,158541.313956
2.119389,165221.625529
2.189160,169613.041339
2.261227,172766.657201
2.335668,175920.273062
2.412558,179073.888924
2.491980,182227.504785
2.574017,185381.120647
2.658754,188534.736509
2.746281,193980.012978
2.836689,203217.779506
2.930074,212455.546034
3.026533,220179.614774
3.126167,223614.342946
3.229081,227049.071118
3.335384,230483.799289
3.445185,233918.527461
3.558602,237353.255633
3.675752,242063.659836
3.796758,248154.347572
3.921749,254245.035307
4.050854,260335.723043
4.184209,266426.410778
4.321954,272548.068498
4.464234,278763.179794
4.611198,285262.991232
4.762999,292890.522497
4.919799,300518.053762
5.081760,308145.585027
5.249053,315773.116292
5.421853,322178.532632
5.600341,326407.977153
5.784706,330637.421674
5.975140,335320.696222
6.171843,343529.669120
6.375022,351738.642017
6.584889,359947.614915
6.801666,368156.587812
7.025578,374788.317320
7.256862,380860.644585
7.495760,388948.532965
7.742522,398150.527841
7.997408,407352.522717
8.260685,416554.517593
8.532629,422440.026645
8.813525,426382.353720
9.103669,431306.225772
9.403364,440890.051780
9.712925,450473.877788
10.032677,460057.703797
10.362955,469179.061526
10.704107,476660.287554
11.056489,485560.025345
11.420471,495807.895636
11.796436,506055.765928
12.184778,516303.636220
12.585904,522216.367296
13.000235,527722.719445
13.428206,533520.559784
13.870266,545854.453029
14.326879,558188.346274
14.798523,568823.201472
15.285695,577514.494861
15.788904,586205.788249
16.308678,594897.081637
16.845564,603588.375026
17.400125,612279.668414
17.972941,620970.961802
