 H(A/m) ;M(A/m)
0.0074;121.1491
0.0381;622.3661
0.0688;1123.5830
0.0995;1624.8000
0.1302;2126.0169
0.1610;2627.2339
0.1918;3128.4508
0.2227;3629.6677
0.2536;4130.8847
0.2845;4632.1016
0.3154;5133.3186
0.3464;5634.5355
0.3774;6135.7525
0.4084;6636.9694
0.4395;7138.1863
0.4706;7639.4033
0.5017;8140.6202
0.5329;8641.8372
0.5641;9143.0541
0.5954;9644.2710
0.6267;10145.4880
0.6580;10646.7049
0.6893;11147.9219
0.7207;11649.1388
0.7521;12150.3558
0.7836;12651.5727
0.8151;13152.7896
0.8466;13654.0066
0.8782;14155.2235
0.9098;14656.4405
0.9415;15157.6574
0.9732;15658.8744
1.0049;16160.0913
1.0366;16661.3082
1.0684;17162.5252
1.1003;17663.7421
1.1322;18164.9591
1.1641;18666.1760
1.1960;19167.3929
1.2280;19668.6099
1.2601;20169.8268
1.2922;20671.0438
1.3243;21172.2607
1.3564;21673.4777
1.3886;22174.6946
1.4209;22675.9115
1.4532;23177.1285
1.4855;23678.3454
1.5178;24179.5624
1.5502;24680.7793
1.5827;25181.9963
1.6152;25683.2132
1.6477;26184.4301
1.6803;26685.6471
1.7129;27186.8640
1.7455;27688.0810
1.7782;28189.2979
1.8110;28690.5148
1.8438;29191.7318
1.8766;29692.9487
1.9095;30194.1657
1.9424;30695.3826
1.9753;31196.5996
2.0083;31697.8165
2.0413;32199.0334
2.0744;32700.2504
2.1076;33201.4673
2.1407;33702.6843
2.1739;34203.9012
2.2072;34705.1181
2.2405;35206.3351
2.2738;35707.5520
2.3072;36208.7690
2.3406;36709.9859
2.3741;37211.2029
2.4076;37712.4198
2.4412;38213.6367
2.4748;38714.8537
2.5084;39216.0706
2.5421;39717.2876
2.5759;40218.5045
2.6096;40719.7215
2.6435;41220.9384
2.6774;41722.1553
2.7113;42223.3723
2.7453;42724.5892
2.7794;43225.8062
2.8135;43727.0231
2.8476;44228.2400
2.8818;44729.4570
2.9161;45230.6739
2.9505;45731.8909
2.9849;46233.1078
3.0193;46734.3248
3.0538;47235.5417
3.0884;47736.7586
3.1231;48237.9756
3.1578;48739.1925
3.1926;49240.4095
3.2275;49741.6264
3.2624;50242.8434
3.2974;50744.0603
3.3325;51245.2772
3.3677;51746.4942
3.4029;52247.7111
3.4382;52748.9281
3.4736;53250.1450
3.5091;53751.3619
3.5447;54252.5789
3.5803;54753.7958
3.6161;55255.0128
3.6519;55756.2297
3.6878;56257.4467
3.7239;56758.6636
3.7600;57259.8805
3.7962;57761.0975
3.8325;58262.3144
3.8689;58763.5314
3.9054;59264.7483
3.9420;59765.9652
3.9788;60267.1822
4.0156;60768.3991
4.0526;61269.6161
4.0896;61770.8330
4.1268;62272.0500
4.1641;62773.2669
4.2016;63274.4838
4.2391;63775.7008
4.2768;64276.9177
4.3146;64778.1347
4.3525;65279.3516
4.3906;65780.5685
4.4288;66281.7855
4.4672;66783.0024
4.5057;67284.2194
4.5443;67785.4363
4.5831;68286.6533
4.6221;68787.8702
4.6612;69289.0871
4.7005;69790.3041
4.7399;70291.5210
4.7795;70792.7380
4.8193;71293.9549
4.8592;71795.1718
4.8994;72296.3888
4.9397;72797.6057
4.9802;73298.8227
5.0208;73800.0396
5.0617;74301.2566
5.1027;74802.4735
5.1440;75303.6904
5.1854;75804.9074
5.2271;76306.1243
5.2689;76807.3413
5.3110;77308.5582
5.3533;77809.7751
5.3957;78310.9921
5.4384;78812.2090
5.4813;79313.4260
5.5245;79814.6429
5.5678;80315.8598
5.6113;80817.0768
5.6551;81318.2937
5.6991;81819.5107
5.7433;82320.7276
5.7878;82821.9446
5.8324;83323.1615
5.8773;83824.3784
5.9225;84325.5954
5.9678;84826.8123
6.0134;85328.0293
6.0592;85829.2462
6.1052;86330.4631
6.1515;86831.6801
6.1980;87332.8970
6.2447;87834.1140
6.2917;88335.3309
6.3389;88836.5478
6.3864;89337.7648
6.4340;89838.9817
6.4819;90340.1987
6.5301;90841.4156
6.5785;91342.6325
6.6271;91843.8495
6.6760;92345.0664
6.7251;92846.2834
6.7745;93347.5003
6.8241;93848.7173
6.8739;94349.9342
6.9240;94851.1511
6.9743;95352.3681
7.0248;95853.5850
7.0756;96354.8020
7.1267;96856.0189
7.1779;97357.2358
7.2294;97858.4528
7.2812;98359.6697
7.3332;98860.8867
7.3854;99362.1036
7.4379;99863.3205
7.4906;100364.5375
7.5435;100865.7544
7.5967;101366.9714
7.6501;101868.1883
7.7037;102369.4052
7.7576;102870.6222
7.8117;103371.8391
7.8660;103873.0561
7.9205;104374.2730
7.9753;104875.4899
8.0303;105376.7069
8.0855;105877.9238
8.1410;106379.1408
8.1966;106880.3577
8.2525;107381.5746
8.3087;107882.7916
8.3650;108384.0085
8.4216;108885.2255
8.4785;109386.4424
8.5356;109887.6593
8.5929;110388.8763
8.6505;110890.0932
8.7084;111391.3102
8.7665;111892.5271
8.8249;112393.7440
8.8835;112894.9610
8.9424;113396.1779
9.0016;113897.3949
