H(A/m),M(A/m)
0,0
0.65,3028
2.25,10480
3.85,17933
5.46,25386
7.06,32841
8.66,40295
10.26,47750
11.86,55205
13.46,62660
15.07,70115
16.67,77570
18.27,85024
19.87,92477
21.47,99929
23.07,107381
24.67,114831
26.28,122280
27.88,129728
29.48,137174
31.08,144618
32.68,152060
34.28,159500
35.89,166938
37.49,174373
39.09,181806
40.69,189236
42.29,196664
43.89,204088
45.5,211509
47.1,218926
48.7,226340
50.3,233751
51.9,241157
53.5,248560
55.11,255959
56.71,263355
58.31,270747
59.91,278135
61.51,285520
63.11,292901
64.71,300280
66.32,307654
67.92,315026
69.52,322394
71.12,329760
72.72,337122
74.32,344481
75.93,351837
77.53,359190
79.13,366540
80.73,373888
82.33,381233
83.93,388579
85.54,395925
87.14,403275
88.74,410630
90.34,417991
91.94,425361
93.54,432740
95.15,440130
96.75,447534
98.35,454953
99.95,462388
101.55,469841
103.15,477309
104.75,484792
106.36,492288
107.96,499794
109.56,507309
111.16,514831
112.76,522358
114.36,529889
115.97,537421
117.57,544953
119.17,552482
120.77,560008
122.37,567528
123.97,575040
125.58,582543
127.18,590035
128.78,597514
130.38,604977
131.98,612425
133.58,619855
135.19,627266
136.79,634658
138.39,642029
139.99,649378
141.59,656704
143.19,664007
144.8,671285
146.4,678536
148,685761
149.6,692958
151.2,700125
152.8,707262
154.4,714364
156.01,721430
157.61,728458
159.21,735445
160.81,742389
162.41,749288
164.01,756138
165.62,762938
167.22,769685
168.82,776377
170.42,783012
172.02,789586
173.62,796096
175.23,802537
176.83,808907
178.43,815200
180.03,821414
181.63,827545
183.23,833588
184.84,839539
186.44,845396
188.04,851153
189.64,856808
191.24,862356
192.84,867795
194.44,873124
196.05,878338
197.65,883438
199.25,888419
200.85,893281
202.45,898023
204.05,902647
205.66,907154
207.26,911545
208.86,915821
210.46,919985
212.06,924038
213.66,927980
215.27,931814
216.87,935540
218.47,939161
220.07,942677
221.67,946090
223.27,949401
224.88,952612
226.48,955723
228.08,958738
229.68,961655
231.28,964479
232.88,967209
234.48,969849
236.09,972400
237.69,974865
239.29,977245
240.89,979543
242.49,981761
244.09,983901
245.7,985965
247.3,987955
248.9,989874
250.5,991723
252.1,993504
253.7,995219
255.31,996870
256.91,998458
258.51,999985
260.11,1001450
261.71,1002860
263.31,1004220
264.92,1005520
266.52,1006770
268.12,1007960
269.72,1009110
271.32,1010210
272.92,1011270
274.52,1012280
276.13,1013240
277.73,1014170
279.33,1015060
280.93,1015910
282.53,1016730
284.13,1017510
285.74,1018260
287.34,1018980
288.94,1019670
290.54,1020330
292.14,1020960
293.74,1021580
295.35,1022170
296.95,1022740
298.55,1023290
300.15,1023820
301.75,1024340
303.35,1024840
304.96,1025330
306.56,1025800
308.16,1026260
309.76,1026710
311.36,1027130
312.96,1027550
314.56,1027950
316.17,1028340
317.77,1028710
319.37,1029070
320.97,1029420
322.57,1029760
324.17,1030080
325.78,1030390
327.38,1030690
