H(A/m)	 M(A/m)
0.00	 0 
0.65	 3,028 
2.25	 10,480 
3.85	 17,933 
5.46	 25,386 
7.06	 32,841 
8.66	 40,295 
10.26	 47,750 
11.86	 55,205 
13.46	 62,660 
15.07	 70,115 
16.67	 77,570 
18.27	 85,024 
19.87	 92,477 
21.47	 99,929 
23.07	 107,381 
24.67	 114,831 
26.28	 122,280 
27.88	 129,728 
29.48	 137,174 
31.08	 144,618 
32.68	 152,060 
34.28	 159,500 
35.89	 166,938 
37.49	 174,373 
39.09	 181,806 
40.69	 189,236 
42.29	 196,664 
43.89	 204,088 
45.50	 211,509 
47.10	 218,926 
48.70	 226,340 
50.30	 233,751 
51.90	 241,157 
53.50	 248,560 
55.11	 255,959 
56.71	 263,355 
58.31	 270,747 
59.91	 278,135 
61.51	 285,520 
63.11	 292,901 
64.71	 300,280 
66.32	 307,654 
67.92	 315,026 
69.52	 322,394 
71.12	 329,760 
72.72	 337,122 
74.32	 344,481 
75.93	 351,837 
77.53	 359,190 
79.13	 366,540 
80.73	 373,888 
82.33	 381,233 
83.93	 388,579 
85.54	 395,925 
87.14	 403,275 
88.74	 410,630 
90.34	 417,991 
91.94	 425,361 
93.54	 432,740 
95.15	 440,130 
96.75	 447,534 
98.35	 454,953 
99.95	 462,388 
101.55	 469,841 
103.15	 477,309 
104.75	 484,792 
106.36	 492,288 
107.96	 499,794 
109.56	 507,309 
111.16	 514,831 
112.76	 522,358 
114.36	 529,889 
115.97	 537,421 
117.57	 544,953 
119.17	 552,482 
120.77	 560,008 
122.37	 567,528 
123.97	 575,040 
125.58	 582,543 
127.18	 590,035 
128.78	 597,514 
130.38	 604,977 
131.98	 612,425 
133.58	 619,855 
135.19	 627,266 
136.79	 634,658 
138.39	 642,029 
139.99	 649,378 
141.59	 656,704 
143.19	 664,007 
144.80	 671,285 
146.40	 678,536 
148.00	 685,761 
149.60	 692,958 
151.20	 700,125 
152.80	 707,262 
154.40	 714,364 
156.01	 721,430 
157.61	 728,458 
159.21	 735,445 
160.81	 742,389 
162.41	 749,288 
164.01	 756,138 
165.62	 762,938 
167.22	 769,685 
168.82	 776,377 
170.42	 783,012 
172.02	 789,586 
173.62	 796,096 
175.23	 802,537 
176.83	 808,907 
178.43	 815,200 
180.03	 821,414 
181.63	 827,545 
183.23	 833,588 
184.84	 839,539 
186.44	 845,396 
188.04	 851,153 
189.64	 856,808 
191.24	 862,356 
192.84	 867,795 
194.44	 873,124 
196.05	 878,338 
197.65	 883,438 
199.25	 888,419 
200.85	 893,281 
202.45	 898,023 
204.05	 902,647 
205.66	 907,154 
207.26	 911,545 
208.86	 915,821 
210.46	 919,985 
212.06	 924,038 
213.66	 927,980 
215.27	 931,814 
216.87	 935,540 
218.47	 939,161 
220.07	 942,677 
221.67	 946,090 
223.27	 949,401 
224.88	 952,612 
226.48	 955,723 
228.08	 958,738 
229.68	 961,655 
231.28	 964,479 
232.88	 967,209 
234.48	 969,849 
236.09	 972,400 
237.69	 974,865 
239.29	 977,245 
240.89	 979,543 
242.49	 981,761 
244.09	 983,901 
245.70	 985,965 
247.30	 987,955 
248.90	 989,874 
250.50	 991,723 
252.10	 993,504 
253.70	 995,219 
255.31	 996,870 
256.91	 998,458 
258.51	 999,985 
260.11	 1,001,450 
261.71	 1,002,860 
263.31	 1,004,220 
264.92	 1,005,520 
266.52	 1,006,770 
268.12	 1,007,960 
269.72	 1,009,110 
271.32	 1,010,210 
272.92	 1,011,270 
274.52	 1,012,280 
276.13	 1,013,240 
277.73	 1,014,170 
279.33	 1,015,060 
280.93	 1,015,910 
282.53	 1,016,730 
284.13	 1,017,510 
285.74	 1,018,260 
287.34	 1,018,980 
288.94	 1,019,670 
290.54	 1,020,330 
292.14	 1,020,960 
293.74	 1,021,580 
295.35	 1,022,170 
296.95	 1,022,740 
298.55	 1,023,290 
300.15	 1,023,820 
301.75	 1,024,340 
303.35	 1,024,840 
304.96	 1,025,330 
306.56	 1,025,800 
308.16	 1,026,260 
309.76	 1,026,710 
311.36	 1,027,130 
312.96	 1,027,550 
314.56	 1,027,950 
316.17	 1,028,340 
317.77	 1,028,710 
319.37	 1,029,070 
320.97	 1,029,420 
322.57	 1,029,760 
324.17	 1,030,080 
325.78	 1,030,390 
327.38	 1,030,690 
328.98	 1,030,980 
330.58	 1,031,250 
332.18	 1,031,520 
333.78	 1,031,770 
335.39	 1,032,020 
336.99	 1,032,250 
338.59	 1,032,470 
340.19	 1,032,680 
341.79	 1,032,890 
343.39	 1,033,080 
345.00	 1,033,260 
346.60	 1,033,440 
348.20	 1,033,610 
349.80	 1,033,760 
351.40	 1,033,910 
353.00	 1,034,050 
354.60	 1,034,190 
356.21	 1,034,310 
357.81	 1,034,430 
359.41	 1,034,550 
361.01	 1,034,660 
362.61	 1,034,760 
364.21	 1,034,850 
365.82	 1,034,950 
367.42	 1,035,040 
369.02	 1,035,120 
370.62	 1,035,200 
372.22	 1,035,280 
373.82	 1,035,360 
375.43	 1,035,430 
377.03	 1,035,510 
378.63	 1,035,580 
380.23	 1,035,650 
381.83	 1,035,720 
383.43	 1,035,790 
385.04	 1,035,860 
386.64	 1,035,930 
388.24	 1,035,990 
389.84	 1,036,060 
391.44	 1,036,130 
393.04	 1,036,200 
394.64	 1,036,270 
396.25	 1,036,330 
397.85	 1,036,400 
399.45	 1,036,470 
401.05	 1,036,540 
402.65	 1,036,600 
404.25	 1,036,670 
405.86	 1,036,740 
407.46	 1,036,800 
409.06	 1,036,870 
410.66	 1,036,940 
412.26	 1,037,000 
413.86	 1,037,070 
415.47	 1,037,140 
417.07	 1,037,200 
418.67	 1,037,270 
420.27	 1,037,330 
421.87	 1,037,390 
423.47	 1,037,460 
425.08	 1,037,520 
426.68	 1,037,580 
428.28	 1,037,640 
429.88	 1,037,700 
431.48	 1,037,760 
433.08	 1,037,820 
434.68	 1,037,870 
436.29	 1,037,930 
437.89	 1,037,980 
439.49	 1,038,040 
441.09	 1,038,090 
442.69	 1,038,140 
444.29	 1,038,190 
445.90	 1,038,240 
447.50	 1,038,290 
449.10	 1,038,330 
450.70	 1,038,380 
452.30	 1,038,420 
453.90	 1,038,460 
455.51	 1,038,500 
457.11	 1,038,540 
458.71	 1,038,580 
460.31	 1,038,620 
461.91	 1,038,650 
463.51	 1,038,690 
465.12	 1,038,720 
466.72	 1,038,750 
