Hanh [A/m];Manh [A/m]
0;0
0.00407938344916836;30.61649612
0.27344784295652;2032.19357485509
0.538036482942749;4033.77065359017
0.805238837181372;6035.34773232526
1.07447359142628;8036.92481106034
1.33802589368632;10038.5018897954
1.59795367903686;12040.0789685305
1.85633856161313;14041.6560472656
2.10797508509364;16043.2331260007
2.35888465801618;18044.8102047358
2.60032984317991;20046.3872834709
2.84566378033908;22047.9643622059
3.0845725481904;24049.541440941
3.33009922553591;26051.1185196761
3.58627661749186;28052.6955984112
3.85462753402017;30054.2726771463
4.11067193003756;32055.8497558814
4.37613498344735;34057.4268346164
4.65817815435124;36059.0039133515
4.95553690181371;38060.5809920866
5.26325183405901;40062.1580708217
5.55594548409756;42063.7351495568
5.83717991554042;44065.3122282919
6.14479857610227;46066.889307027
6.45305349432498;48068.466385762
6.75283784193283;50070.0434644971
7.04763851174453;52071.6205432322
7.33091820665047;54073.1976219673
7.59489694829393;56074.7747007024
7.89092018694837;58076.3517794375
8.20791099572082;60077.9288581726
8.5294382302754;62079.5059369076
8.8588687417289;64081.0830156427
9.19729242717909;66082.6600943778
9.5206796575106;68084.2371731129
9.86667729581412;70085.814251848
10.2295341774219;72087.3913305831
10.591879702486;74088.9684093182
10.9501323176857;76090.5454880532
11.3084188561947;78092.1225667883
11.6584398661955;80093.6996455234
12.0092390736021;82095.2767242585
12.3590943829276;84096.8538029936
12.7309949680422;86098.4308817287
13.1134110914873;88100.0079604638
13.500789055062;90101.5850391988
13.8810320834462;92103.1621179339
14.2757497910825;94104.739196669
14.6865385943015;96106.3162754041
15.1043066913589;98107.8933541392
15.5259651157063;100109.470432874
15.9479443433277;102111.047511609
16.3716015996155;104112.624590344
16.8100840143511;106114.20166908
17.2615114175567;108115.778747815
17.7195088952247;110117.35582655
18.1889104571408;112118.932905285
18.69710910352;114120.50998402
19.2273105194964;116122.087062755
19.7578137298133;118123.66414149
20.2833098443238;120125.241220225
20.8031696657586;122126.81829896
21.3258908661277;124128.395377695
21.8678548971998;126129.97245643
22.4054945306207;128131.549535165
22.982097704214;130133.126613901
23.5912853979557;132134.703692636
24.1849013140942;134136.280771371
24.7733977323624;136137.857850106
25.3754833003061;138139.434928841
25.9717008631039;140141.012007576
26.5870009201425;142142.589086311
27.2441586229858;144144.166165046
27.9133969992174;146145.743243781
28.5596428034083;148147.320322516
29.2316737683757;150148.897401251
29.9039365705281;152150.474479987
30.5888086764685;154152.051558722
31.3099363774537;156153.628637457
32.0477591825578;158155.205716192
32.7690194512399;160156.782794927
33.5266618150804;162158.359873662
34.3146810507808;164159.936952397
35.1369578978938;166161.514031132
35.9651933224597;168163.091109867
36.8058792041165;170164.668188602
37.5992766974523;172166.245267337
38.4266718570835;174167.822346072
39.3524353703321;176169.399424808
40.2996049613803;178170.976503543
41.2541573066411;180172.553582278
42.2616074643401;182174.130661013
43.2020518447692;184175.707739748
44.2753690890425;186177.284818483
45.3062222842861;188178.861897218
46.4697736547293;190180.438975953
47.6728147913437;192182.016054688
48.8535207439965;194183.593133423
50.1586377174018;196185.170212158
51.45182393;198186.747290893
