H [A/m],B [T]
284.0404462,0
295.7854657,0.06849183
303.5906175,0.11820855
311.3926964,0.16482078
320.3932041,0.21143269
328.195283,0.25183532
336.5996492,0.29534275
344.4017281,0.33264184
354.0045231,0.36993743
362.4058164,0.40102724
371.409397,0.43211704
379.8106903,0.46320367
389.4134854,0.49429347
397.8178516,0.5222772
408.019861,0.54405195
417.0234416,0.56892961
427.225451,0.59381044
436.828246,0.61558519
447.0302554,0.63735995
456.0338361,0.65602863
466.2358455,0.67780339
475.8386405,0.69647207
486.6429372,0.71203785
496.2457322,0.73070971
508.2484578,0.74316942
518.4504672,0.75562913
529.8539783,0.76808884
540.0590607,0.78365463
550.8602845,0.79611434
561.0653668,0.80857723
574.8688085,0.82103694
585.0708179,0.83660272
597.0735435,0.84906243
607.8778402,0.86152214
620.482853,0.87398503
632.4855786,0.88644474
646.2890203,0.89890445
659.4932475,0.91447023
674.4981909,0.92692994
687.1001308,0.93938965
701.5058598,0.95185254
713.5085854,0.96431225
727.9112414,0.97677196
741.717756,0.98923167
756.1204121,1.00169456
769.3246393,1.01415427
780.1289361,1.02661398
780.1289361,1.02665575
780.1289361,1.02669751
779.5266488,1.02363638
778.9274344,1.02678105
778.3282199,1.02682281
778.3282199,1.02686458
780.1289361,1.02690635
780.1289361,1.02694811
780.1289361,1.02698988
780.1289361,1.02703165
780.1289361,1.02707341
778.9274344,1.02711518
778.9274344,1.02715695
768.7254249,1.02409582
756.7196265,1.02103151
742.9161848,1.0179672
730.3142449,1.01490607
715.3093015,1.01494784
703.3065759,1.01188353
688.900847,1.0088224
676.298907,1.00886417
662.4923925,1.00269696
649.8904525,1.00273873
636.0870108,0.99967442
624.0812124,0.99661011
610.880058,0.99665188
598.8742596,0.99048467
586.871534,0.98742355
576.0672373,0.98435924
562.8660829,0.98129811
552.0617862,0.9782338
539.4567734,0.97517267
528.6555495,0.97210836
516.6497511,0.96904405
506.4477417,0.96598292
493.8458017,0.96291861
483.6407194,0.95985749
471.0387794,0.95679318
461.4359844,0.95373205
451.8331894,0.95377381
442.8296088,0.95070951
432.0253121,0.9476452
423.0248044,0.94458407
412.819722,0.94151976
403.8192143,0.93845863
393.614132,0.93539432
384.6136243,0.93233319
375.6100437,0.92926888
367.8079648,0.92620775
358.2051698,0.92314345
349.8038765,0.92007914
340.8002959,0.91701801
332.998217,0.9139537
324.5938508,0.91089257
316.7917719,0.90782826
307.7912642,0.90787003
300.5883997,0.9048089
292.1871064,0.89863851
284.9836273,0.89868028
276.5811049,0.89561915
269.3791622,0.89255484
261.576776,0.89259661
254.9749697,0.8864294
247.7727198,0.88336828
241.1709135,0.88030397
233.3685273,0.88034573
227.3668572,0.87417853
220.1649146,0.87111422
214.1629372,0.87115599
207.5611309,0.86498878
202.1595971,0.86503055
196.1579271,0.86196942
191.3565296,0.85890511
185.3545522,0.85584398
180.5531547,0.85277967
174.5514846,0.84971536
169.7500871,0.84665424
164.3485533,0.84358993
159.5471558,0.8405288
154.145622,0.84057056
149.9443608,0.83750626
143.9426907,0.83444513
139.1412932,0.83138082
134.3398957,0.82831969
130.1386345,0.82525538
125.337237,0.82529715
121.736112,0.82223284
116.9347145,0.81917171
113.3335896,0.8161074
109.1326356,0.81304627
105.5315107,0.81308804
101.3302495,0.81002373
97.7291245,0.8069626
94.12799954,0.80389829
90.52718188,0.80394006
86.92605693,0.80087575
83.32493197,0.79781462
79.72380702,0.79475031
76.72312563,0.79479208
73.12200068,0.79173095
70.121012,0.79177272
66.52019434,0.78870841
64.11934194,0.78564728
61.11866055,0.78568904
58.11767188,0.78262474
55.71681948,0.77956361
53.31627437,0.77960537
50.31528569,0.77654106
48.51487686,0.77658283
46.11402446,0.77351852
43.71347935,0.77356029
41.31262696,0.77049916
39.51221812,0.77054093
37.11167301,0.76747662
35.31095689,0.76751838
32.91041178,0.76445726
31.10969566,0.76449902
29.30928683,0.76143471
28.10901428,0.76147648
26.30829815,0.75841535
25.1080256,0.75845712
23.30761677,0.75849888
22.10703692,0.75543458
20.30662809,0.75547634
19.10635554,0.75551811
17.90608298,0.7524538
16.70550314,0.75560164
15.50523058,0.75253733
14.30495803,0.7494762
13.70482175,0.74951797
12.50436482,0.74955974
11.90419782,0.74960151
10.70383308,0.7465372
10.10366607,0.74657896
8.90330133,0.74662073
8.30313432,0.7435596
7.70296732,0.74360137
7.10280031,0.74364313
6.50260257,0.7436849
5.90243557,0.74372667
5.30226856,0.74376843
4.70210156,0.74070413
4.70210156,0.74074589
4.10190382,0.74078766
3.50173681,0.74082943
2.90156981,0.74087119
2.90156981,0.74091296
2.3014028,0.73785183
2.3014028,0.74099649
1.70120507,0.73793536
1.70120507,0.73797713
1.10103806,0.7380189
1.10103806,0.73806066
1.10103806,0.73810243
0.50087105,0.7381442
0.50087105,0.73818596
0.50087105,0.73822773
0.50087105,0.7382695
0.50087105,0.73831126
-0.09929595,0.73835303
-0.09929595,0.73528872
-0.09929595,0.73843656
-0.09929595,0.73847833
-0.09929595,0.7385201
-0.09929595,0.73856187
-0.09929595,0.73860363
-0.09929595,0.73553932
-0.09929595,0.73558109
-0.09929595,0.73562286
-0.09929595,0.73566462
-0.09929595,0.73881247
-0.09929595,0.73574816
-0.09929595,0.73578992
-0.09929595,0.73583169
-0.09929595,0.73897953
-0.09929595,0.73591522
-0.09929595,0.73595699
-0.09929595,0.73599876
-0.09929595,0.73604052
-0.09929595,0.73608229
-0.09929595,0.73612406
-0.09929595,0.73616582
-0.69949369,0.73620759
-0.69949369,0.73624936
-0.69949369,0.73629112
-0.69949369,0.73633289
-0.69949369,0.73637466
-0.69949369,0.73641643
-0.69949369,0.73645819
-1.29966069,0.73649996
-1.29966069,0.73654173
-1.29966069,0.73658349
-1.8998277,0.73662526
-1.8998277,0.73666703
-1.8998277,0.73670879
-2.49999471,0.73675056
-2.49999471,0.73679233
-3.10019244,0.73683409
-3.10019244,0.73687586
-3.70035945,0.73691763
-4.30052645,0.7338565
-4.90069346,0.73389826
-4.90069346,0.73394003
-5.5008912,0.7339818
-6.1010582,0.73402356
-6.70122521,0.73406533
-7.30139221,0.73100102
-7.90158995,0.73104279
-8.50175696,0.73108456
-9.10192396,0.73112632
-10.3022887,0.72806201
-10.90245571,0.73120986
-11.50262272,0.72814555
-12.70298746,0.72508442
-13.30315446,0.72512618
-14.50348848,0.72516795
-15.10367699,0.72520972
-16.30402637,0.72214541
-17.50437575,0.72218718
-18.7047282,0.72222894
-19.90507757,0.71916781
-21.10542695,0.71920958
-22.30578247,0.71614527
-24.10631422,0.71618704
-25.30664823,0.71312591
-27.10717998,0.71316768
-28.30751399,0.71010337
-30.10804574,0.70703906
-31.30841048,0.70708083
-33.1089115,0.7040197
-35.50961026,0.70095539
-37.310142,0.70099715
-39.11067375,0.69793603
-40.9112055,0.69487172
-43.31190425,0.69181059
-45.71260301,0.69185235
-47.51310403,0.68878805
-49.31378942,0.68572692
-51.71433453,0.68266261
-54.7153232,0.6795983
-57.11586831,0.67653717
-60.11685699,0.67347286
-62.5174021,0.67041173
-65.51839077,0.66734742
-68.51937945,0.66118022
-72.12019711,0.65811591
