H (A/m);B(T)
115.42609;0.310613964
114.94424;0.310598194
114.4624;0.310582317
113.98056;0.31056633
113.49871;0.310550232
113.01687;0.310534023
112.53503;0.310517702
112.05318;0.310501265
111.57134;0.310484714
111.0895;0.310468046
110.60765;0.31045126
110.12581;0.310434355
109.64397;0.310417329
109.16212;0.310400182
108.68028;0.310382911
108.19844;0.310365515
107.71659;0.310347993
107.23475;0.310330344
106.75291;0.310304631
106.27106;0.310270453
105.78922;0.310228169
105.30738;0.310178121
104.82553;0.310120629
104.34369;0.310056003
103.86185;0.309984531
103.38;0.309906485
102.89816;0.309822131
102.41631;0.309731709
101.93447;0.309635457
101.45263;0.309533592
100.97078;0.309426319
100.48894;0.309313838
100.0071;0.309196333
99.52525;0.309073975
99.04341;0.308946932
98.56157;0.308815357
98.07972;0.308679392
97.59788;0.30853918
97.11604;0.308394844
96.63419;0.308246503
96.15235;0.308094276
95.67051;0.307938264
95.18866;0.307778563
94.70682;0.307615271
94.22498;0.307448472
93.74313;0.30727824
93.26129;0.307104658
92.77945;0.30692779
92.2976;0.306747697
91.81576;0.306564445
91.33392;0.306378083
90.85207;0.306188658
90.37023;0.305996223
89.88839;0.305800815
89.40654;0.305602466
88.9247;0.30540122
88.44286;0.305197102
87.96101;0.304990134
87.47917;0.304780348
86.99733;0.304567761
86.51548;0.304352385
86.03364;0.304134243
85.5518;0.303913342
85.06995;0.303689687
84.58811;0.303463294
84.10627;0.303234162
83.62442;0.303002287
83.14258;0.302767679
82.66074;0.30253033
82.17889;0.30229023
81.69705;0.302047382
81.21521;0.301801771
80.73336;0.301553382
80.25152;0.301302211
79.76967;0.301048234
79.28783;0.300791445
78.80599;0.30053182
78.32414;0.300269333
77.8423;0.300003974
77.36046;0.299735714
76.87861;0.299464521
76.39677;0.299190382
75.91493;0.298913261
75.43308;0.298633123
74.95124;0.298349949
74.4694;0.2980637
73.98755;0.297774335
73.50571;0.297481831
73.02387;0.297186144
72.54202;0.296887229
72.06018;0.296585058
71.57834;0.296279583
71.09649;0.295970754
70.61465;0.29565854
70.13281;0.295342886
69.65096;0.295023739
69.16912;0.294701063
68.68728;0.294374799
68.20543;0.294044888
67.72359;0.293711289
67.24175;0.293373941
66.7599;0.293032778
66.27806;0.292687755
65.79622;0.292338805
65.31437;0.291985856
64.83253;0.291628861
64.35069;0.291267746
63.86884;0.290902434
63.387;0.290532872
62.90516;0.29015898
62.42331;0.289780677
61.94147;0.289397903
61.45963;0.289010573
60.97778;0.288618599
60.49594;0.288221916
60.0141;0.287820431
59.53225;0.28741405
59.05041;0.287002703
58.56856;0.28658628
58.08672;0.286164706
57.60488;0.285737878
57.12303;0.285305687
56.64119;0.284868052
56.15935;0.284424861
55.6775;0.283975996
55.19566;0.28352137
54.71382;0.283060861
54.23197;0.282594343
53.75013;0.28212172
53.26829;0.28164286
52.78644;0.281157629
52.3046;0.280665919
51.82276;0.280167591
51.34091;0.279662497
50.85907;0.279150522
50.37723;0.278631514
49.89538;0.278105313
49.41354;0.277571795
48.9317;0.277030793
48.44985;0.276482136
47.96801;0.275925687
47.48617;0.275361266
47.00432;0.274788688
46.52248;0.274207803
46.04064;0.273618415
45.55879;0.273020324
45.07695;0.272413365
44.59511;0.271797327
44.11326;0.271171992
43.63142;0.270537179
43.14958;0.269892659
42.66773;0.269238195
42.18589;0.268573588
41.70405;0.26789859
41.2222;0.267212943
40.74036;0.266516429
40.25852;0.265808777
39.77667;0.265089706
39.29483;0.264358977
38.81299;0.263616294
38.33114;0.262861353
37.8493;0.262093889
37.36746;0.26131358
36.88561;0.260520093
36.40377;0.259713139
35.92192;0.258892346
35.44008;0.258057406
34.95824;0.257207945
34.47639;0.256343578
33.99455;0.255463963
33.51271;0.254568692
33.03086;0.253657343
32.54902;0.252729541
32.06718;0.25178484
31.58533;0.250822775
31.10349;0.249842936
30.62165;0.248844831
30.1398;0.247827954
29.65796;0.246791852
29.17612;0.245735986
28.69427;0.244659802
28.21243;0.243562799
27.73059;0.242444391
27.24874;0.241303967
26.7669;0.24014098
26.28506;0.238954784
25.80321;0.237744716
25.32137;0.236510171
24.83953;0.235250448
24.35768;0.233964819
23.87584;0.232652626
23.394;0.231313103
22.91215;0.229945463
22.43031;0.228548987
21.94847;0.227122847
21.46662;0.225666192
20.98478;0.224178248
20.50294;0.222658125
20.02109;0.221104912
19.53925;0.219517783
19.05741;0.217895793
18.57556;0.216237979
18.09372;0.214543471
17.61188;0.212811282
17.13003;0.211040406
16.64819;0.20922995
16.16635;0.207378896
15.6845;0.205486217
15.20266;0.203551014
14.72081;0.201572217
14.23897;0.199548934
13.75713;0.197480147
13.27528;0.195364845
12.79344;0.193202166
12.3116;0.191122395
11.82975;0.188988408
11.34791;0.186800205
10.86607;0.184557096
10.38422;0.182258386
9.90238;0.17990353
9.42054;0.177491841
8.93869;0.175022626
8.45685;0.172495344
7.97501;0.169909295
7.49316;0.167263763
7.01132;0.164558182
6.52948;0.161791799
6.04763;0.158963827
5.56579;0.156073621
5.08395;0.153120317
4.6021;0.150102995
4.12026;0.147020866
3.63842;0.143872888
3.15657;0.140657943
2.67473;0.137375037
2.19289;0.134022895
1.71104;0.130600154
1.2292;0.127105578
0.74736;0.123537636
0.26551;0.11989471
-0.21633;0.116175336
-0.69817;0.112377757
-1.18002;0.108500156
-1.66186;0.104540919
-2.1437;0.100498175
-2.62555;0.096370046
-3.10739;0.092154947
-3.58923;0.087851098
-4.07108;0.083456809
-4.55292;0.078970805
-5.03476;0.074391725
-5.51661;0.069718431
-5.99845;0.064950366
-6.48029;0.060087022
-6.96214;0.055128289
-7.44398;0.050074825
-7.92583;0.044927393
-8.40767;0.039687759
-8.88951;0.034358
-9.37136;0.028940864
-9.8532;0.023440157
-10.33504;0.017829939
-10.81689;0.012145728
-11.29873;0.006393654
-11.78057;5.80E-04
-12.26242;-0.005287405
-12.74426;-0.011200928
-13.2261;-0.017151881
-13.70795;-0.023128034
-14.18979;-0.029122932
-14.67163;-0.035130468
-15.15348;-0.04113714
-15.63532;-0.047132689
-16.11716;-0.053107342
-16.59901;-0.059051548
-17.08085;-0.064955729
-17.56269;-0.070811126
-18.04454;-0.076609512
-18.52638;-0.082294762
-19.00822;-0.087911963
-19.49007;-0.093454978
-19.97191;-0.098917804
-20.45375;-0.104295499
-20.9356;-0.10958383
-21.41744;-0.114778942
-21.89928;-0.119877972
-22.38113;-0.124878683
-22.86297;-0.129779129
-23.34481;-0.134578213
-23.82666;-0.139275329
-24.3085;-0.143870036
-24.79034;-0.148362578
-25.27219;-0.152753544
-25.75403;-0.157043565
-26.23587;-0.161233804
-26.71772;-0.165325642
-27.19956;-0.169320399
-27.6814;-0.173219801
-28.16325;-0.177025693
-28.64509;-0.180739786
-29.12694;-0.184364175
-29.60878;-0.187900711
-30.09062;-0.191351504
-30.57247;-0.194718678
-31.05431;-0.198004164
-31.53615;-0.201210096
-32.018;-0.204338588
-32.49984;-0.207391549
-32.98168;-0.21037105
-33.46353;-0.213279127
-33.94537;-0.216117604
-34.42721;-0.218888446
-34.90906;-0.22159357
-35.3909;-0.224234689
-35.87274;-0.226813635
-36.35459;-0.229332191
-36.83643;-0.231791945
-37.31827;-0.23419459
-37.80012;-0.236541773
-38.28196;-0.238834951
-38.7638;-0.241075683
-39.24565;-0.243265478
-39.72749;-0.245405672
-40.20933;-0.247497692
-40.69118;-0.249694635
-41.17302;-0.251831557
-41.65486;-0.253910707
-42.13671;-0.255934539
-42.61855;-0.25790523
-43.10039;-0.259824955
-43.58224;-0.261695763
-44.06408;-0.263519464
-44.54592;-0.26529789
-45.02777;-0.26703277
-45.50961;-0.26872563
-45.99145;-0.270378027
-46.4733;-0.271991437
-46.95514;-0.27356716
-47.43698;-0.275106535
-47.91883;-0.276610833
-48.40067;-0.27808117
-48.88251;-0.279518706
-49.36436;-0.280924547
-49.8462;-0.282299659
-50.32804;-0.283645054
-50.80989;-0.284961701
-51.29173;-0.28625044
-51.77358;-0.287512189
-52.25542;-0.288747719
-52.73726;-0.289957849
-53.21911;-0.291143364
-53.70095;-0.292304942
-54.18279;-0.293443311
-54.66464;-0.294559168
-55.14648;-0.295653111
-55.62832;-0.29672579
-56.11017;-0.297777826
-56.59201;-0.298809752
-57.07385;-0.299822147
-57.5557;-0.300815569
-58.03754;-0.301790492
-58.51938;-0.302747438
-59.00123;-0.303686907
-59.48307;-0.304609324
-59.96491;-0.305515158
-60.44676;-0.306404862
-60.9286;-0.307278816
-61.41044;-0.308137443
-61.89229;-0.308981155
-62.37413;-0.309810292
-62.85597;-0.310625239
-63.33782;-0.311426368
