H [A/m];B [T]
321.82429033;0
356.83034811;0.17805022
374.83443651;0.27733952
398.84142417;0.37041984
416.84704902;0.44797615
446.85539948;0.52242638
470.86238714;0.58446185
500.87227404;0.64338806
524.87926169;0.69300241
560.88897495;0.74572283
590.89732541;0.7891282
614.90431307;0.83253358
644.91419997;0.8666239
680.92391323;0.9069232
710.93226369;0.94101353
746.94351339;0.97200096
776.95186385;1.00298839
818.96447636;1.03397264
860.97708887;1.0587511
902.98816493;1.08663246
938.99941464;1.11140774
981.01202714;1.1392891
1023.02310321;1.16096148
1065.03571571;1.18573994
1107.04832822;1.20741233
1155.06230353;1.22908471
1203.07627884;1.24765102
1251.09025415;1.2693234
1299.10422946;1.28788971
1347.11820477;1.3064592
1395.13218008;1.32502551
1449.1475182;1.34359182
1497.16917574;1.35595234
1557.18280376;1.37451865
1617.19643178;1.38687598
1671.21791569;1.3992365
1725.22403511;1.41469673
1785.25302761;1.42705725
1845.26665563;1.43630851
1905.28028365;1.44866903
1965.29391167;1.45792029
2031.31504828;1.46717473
2091.3286763;1.47642918
2157.34981291;1.48878651
2223.37094952;1.49493488
2295.39959472;1.50729222
2367.41287545;1.51654666
2445.43366477;1.5258011
2523.45445409;1.53194947
2601.49060788;1.5443068
2679.5113972;1.55045517
2757.53218652;1.55970961
2841.56048444;1.56585798
2931.58092647;1.57200635
3015.60922438;1.58126079
3105.62966641;1.58740915
3189.65796432;1.59666359
3285.68591494;1.60281196
3375.70635697;1.60896033
3471.73430759;1.61510869
3561.77011409;1.61815098
3657.79806471;1.62430253
3759.81815945;1.6304509
3855.84611007;1.63659926
3951.87406069;1.63964155
4053.90951991;1.6457931
4161.93712324;1.64883539
4263.97258245;1.65808983
4372.00018578;1.6642382
4486.0352977;1.67038656
4588.05539244;1.67653493
4696.09836024;1.6795804
4798.11845498;1.68572877
4918.16107549;1.69187713
5026.18867882;1.6949226
5146.23129934;1.70107097
5266.25855538;1.70721933
5392.29332001;1.71026163
5512.33594052;1.71640999
5650.37035786;1.72256154
5776.40512249;1.7287099
5908.44739571;1.73175219
6028.47465175;1.73479766
6160.51692498;1.74094603
6292.5591982;1.7439915
6436.60112413;1.75013987
6574.63554147;1.75318216
6724.68497599;1.75933052
6868.72690192;1.76547889
7012.76882785;1.76852436
7162.81826238;1.77467273
7306.86018831;1.7777182
7456.89425836;1.78696946
7612.935837;1.78690885
7756.97776293;1.7930604
7907.02719745;1.79610269
8045.06161479;1.80225106
8219.12571921;1.80839942
8381.15944196;1.81454779
8549.21603779;1.81759326
8717.25726914;1.82063873
8897.31351767;1.8267871
9071.36225761;1.82982939
9251.41850614;1.83597775
9425.46724609;1.83902322
9617.52314733;1.84517159
9791.57188727;1.84821706
9917.6066519;1.85125935
9923.61416049;1.85119874
9917.6066519;1.85113814
9917.6066519;1.85107753
9923.61416049;1.85101693
9917.6066519;1.85095632
9917.6066519;1.85089572
9917.6066519;1.85083511
9917.6066519;1.85077451
9923.61416049;1.8507139
9917.6066519;1.8506533
9911.61450778;1.85059269
9917.6066519;1.85053209
9893.60734648;1.85047148
9725.55075066;1.84730798
9557.50951931;1.8441413
9371.46112666;1.8409778
9203.40453083;1.83470504
9017.35613818;1.83154154
8843.30739824;1.82837486
8669.24329383;1.82210528
8501.20206248;1.81894178
8333.14546665;1.8157751
8165.1042353;1.80950553
8003.05514807;1.80633885
7859.01322214;1.80006927
7702.9716435;1.80000866
7552.92220898;1.79373909
7390.87312175;1.79057559
7246.83119581;1.7874089
7096.79712576;1.78113933
6952.75519983;1.77797265
6796.69825672;1.77480915
6652.65633079;1.76853957
6508.61440486;1.76537289
6358.58033481;1.75910331
6214.53840888;1.75593663
6088.50364425;1.75277313
5956.46137102;1.74960645
5830.42660639;1.74333687
5692.37682458;1.74327627
5566.34205995;1.73700669
5434.3151512;1.73073711
5314.27253069;1.72757043
5182.23025747;1.72440693
5062.20300143;1.72124025
4954.1753981;1.71497067
4834.13277758;1.71180399
4720.09766566;1.70553442
4624.06971504;1.70237092
4510.03460312;1.69920424
4402.00699979;1.69293466
4293.97939646;1.68977116
4191.94393725;1.6834984
4077.90882533;1.6803349
3981.8808747;1.67716822
3879.86077997;1.67400472
3789.82497346;1.66773514
3681.79737013;1.66456846
3585.76941951;1.66140178
3489.74146889;1.6551322
3399.72102686;1.6519687
3309.68522036;1.64880202
3219.66477833;1.64253245
3123.63682771;1.63936894
3039.6085298;1.63309619
2949.58808777;1.62993269
2859.55228126;1.62676601
2775.53934783;1.6236025
2697.5185585;1.62043582
2619.48240471;1.61416625
2541.46161539;1.61410564
2463.44082607;1.60783607
2391.42754534;1.60466938
2319.39890014;1.59839981
2247.38561941;1.59523631
2175.35697421;1.58896673
2115.34334619;1.58890612
2049.32220958;1.58263337
1989.30858156;1.57636379
1923.28744495;1.57320029
1863.27381693;1.56693071
1803.24482443;1.56065796
1743.23119641;1.55749446
1689.22507699;1.55122488
1635.20359308;1.5480582
1575.18996506;1.54178862
1521.16848116;1.53862512
1461.15178025;1.53235237
1413.13780494;1.52608279
1365.12382963;1.51981321
1317.10985432;1.51354364
1269.09587901;1.50727406
1221.0819037;1.50100448
1173.06792839;1.4978378
1131.05531588;1.48846533
1083.04134057;1.48529865
1041.02872806;1.475923
999.01611555;1.46965342
957.00503949;1.46338384
914.99242698;1.45711427
878.98117727;1.45084469
836.97010121;1.44457511
800.95885151;1.43830554
758.946239;1.43203278
728.93788854;1.4257632
692.92817528;1.41639073
662.91828838;1.41011797
632.90993792;1.4038484
602.90158746;1.39447593
572.89323701;1.38510027
542.8833501;1.37572462
512.87499964;1.36635215
488.86801199;1.3569765
458.85966153;1.34760084
434.85267388;1.33822837
410.84568622;1.32885272
386.83869857;1.31947707
368.83307371;1.30699852
350.82744886;1.29762287
326.8204612;1.28825039
308.8163728;1.27576867
290.81074794;1.26639619
272.80512309;1.25702054
254.79949824;1.24764489
242.79677263;1.23827242
224.79114778;1.22268779
212.78842218;1.21641822
200.78416013;1.20393649
188.78143452;1.19456402
176.77717247;1.18518836
164.77444687;1.17581271
152.77018482;1.16644024
140.76745921;1.15395851
134.76455996;1.14768894
122.76183436;1.13831646
110.75757231;1.12894081
104.7562095;1.11956516
92.7534839;1.11329558
86.75104559;1.10391993
80.74922185;1.09765035
68.74572802;1.08827788
62.74405793;1.08200512
56.74223419;1.07573555
50.7405641;1.06636308
44.73874037;1.06319639
38.73707028;1.05692682
32.73524654;1.05376014
32.73524654;1.05059664
26.73357645;1.04432706
20.73175271;1.04116038
20.73175271;1.0348908
14.73008262;1.03172412
14.73008262;1.02856062
8.72825888;1.02539394
8.72825888;1.02533333
8.72825888;1.01906376
2.72658879;1.01900315
2.72658879;1.01583965
2.72658879;1.01577905
2.72658879;1.01261237
-3.27523494;1.01255176
-3.27523494;1.00938508
-3.27523494;1.00932447
-3.27523494;1.00926387
-3.27523494;1.00920326
-3.27523494;1.00914266
-3.27523494;1.00908205
-3.27523494;1.00902145
-3.27523494;1.00896084
-3.27523494;1.00579734
-3.27523494;1.00573674
-3.27523494;1.00567613
-3.27523494;1.00561553
-3.27523494;1.00865782
-3.27523494;1.00859721
-3.27523494;1.00853661
-3.27523494;1.01158208
-3.27523494;1.0084154
-3.27523494;1.00835479
-3.27523494;1.00829419
-3.27523494;1.00823358
-3.27523494;1.00817297
-3.27523494;1.00500947
-9.27690504;1.00494887
-9.27690504;1.00488826
-9.27690504;1.00172158
-9.27690504;1.00166098
-15.27872877;0.99849748
-15.27872877;0.99843687
-15.27872877;0.99527019
-15.27872877;0.99210669
-21.28039886;0.98894001
-21.28039886;0.98577651
-27.2822226;0.98260983
-27.2822226;0.97944315
-33.28389269;0.97627964
-33.28389269;0.97001007
-39.28571643;0.96684339
-45.28738652;0.96057381
-45.28738652;0.95430423
-51.28921025;0.94803466
-57.29095717;0.938659
-69.294451;0.92307438
-75.29619791;0.91059583
-87.29969174;0.90122018
-93.30151547;0.88874163
-99.30318556;0.87626308
-111.30667939;0.86067846
-123.31017322;0.84509384
-129.31199696;0.82950921
-141.31549078;0.81082169
-153.31898461;0.79213417
-165.32247844;0.76413161
-177.32597227;0.73612904
-189.32946609;0.70191432
-201.33295992;0.66770279
-213.33645375;0.6241762
-225.34025487;0.57444065
-243.34587972;0.5029721
-255.34860532;0.42219169
-273.35423018;0.31657221
-291.35985503;0.20163768
-309.36394344;0.07738811
-327.36956829;-0.03444034
-345.37519314;-0.15247776
-363.380818;-0.25188827
-387.38780565;-0.3450898
-405.39189406;-0.41966347
-429.39888171;-0.4942365
-459.40876862;-0.55949576
-483.41575627;-0.61854509
-507.42274393;-0.66517616
-537.43109438;-0.71025467
-561.43808204;-0.75533318
-591.4464325;-0.79575464
-627.4576822;-0.82996682
-657.46603266;-0.86417899
-687.47438312;-0.89528636
-723.48563282;-0.92949854
-759.49534608;-0.95750142
-795.50659579;-0.98860879
-831.51630905;-1.01350687
-867.52755876;-1.04150976
-903.53727201;-1.06640847
-939.54852172;-1.09130496
-981.55959778;-1.11309856
-1029.57357309;-1.13799823
-1065.5848228;-1.15979182
-1107.59743531;-1.18158542
-1149.60851137;-1.20337901
-1197.62248668;-1.22206653
-1239.63509919;-1.24075405
-1293.6504373;-1.26254765
-1341.66441261;-1.28123835
-1395.68128717;-1.29681979
-1443.69526248;-1.31861339
-1497.71060059;-1.33419801
-1545.7245759;-1.34978263
-1593.73855121;-1.36536726
-1641.74638074;-1.38095188
-1707.76751735;-1.39343043
-1761.78900125;-1.40590898
-1821.80262927;-1.41838752
-1881.81625729;-1.43086925
-1947.8373939;-1.4433478
-2007.86638639;-1.45582635
-2073.87215853;-1.4683049
-2139.89329514;-1.47768055
-2205.91443175;-1.4870562
-2277.94307695;-1.49642867
-2349.95635768;-1.50580432
-2421.98500288;-1.5120739
-2493.99828361;-1.52144955
-2572.01907293;-1.53082521
-2656.04737085;-1.53709478
-2734.06816017;-1.54646726
-2818.09645808;-1.55274001
-2902.12475599;-1.55900959
-2986.13768943;-1.56838206
-3070.16598734;-1.57465164
-3160.20179384;-1.58402729
-3244.21472728;-1.59029687
-3334.25053378;-1.59656644
-3430.2784844;-1.60594209
-3514.29141784;-1.61221167
-3604.32722434;-1.61848125
-3712.35482768;-1.62475082
-3808.3827783;-1.63102358
-3910.41823751;-1.63418708
-4012.43833225;-1.64356273
-4120.48130005;-1.64983231
-4222.50139479;-1.65610189
-4330.52899812;-1.66237146
-4432.56445733;-1.66864104
-4540.59206066;-1.67491062
-4642.62751987;-1.68118337
-4756.6626318;-1.68745295
-4870.69774372;-1.69372253
-4990.72499976;-1.69688603
-5104.76011168;-1.70315878
-5230.79487631;-1.70942836
-5350.83749682;-1.71259186
-5476.87226145;-1.71886144
-5596.89951749;-1.72202812
-5728.94179071;-1.7282977
-5860.98406394;-1.73146438
-5999.01848128;-1.73773395
-6131.0607545;-1.74089745
-6263.10302772;-1.74406414
-6407.14495365;-1.75033371
-6557.1790237;-1.75660329
-6695.22880551;-1.75976997
-6845.26287556;-1.76603955
-6989.30480149;-1.77230912
-7145.36174461;-1.77236973
-7295.39581466;-1.7786393
-7439.43774059;-1.78180599
-7589.48717511;-1.78807556
-7757.52840646;-1.79434514
-7901.57033239;-1.79750864
-8069.62692822;-1.80067532
-8231.67601545;-1.8069449
-8399.7172468;-1.81321447
-8573.76598674;-1.81327508
-8753.82223527;-1.81954466
-8927.87097521;-1.82271134
-9107.92722374;-1.82898091
-9275.9684551;-1.83214759
-9456.02470363;-1.83841717
-9630.07344357;-1.84158067
-9822.12934481;-1.84474735
-9984.17843204;-1.84791085
-10014.18524605;-1.84797146
-10014.18524605;-1.85113814
-10014.18524605;-1.85119874
-10014.18524605;-1.85125935
-10020.19275464;-1.84821388
-10026.20026323;-1.84827449
-10026.20026323;-1.84833509
-10026.20026323;-1.8483957
-10026.20026323;-1.8484563
-10026.20026323;-1.84851691
-10026.20026323;-1.84857751
-10026.20026323;-1.84553204
-10026.20026323;-1.84869872
-10026.20026323;-1.84875933
-9972.17877933;-1.84571386
-9792.1225308;-1.84267157
-9606.07413815;-1.8396261
-9432.02539821;-1.83658063
-9257.97665827;-1.83353833
-9089.92006244;-1.83049286
-8915.8713225;-1.8243445
-8747.81472668;-1.82130221
-8567.77384262;-1.81515384
-8399.7172468;-1.81210837
-8231.67601545;-1.8090629
-8069.62692822;-1.80291454
-7907.57784098;-1.79987224
-7757.52840646;-1.79682677
-7601.48682782;-1.79378448
-7457.44490189;-1.79073901
-7307.39546737;-1.78459065
-7163.35354144;-1.78154518
-7001.31981868;-1.77850289
-6863.27003686;-1.77235452
-6713.23596681;-1.76930905
-6581.19369359;-1.76626676
-6425.15211495;-1.76322129
-6293.10984173;-1.76017582
-6149.0679158;-1.75402745
-6017.02564258;-1.75098516
-5878.99122524;-1.74793969
-5746.94895201;-1.7448974
-5620.91418738;-1.73874585
-5500.87156687;-1.73570356
-5374.83680224;-1.73265809
-5248.80203761;-1.72650973
-5122.76727298;-1.72346744
-5008.73216106;-1.72042197
-4888.70490502;-1.7142736
-4780.66193721;-1.71122813
-4666.62682529;-1.70818584
-4564.60673055;-1.70514037
-4456.57912722;-1.698992
-4348.53615942;-1.69594971
-4246.51606468;-1.69290424
-4144.48060547;-1.68985877
-4030.44549355;-1.68371041
-3934.41754293;-1.68066811
-3832.39744819;-1.67451975
-3736.36949757;-1.67147428
-3628.32652976;-1.66843199
-3538.30608773;-1.66228044
-3448.2856457;-1.65923815
-3358.2498392;-1.65619268
-3268.22939717;-1.65004431
-3178.19359067;-1.64389595
-3088.17314864;-1.64085048
-3004.14485073;-1.63780819
-2920.13191729;-1.63165982
