H [A/m];B [T]
7.16783072;6.5997E-4
7.16783072;6.0395E-4
7.16783072;-0.00255497
7.91804256;4.919E-4
7.16783072;-0.00266703
7.91804256;-0.00272305
8.66827437;3.2382E-4
7.91804256;2.6779E-4
7.91804256;2.1177E-4
8.66827437;1.5574E-4
7.91804256;-0.00300318
7.91804256;4.369E-5
7.91804256;-1.233E-5
7.91804256;-6.836E-5
7.91804256;-1.2439E-4
7.91804256;-1.8041E-4
7.91804256;-2.3644E-4
7.91804256;-2.9246E-4
7.91804256;-3.4849E-4
7.91804256;-4.0451E-4
7.91804256;-4.6054E-4
7.91804256;-5.1656E-4
7.91804256;-5.7259E-4
7.91804256;-6.2862E-4
8.66827437;-6.8464E-4
7.91804256;-7.4067E-4
8.66827437;-7.9669E-4
7.91804256;-8.5272E-4
7.91804256;-9.0874E-4
7.91804256;-9.6477E-4
7.91804256;-0.00102079
7.91804256;-0.00107682
7.91804256;-0.00113285
7.91804256;-0.00118887
7.91804256;-0.0012449
7.91804256;-0.00130092
7.91804256;-0.00135695
7.91804256;-0.00141297
7.91804256;-0.001469
7.91804256;0.00158105
7.91804256;0.00152502
7.91804256;-0.00163708
7.91804256;-0.0016931
7.91804256;-0.00174913
7.91804256;0.00130092
7.91804256;-0.00186118
7.91804256;-0.0019172
7.91804256;-0.00197323
7.91804256;-0.00202926
7.91804256;0.00102079
7.91804256;9.6477E-4
7.91804256;9.0874E-4
8.66827437;8.5272E-4
7.91804256;-0.00230938
7.91804256;7.4067E-4
7.91804256;-0.00242143
7.91804256;-0.00247746
8.66827437;5.7259E-4
7.91804256;5.1656E-4
8.66827437;4.6054E-4
7.91804256;-0.00270156
7.91804256;3.4849E-4
8.66827437;2.9246E-4
8.66827437;2.3644E-4
8.66827437;1.8041E-4
8.66827437;1.2439E-4
7.91804256;6.836E-5
7.91804256;1.233E-5
8.66827437;-4.369E-5
8.66827437;-9.972E-5
8.66827437;-1.5574E-4
9.41849081;-2.1177E-4
9.41849081;-2.6779E-4
9.41849081;-3.2382E-4
9.41849081;-3.7984E-4
9.41849081;-4.3587E-4
9.41849081;-4.919E-4
9.41849081;-5.4792E-4
9.41849081;-6.0395E-4
10.16870725;-6.5997E-4
10.16870725;0.0023869
10.16870725;0.00233087
10.16870725;0.00227485
10.16870725;0.00221882
10.9189237;0.0021628
10.9189237;-9.9613E-4
10.9189237;0.00205074
10.9189237;0.00199472
11.66914014;0.00193869
11.66914014;-0.00122023
11.66914014;0.00182664
12.41935658;0.00177062
13.16957303;0.00171459
13.16957303;0.00165857
13.16957303;0.00160254
13.16957303;0.00154651
13.16957303;0.00149049
13.91978947;0.00143446
13.91978947;0.00137844
14.67002128;0.00132241
14.67002128;0.00126639
15.42023772;0.00431644
15.42023772;0.00426041
16.17045417;0.00109831
16.17045417;0.00104228
16.92067061;9.8626E-4
16.92067061;0.00403631
17.67088705;0.00398028
17.67088705;0.00392426
18.4211035;0.00386823
18.4211035;0.00381221
19.17131994;0.00375618
19.17131994;0.00370015
19.92153638;0.00364413
19.92153638;0.0035881
20.67176819;0.00353208
21.42196927;0.00347605
21.42196927;0.00342003
22.17221644;0.003364
22.92246362;0.00330798
23.67271079;0.00635485
23.67271079;0.00319592
24.42280432;0.0031399
25.17305149;0.00308387
25.92329866;0.00613074
25.92329866;0.00607472
26.67354584;0.00601869
27.42379301;0.00285977
28.17388654;0.00280375
28.92413371;0.00585062
29.67438088;0.00269169
30.42462805;0.00573857
31.17487523;0.00568254
31.92496875;0.00562651
32.67521593;0.00557049
32.67521593;0.00551446
33.4254631;0.00545844
34.17571027;0.00540241
34.92595744;0.00534639
35.67620462;0.00529036
37.17654532;0.00834041
37.92679249;0.00828438
38.67703966;0.00822836
39.42728684;0.00817233
40.92762754;0.00811631
41.67787471;0.01116636
42.42812188;0.00800426
43.17836905;0.00794823
43.92846258;0.01099828
45.42895693;0.01094226
46.1792041;0.01088623
46.92945127;0.0108302
48.42979197;0.01077418
49.18003915;0.01071815
50.68053349;0.01066213
51.43078066;0.0106061
52.93112136;0.01365297
53.68136854;0.01359695
55.18186288;0.01354092
55.93195641;0.0134849
57.43245075;0.01342887
58.9329451;0.01337284
59.68319227;0.01331682
61.18353297;0.01326079
62.68402732;0.01320477
63.43427449;0.01625482
64.93461519;0.01619879
66.43510954;0.01614277
67.93545024;0.01608674
68.68569741;0.01603072
70.18619176;0.01597469
72.43677963;0.01591866
73.93727397;0.01586264
74.68752115;0.01890951
76.93810902;0.01885348
77.68835619;0.01879746
79.93894406;0.01874143
81.43943841;0.01868541
82.18968558;0.01862938
84.44027346;0.02167943
85.9407678;0.02162341
87.44126215;0.02467028
89.69185002;0.02461425
91.19234436;0.02455822
93.44293224;0.0245022
94.94342658;0.02444617
96.44376728;0.02439015
97.94426163;0.02433412
100.1948495;0.02738417
101.69534385;0.02732815
103.19583819;0.02727212
105.44642607;0.0272161
107.69716758;0.03026297
107.69716758;0.03020694
107.69716758;0.03015092
107.69716758;0.03009489
107.69716758;0.03003886
107.69716758;0.02998284
107.69716758;0.02992681
107.69716758;0.02987079
107.69716758;0.02981476
107.69716758;0.02975874
107.69716758;0.02970271
107.69716758;0.02964668
107.69716758;0.03269673
107.69716758;0.02953463
106.94692041;0.02947861
105.44642607;0.02942258
103.19583819;0.02936656
101.69534385;0.02931053
100.1948495;0.02615161
98.6945088;0.02609558
96.44376728;0.02603956
94.94342658;0.02598353
92.69268507;0.02592751
91.94243789;0.02587148
89.69185002;0.02581546
88.19135567;0.02575943
85.9407678;0.02570341
84.44027346;0.0225413
82.18968558;0.02248528
81.43943841;0.02242925
78.43860336;0.02237323
77.68835619;0.0223172
76.93810902;0.02226118
75.43776832;0.02220515
73.1870268;0.0252552
71.6866861;0.0220931
70.18619176;0.02203707
68.68569741;0.01887815
67.18535671;0.02192502
66.43510954;0.021869
64.93461519;0.02181297
63.43427449;0.02175695
61.93378015;0.01859802
61.18353297;0.018542
59.68319227;0.01848597
57.43245075;0.01842995
55.93195641;0.01837392
55.93195641;0.0183179
54.43161571;0.01826187
53.68136854;0.01820585
51.43078066;0.01504374
50.68053349;0.01498772
49.93028632;0.01493169
48.42979197;0.01487567
47.67969845;0.01481964
46.92945127;0.01786969
45.42895693;0.01470759
44.67870975;0.01465157
43.92846258;0.01459554
42.42812188;0.01453951
41.67787471;0.01448349
40.92762754;0.01442746
40.17738036;0.01437144
38.67703966;0.01431541
37.92679249;0.01115649
37.17654532;0.01420336
36.42629815;0.01104444
