H [A/m];B [T]
17.5;0.43253749
17.22440945;0.432023793
16.9488189;0.43174332
16.67322835;0.431131889
16.3976378;0.430578743
16.12204724;0.42827624
15.84645669;0.427652771
15.57086614;0.427109969
15.29527559;0.425368025
15.01968504;0.423386569
14.74409449;0.422692169
14.46850394;0.420681256
14.19291339;0.419846032
13.91732283;0.417299381
13.64173228;0.415872779
13.36614173;0.414968138
13.09055118;0.412683003
12.81496063;0.411071995
12.53937008;0.409884181
12.26377953;0.40602652
11.98818898;0.404605325
11.71259843;0.4032941
11.43700787;0.401204724
11.16141732;0.399746931
10.88582677;0.398443832
10.61023622;0.393714701
10.33464567;0.393027901
10.05905512;0.390294882
9.783464567;0.388024574
9.507874016;0.384465925
9.232283465;0.382252703
8.956692913;0.380003189
8.681102362;0.378395394
8.405511811;0.375796177
8.12992126;0.371302275
7.854330709;0.370222976
7.578740157;0.365983159
7.303149606;0.364480803
7.027559055;0.362344791
6.751968504;0.357366403
6.476377953;0.354754208
6.200787402;0.351582307
5.92519685;0.347784189
5.649606299;0.344421564
5.374015748;0.342591407
5.098425197;0.338612356
4.822834646;0.33331269
4.547244094;0.329996788
4.271653543;0.327064548
3.996062992;0.321381784
3.720472441;0.318637218
3.44488189;0.313144769
3.169291339;0.309159078
2.893700787;0.304718403
2.618110236;0.299599876
2.342519685;0.295833426
2.066929134;0.292086557
1.791338583;0.288600612
1.515748031;0.283658751
1.24015748;0.27704745
0.964566929;0.271467397
0.688976378;0.267019308
0.413385827;0.260372887
0.137795276;0.254839197
-0.137795276;0.247998746
-0.413385827;0.241857657
-0.688976378;0.234851411
-0.964566929;0.229503986
-1.24015748;0.218022781
-1.515748031;0.214361449
-1.791338583;0.201941419
-2.066929134;0.197928757
-2.342519685;0.186727948
-2.618110236;0.178857843
-2.893700787;0.169201844
-3.169291339;0.161259816
-3.44488189;0.151324018
-3.720472441;0.13682487
-3.996062992;0.127273109
-4.271653543;0.115633461
-4.547244094;0.109514279
-4.822834646;0.102533823
-5.098425197;0.076191104
-5.374015748;0.070245291
-5.649606299;0.053425754
-5.92519685;0.049169118
-6.200787402;0.042980792
-6.476377953;0.022319107
-6.751968504;0.013221671
-7.027559055;0.002653293
-7.303149606;-0.027778988
-7.578740157;-0.037707642
-7.854330709;-0.049249009
-8.12992126;-0.06224387
-8.405511811;-0.078207358
-8.681102362;-0.098258509
-8.956692913;-0.113299378
-9.232283465;-0.129854376
-9.507874016;-0.149353058
-9.783464567;-0.15948404
-10.05905512;-0.173764774
-10.33464567;-0.187561382
-10.61023622;-0.198863274
-10.88582677;-0.210090602
-11.16141732;-0.220715243
-11.43700787;-0.230310693
-11.71259843;-0.241670198
-11.98818898;-0.254820547
-12.26377953;-0.26539822
-12.53937008;-0.283596661
-12.81496063;-0.297821879
-13.09055118;-0.307600433
-13.36614173;-0.303149449
-13.64173228;-0.321606369
-13.91732283;-0.329567194
-14.19291339;-0.338417348
-14.46850394;-0.348925272
-14.74409449;-0.353549378
-15.01968504;-0.362537423
-15.29527559;-0.375545062
-15.57086614;-0.381476639
-15.84645669;-0.386219183
