H [A/m];B [T]
106.287;0.344855
103.033;0.343275
99.63;0.341385
96.45;0.339495
92.973;0.337595
89.719;0.335705
86.317;0.333175
83.136;0.330965
79.512;0.328445
76.405;0.325915
73.003;0.323075
69.823;0.319915
66.42;0.316447
63.018;0.313291
59.689;0.309187
56.509;0.305399
53.107;0.300664
49.778;0.295614
46.376;0.290248
43.121;0.285829
39.719;0.277937
36.391;0.270677
33.062;0.262786
29.8818;0.254263
26.4056;0.243531
23.0771;0.23343
19.6748;0.221119
16.5684;0.20723
13.3879;0.193341
9.6158;0.175033
6.4353;0.156725
3.2549;0.135576
-0.147422;0.112533
-3.4757;0.084755
-6.878;0.052243
-10.0584;0.0178361
-13.5347;-0.0178331
-16.8632;-0.050977
-20.2656;-0.08128
-23.4462;-0.10748
-26.8486;-0.131154
-30.177;-0.153565
-33.505;-0.17282
-36.76;-0.190813
-40.162;-0.207227
-43.565;-0.222694
-46.819;-0.236267
-50.074;-0.247947
-53.476;-0.25931
-56.805;-0.269411
-60.207;-0.279197
-63.313;-0.286141
-66.864;-0.293717
-70.118;-0.300346
-73.447;-0.305081
-76.701;-0.311709
-80.103;-0.316755
-83.432;-0.320235
-86.834;-0.325595
-90.015;-0.329385
-93.417;-0.332855
-96.819;-0.336645
-100.148;-0.339485
-103.402;-0.343275
-106.731;-0.344855
-103.476;-0.343275
-100.074;-0.340115
-96.746;-0.339805
-93.491;-0.337905
-90.163;-0.334755
-86.834;-0.333485
-83.21;-0.330965
-80.104;-0.328755
-76.849;-0.326225
-73.521;-0.323385
-70.044;-0.321495
-66.79;-0.317075
-63.536;-0.313919
-60.133;-0.310131
-56.731;-0.306028
-53.476;-0.301293
-50.148;-0.295295
-46.894;-0.291192
-43.417;-0.285194
-40.163;-0.278881
-36.834;-0.271937
-33.506;-0.264045
-30.0298;-0.254891
-26.7753;-0.245737
-23.5209;-0.23532
-20.1926;-0.22301
-16.7902;-0.209121
-13.24;-0.193654
-10.2814;-0.178187
-6.9531;-0.158932
-3.4029;-0.135889
-0.074457;-0.113477
3.10593;-0.086962
6.4342;-0.054449
9.9105;-0.0184644
13.0909;0.0168891
16.4194;0.049086
19.7478;0.081283
23.2242;0.109061
26.4048;0.132104
29.7333;0.153253
32.988;0.173139
36.538;0.192394
39.793;0.208493
43.047;0.223013
46.301;0.236902
49.852;0.249528
53.032;0.26026
56.509;0.270046
59.615;0.2792
63.092;0.287091
66.346;0.294036
69.748;0.300349
72.929;0.306662
76.479;0.312344
79.66;0.317395
83.062;0.321815
86.316;0.325915
89.719;0.329705
93.047;0.333175
96.302;0.336645
99.63;0.339805
103.106;0.342645
106.287;0.344855
