'H_650C_1.5lbf_start';'B_650C_1.5lbf_start'
72.15527883;0.15437297
82.16619178;0.175879933
92.8921862;0.197344675
101.4731639;0.21874374
112.9142398;0.24014749
121.4949898;0.261471504
131.5061304;0.282828357
140.8019619;0.304335301
149.3827119;0.325936076
159.3938525;0.347583768
167.2597487;0.369278347
176.5555233;0.390991688
185.1363302;0.412615912
195.1474708;0.434188534
205.1583837;0.455662649
216.5994596;0.476949138
228.0407063;0.498099603
238.0516762;0.519095282
250.2078335;0.540039368
258.7887429;0.561053819
269.5147015;0.581997905
278.8106826;0.602782501
285.9614177;0.623567087
296.6874462;0.644375131
304.5531148;0.665070609
315.9944183;0.685691046
325.2902498;0.706349008
335.3012197;0.726889681
344.5972219;0.747313084
353.8930534;0.767769325
363.9040233;0.788206795
373.2000255;0.808616111
381.7807755;0.828936292
391.7919161;0.849214261
402.5179105;0.869285852
410.3835791;0.889301155
421.1098012;0.909349288
430.4056326;0.92928015
441.131627;0.949023387
450.4276862;0.968611838
460.4385991;0.988125238
470.4495121;1.007202386
481.1757342;1.02546803
490.4715657;1.04251409
501.9119585;1.058059109
511.9229853;1.071831012
521.2191014;1.083712537
532.6599496;1.094055496
544.1025054;1.102892718
555.5433536;1.110416538
567.6996817;1.117006908
579.1405299;1.122734179
589.1515567;1.127823507
601.3073157;1.132270202
613.4630746;1.136093025
624.9039228;1.139334195
638.4917799;1.141885824
650.6475389;1.144024667
662.8032978;1.145778869
673.5292353;1.147035852
686.4010433;1.148194328
699.2728514;1.149258988
711.4286103;1.149943698
724.2992799;1.150543973
736.4550389;1.151153629
749.3279853;1.151603802
760.0539228;1.152063355
772.9245924;1.1525276
785.0803514;1.152865194
795.8062889;1.153301294
807.9620478;1.153765538
818.6896929;1.153934265
830.846021;1.154159281
842.2868692;1.154604762
853.7277174;1.154773489
865.1685657;1.154754586
876.6094139;1.155049963
888.0502621;1.155307815
900.2065902;1.155246695
910.9342353;1.155420113
921.6596036;1.155706108
930.9562889;1.155677823
943.1120478;1.155715209
953.8379853;1.156113783
964.5639228;1.156310655
976.7196817;1.156212009
988.1605299;1.156479243
998.8864674;1.156976322
1008.182584;1.156980873
1019.623432;1.156807174
1030.349369;1.157135387
1041.076445;1.157444837
1051.086334;1.157224232
1061.098499;1.157177184
1071.108387;1.157632047
1082.549235;1.157800775
1092.5614;1.157622386
1104.717729;1.15770668
1114.014414;1.157927005
1123.308822;1.157922175
1134.036467;1.157997087
1145.477316;1.15820334
1154.058521;1.158160983
1164.068409;1.158099863
1172.648476;1.15832957
1182.659503;1.158521751
1191.240709;1.158549756
1201.251735;1.158657503
1210.547851;1.158788704
1219.129057;1.158849544
1229.140084;1.15894791
1238.4362;1.159116637
1247.017405;1.159233766
1256.312952;1.159346204
1265.60736;1.159529003
1274.188566;1.159566389
1282.769771;1.159519342
1290.636066;1.15969276
1299.932182;1.159880251
1308.513387;1.15987542
1317.094592;1.159917497
1325.673521;1.160170657
1333.539816;1.160264332
1339.976289;1.160175068
1349.987316;1.160390702
1357.85361;1.160695461
1367.148588;1.160700013
1375.013744;1.160704564
1382.880039;1.160957724
1390.746334;1.161102997
1400.04245;1.161041877
1408.623655;1.161159006
1417.202584;1.161402785
1422.924146;1.161435481
1431.505351;1.161435341
1439.371077;1.161650975
1446.521322;1.161819703
1454.387048;1.161880542
1460.823521;1.161969527
1468.687539;1.16198815
1475.124012;1.161978628
1482.990307;1.162062922
1490.856032;1.162189432
1497.290798;1.162254963
1503.727271;1.162320493
1511.593566;1.162451694
1517.312851;1.16255006
1524.464235;1.162587446
1531.615619;1.16267643
1539.479637;1.162802941
1545.91611;1.162859089
1551.637673;1.162821423
1557.356959;1.162938552
1563.793432;1.163201094
1570.944246;1.163280697
1576.664101;1.16329932
1583.100575;1.163482119
1588.81986;1.163632083
1594.541423;1.16360849
1600.260709;1.163655258
1604.55245;1.163809912
1610.988354;1.163842608
1616.708209;1.163814323
1621.713722;1.163926762
1628.149057;1.164053272
1633.155709;1.164067205
1639.589905;1.164128044
1643.166735;1.164245173
1649.600932;1.164268487
1654.607584;1.164371543
1660.326869;1.164573106
1664.61861;1.164610492
1669.622985;1.164610352
1675.344548;1.164760316
1680.348923;1.164891517
1685.355575;1.164816325
1688.930128;1.164858402
1693.220731;1.165078727
1697.511334;1.165045752
1701.086456;1.164918961
1706.092539;1.165064234
1709.667092;1.165218889
1714.673744;1.165049882
1718.248298;1.165007525
1723.252673;1.165302903
1726.829503;1.165363743
1731.118967;1.165199426
1734.695798;1.165325937
1737.555441;1.165485282
1740.415084;1.165363182
1746.136646;1.165391187
1747.566467;1.165611512
1751.855932;1.165517556
1756.147673;1.16529695
1758.292405;1.165498512
1762.581869;1.165700075
1765.44322;1.165493541
1768.303432;1.165394895
1771.878555;1.165568312
1774.739905;1.165610389
1776.884637;1.165483599
1780.459191;1.165445933
1781.889012;1.165619351
1784.749793;1.165778697
1786.180753;1.165764485
1789.755307;1.165773727
1791.185128;1.16585333
1794.761959;1.165965768
1796.19178;1.166045371
1798.336512;1.165993633
1800.481244;1.165946586
1801.911066;1.166077787
1804.056367;1.166152699
1806.202807;1.166044672
1807.632628;1.166204017
1809.06245;1.166518158
1811.207182;1.166386677
1811.922092;1.16622236
1813.353052;1.166517738
1814.068532;1.166564505
1816.213834;1.166273539
1817.643655;1.166385976
1818.358566;1.16653125
1818.358566;1.166254356
1820.503298;1.166174473
1820.503298;1.166418252
1821.218209;1.166333678
1822.64803;1.166183434
1823.362941;1.166366234
