H_650C_3lbf_start;B_650C_3lbf_start
-70.34681814;-0.084977837
-82.50297551;-0.098071329
-93.22896993;-0.111150211
-103.955192;-0.124253413
-116.1111786;-0.13722039
-126.1222623;-0.150133859
-136.8484844;-0.163115444
-146.8592835;-0.17611162
-156.8703103;-0.189078587
-166.881451;-0.202181779
-176.8923639;-0.215294711
-186.9032768;-0.228242209
-197.6294989;-0.241155649
-210.500567;-0.254195593
-222.6568951;-0.267245277
-234.097971;-0.280207394
-246.9692668;-0.293154902
-258.4104565;-0.305966184
-268.4213513;-0.318699639
-277.0022447;-0.331574188
-287.7283587;-0.344497387
-297.7393114;-0.357352467
-309.1803873;-0.37015889
-319.9066094;-0.382868006
-331.3476853;-0.395557662
-340.6435168;-0.408407883
-351.3695112;-0.421190005
-360.6655704;-0.433758055
-371.3915648;-0.446374744
-382.8326407;-0.459049811
-392.1286998;-0.471578933
-403.5697757;-0.484083725
-413.5806887;-0.496724734
-422.8767478;-0.509365752
-434.3178237;-0.521880284
-445.0438181;-0.5342586
-457.2002032;-0.546748813
-466.4960347;-0.559214687
-477.2220291;-0.571588133
-488.6633326;-0.583966459
-497.9594487;-0.596305867
-508.6853862;-0.608543117
-518.696413;-0.620799818
-529.4223505;-0.633144075
-540.148288;-0.645308339
-549.4444041;-0.657394765
-559.4554309;-0.669563898
-569.4664576;-0.681805999
-580.1923951;-0.693936194
-590.9183326;-0.705896134
-600.2144487;-0.718031218
-610.2254755;-0.730132233
-620.2365023;-0.742004606
-630.9624398;-0.753911038
-640.9734666;-0.765836929
-651.6994041;-0.777704442
-661.7104309;-0.789440599
-672.4363684;-0.801167027
-683.1623059;-0.812966422
-691.7435112;-0.824663651
-703.1843594;-0.836380349
-714.6252076;-0.848097047
-724.6362344;-0.859541294
-734.6472612;-0.870956353
-744.658288;-0.882400591
-754.6693148;-0.893514
-766.8250737;-0.904471734
-774.6913684;-0.915239744
-786.1322166;-0.925462883
-795.4283326;-0.935301674
-806.1542701;-0.944697761
-816.1652969;-0.953510076
-825.461413;-0.962093738
-834.7575291;-0.97040981
-846.1983773;-0.978073975
-855.4944934;-0.985407329
-866.2204309;-0.992740682
-876.2314576;-0.999645918
-886.9573951;-1.006127902
-897.6833326;-1.012692591
-906.9794487;-1.018970247
-917.7053862;-1.024664108
-926.2865916;-1.030445537
-937.0125291;-1.036217236
-947.7384666;-1.041439196
-957.7494934;-1.046549261
-967.7605201;-1.051844193
-978.4864576;-1.056696414
-989.2123951;-1.061086463
-997.7936005;-1.065739221
-1008.519538;-1.070450357
-1017.815654;-1.074563103
-1027.11177;-1.078471521
-1037.837708;-1.082773999
-1047.848734;-1.086969447
-1057.859761;-1.090522721
-1066.440967;-1.094071129
-1077.166904;-1.097955221
-1088.607752;-1.10139174
-1097.188958;-1.104463386
-1107.199984;-1.107763683
-1117.211011;-1.111010467
-1126.507127;-1.113853458
-1135.088333;-1.116662395
-1145.098221;-1.119558902
-1155.110386;-1.122109995
-1163.689315;-1.124476219
-1173.700342;-1.126988393
-1182.996458;-1.129325428
-1192.292574;-1.131380297
-1200.873779;-1.13342057
-1210.884806;-1.13536841
-1220.895833;-1.137116784
-1229.477038;-1.138787318
-1238.058243;-1.140423798
-1246.639449;-1.141894868
-1254.503467;-1.143229719
-1263.799583;-1.144549976
-1272.380788;-1.145699959
-1280.961993;-1.146718587
-1289.543199;-1.14786857
-1298.124404;-1.148935851
-1306.703333;-1.149735558
-1314.569627;-1.150569319
-1323.865743;-1.151553893
-1332.446949;-1.15219792
-1340.313243;-1.152569511
-1348.89388;-1.153242729
-1357.475085;-1.153945136
-1366.769493;-1.154282671
-1373.920877;-1.154644531
-1381.787172;-1.155269099
-1389.653467;-1.155699068
-1398.947875;-1.155895519
-1406.09869;-1.156286569
-1413.964984;-1.156735998
-1421.831279;-1.156932449
-1429.697574;-1.157124035
-1438.276502;-1.157515084
-1443.998065;-1.157808835
-1452.57927;-1.157990691
-1461.160476;-1.158230927
-1466.879761;-1.158407918
-1475.460967;-1.15856545
-1481.89744;-1.15883001
-1489.761458;-1.159070245
-1496.912842;-1.159193721
-1504.064226;-1.159356117
-1509.783511;-1.159581758
-1516.934895;-1.159719829
-1524.086279;-1.159814116
-1531.236525;-1.159981377
-1538.38677;-1.160138908
-1546.253065;-1.160208869
-1551.974058;-1.160254506
-1558.408824;-1.160470417
-1564.130386;-1.160749573
-1569.849672;-1.16079521
-1577.715967;-1.160797063
-1582.72148;-1.160974054
-1589.156815;-1.161097531
-1595.593288;-1.161055598
-1599.882752;-1.161120695
-1606.319226;-1.161302551
-1611.324739;-1.161348188
-1617.760074;-1.161340311
-1622.765587;-1.161473517
-1629.200922;-1.161606723
-1633.492663;-1.161603711
-1639.926859;-1.161649348
-1645.648422;-1.161782554
-1649.937886;-1.161823326
-1657.08927;-1.161922478
-1662.094214;-1.162099468
-1667.100297;-1.162086726
-1672.819583;-1.162039929
-1677.826234;-1.16216827
-1682.831748;-1.162223638
-1687.122351;-1.162064947
-1689.981993;-1.162149504
-1695.703556;-1.162467579
-1699.278109;-1.162459701
-1704.999672;-1.162344795
-1707.859315;-1.162546111
-1712.86369;-1.162713372
-1716.44052;-1.162510896
-1721.444895;-1.162483558
-1725.735498;-1.162821093
-1730.026101;-1.162822945
-1732.885743;-1.162576685
-1737.177484;-1.162739082
-1741.466949;-1.162906344
-1745.757551;-1.162703869
-1749.333243;-1.162734912
-1752.192886;-1.162989743
-1756.484627;-1.162879702
-1758.629359;-1.162701551
-1763.633734;-1.163034221
-1765.779605;-1.163279322
-1769.355297;-1.162999007
-1772.929851;-1.16292302
-1774.36081;-1.163221635
-1778.651413;-1.163301328
-1781.511056;-1.163137772
-1784.370699;-1.163134759
-1785.801659;-1.163336075
-1790.092261;-1.163410902
-1792.236993;-1.163295995
-1792.951904;-1.163302713
-1795.813824;-1.163392135
-1797.958556;-1.163437772
-1800.103288;-1.163429894
-1803.677842;-1.163344177
-1804.392752;-1.163321705
-1806.539192;-1.163479236
-1808.684493;-1.163544334
-1810.114315;-1.163341858
-1812.259047;-1.16338263
-1813.689438;-1.163593677
-1815.835877;-1.163347416
-1817.980609;-1.16313521
-1819.410431;-1.163424096
-1819.410431;-1.163430813
-1821.555163;-1.163145633
-1822.270074;-1.16334695
-1823.699895;-1.163519076
-1824.414806;-1.163219302
-1825.130286;-1.163211424
-1826.561246;-1.16351004
-1827.276726;-1.163302698
-1827.276726;-1.163027248
-1828.706547;-1.163228563
-1827.991636;-1.163308255
-1829.421458;-1.163120374
-1828.706547;-1.163034657
-1830.136368;-1.163124079
-1829.421458;-1.163159987
-1830.851279;-1.162986701
-1830.851279;-1.162944769
-1830.136368;-1.163092571
-1830.136368;-1.162987395
-1830.136368;-1.162867624
-1830.136368;-1.162937585
-1829.421458;-1.162900518
-1830.136368;-1.162824532
-1829.421458;-1.162889629
-1827.276726;-1.163008241
-1827.276726;-1.162912795
-1826.561246;-1.162793023
-1825.845766;-1.162940824
-1825.845766;-1.162894028
-1824.414806;-1.162642903
-1823.699895;-1.162591241
-1821.555163;-1.162646608
-1822.270074;-1.162526838
-1819.410431;-1.162348687
-1818.69552;-1.162423514
-1817.265699;-1.162508071
-1815.835877;-1.16235911
-1812.973958;-1.162161499
-1812.259047;-1.162241191
-1810.114315;-1.162281963
-1809.399404;-1.162064893
-1807.254672;-1.161998636
-1804.392752;-1.162131843
-1802.962931;-1.162055856
-1800.103288;-1.161819325
-1798.673467;-1.161864963
-1795.813824;-1.161968979
-1792.951904;-1.161824883
-1790.807172;-1.161671057
-1789.377351;-1.161770209
-1787.232618;-1.161694223
-1783.655788;-1.161389583
-1781.511056;-1.161352515
-1779.366324;-1.161456531
-1775.79177;-1.16124919
-1772.929851;-1.160998064
-1769.355297;-1.160990187
-1766.495085;-1.16093366
-1762.203913;-1.16071659
-1760.059181;-1.160635738
-1755.769717;-1.16063759
-1752.907797;-1.160367005
-1750.048154;-1.160183989
-1746.473031;-1.160171247
-1741.466949;-1.160046611
-1738.607306;-1.15991711
-1735.032183;-1.159933558
-1730.026101;-1.15995487
-1727.166458;-1.159932398
-1721.444895;-1.159875871
-1718.585252;-1.159809614
-1715.01013;-1.159723898
-1710.004047;-1.159608991
-1705.714583;-1.159484355
-1702.138321;-1.159393773
-1697.848288;-1.159254542
-1694.272596;-1.159018012
-1689.981993;-1.158961485
-1684.262708;-1.158904959
-1681.400788;-1.158736538
-1675.681502;-1.158641091
-1669.95994;-1.158618619
-1665.670476;-1.158566957
-1659.948913;-1.158442321
-1655.659449;-1.158366334
-1649.937886;-1.158256293
-1644.218601;-1.158131657
-1638.497038;-1.158011886
-1634.207574;-1.157882384
-1629.200922;-1.157748018
-1622.050107;-1.157560138
-1618.474984;-1.157493881
-1612.040219;-1.157374109
-1607.034136;-1.157088929
-1601.312574;-1.156901049
-1596.308199;-1.156722898
-1589.871726;-1.156500963
-1584.867351;-1.156303353
-1578.430877;-1.156086282
-1571.996112;-1.155883807
-1565.560208;-1.155603492
-1559.123734;-1.155323177
-1554.119359;-1.155179081
-1547.682886;-1.155025255
-1541.246413;-1.154851969
-1534.812217;-1.154654358
-1528.375743;-1.154437288
-1521.226636;-1.154317517
-1514.790163;-1.154134501
-1509.068601;-1.153893106
-1501.919493;-1.153753875
-1494.768109;-1.153600048
-1487.616726;-1.153412168
-1481.182529;-1.153131853
-1474.746056;-1.152846672
-1466.879761;-1.152736631
-1461.160476;-1.15248064
-1454.009092;-1.152059241
-1446.857708;-1.151837306
-1439.707462;-1.15166402
-1432.557217;-1.151262081
-1423.976011;-1.150855277
-1417.539538;-1.150613882
-1409.67552;-1.150304377
-1402.524136;-1.149824597
-1394.657842;-1.149422658
-1386.076636;-1.149156938
-1377.495431;-1.148784188
-1370.346324;-1.148250895
-1362.480029;-1.14777598
-1354.613734;-1.147378906
-1347.46292;-1.146855343
-1338.883422;-1.146331779
-1331.732038;-1.14578389
-1323.150833;-1.145075458
-1316.000018;-1.144405946
-1306.703333;-1.143765623
-1298.839315;-1.143008541
-1291.687931;-1.142168755
-1283.106726;-1.141338698
-1275.955911;-1.140406478
-1267.374705;-1.139294254
-1258.795208;-1.138196626
-1250.214002;-1.137030888
-1242.347708;-1.135626765
-1235.196324;-1.134212913
-1227.332306;-1.132891495
-1218.03619;-1.131424128
-1208.740074;-1.129771894
-1200.158868;-1.12813912
-1191.577663;-1.126496616
-1183.711368;-1.124678974
-1175.130163;-1.122647273
-1165.835185;-1.120581518
-1156.540208;-1.118593603
-1149.388824;-1.116411089
-1140.807618;-1.114004784
-1132.226413;-1.1115401
-1122.215386;-1.109002443
-1113.635319;-1.106240996
-1102.908243;-1.103343329
-1095.044226;-1.100586747
-1085.74754;-1.097698811
-1075.022172;-1.094475193
-1065.726056;-1.091266169
-1057.859761;-1.088134985
-1049.278556;-1.084799474
-1037.837708;-1.081245039
-1029.256502;-1.077695469
-1019.960386;-1.07412644
-1010.66427;-1.070387136
-1001.368723;-1.066511613
-992.072038;-1.06253879
-983.4931094;-1.05835191
-974.9119041;-1.053912052
-964.1859666;-1.049413814
-954.8898505;-1.044925305
-944.163913;-1.040349227
-934.8677969;-1.035510442
-925.5716809;-1.030515978
-916.9904755;-1.025555569
-907.6943594;-1.020385966
-899.1131541;-1.01492933
-889.1021273;-1.0093608
-879.8077188;-1.003646321
-869.0800737;-0.997664269
-859.0701853;-0.991468159
-849.0580201;-0.985189345
-840.4790916;-0.978540791
-831.1824063;-0.971366821
-821.8868594;-0.964037173
-811.8758326;-0.956566441
-803.2946273;-0.948662731
-793.2836005;-0.94030172
-783.9874844;-0.931692587
-774.6913684;-0.922733166
-765.3952523;-0.913272651
-754.6693148;-0.90340836
-744.658288;-0.893237579
-734.6472612;-0.882740829
-726.0660559;-0.871991107
-717.4848505;-0.861260855
-706.7594822;-0.850447885
-697.4627969;-0.839377084
-687.4529085;-0.828223586
-677.4430201;-0.817128446
-668.8618148;-0.805974938
-658.850788;-0.794597656
-648.8397612;-0.783186316
-639.5436451;-0.77197443
-629.5326184;-0.760674977
-618.8066809;-0.749117691
-610.2254755;-0.737589595
