H_675C_10s;B_675C_10s
-3.9221;-0.764504
-3.6358;-0.751919
-2.92032;-0.739208
-2.49114;-0.726362
-2.06254;-0.713369
-1.34763;-0.700234
-0.917884;-0.686958
-0.775016;-0.673518
-0.631578;-0.659915
0.3685;-0.646171
0.3685;-0.632285
0.797674;-0.618229
1.37085;-0.604002
1.65659;-0.589626
1.94233;-0.575087
2.5138;-0.560399
2.65667;-0.54557
2.94241;-0.530607
3.22871;-0.515488
3.37215;-0.500206
3.51559;-0.484798
3.65902;-0.46927
4.37337;-0.453594
4.08763;-0.437754
4.37337;-0.421789
4.51623;-0.405711
4.6591;-0.389522
4.6591;-0.373237
4.80197;-0.356877
4.80197;-0.340436
5.23058;-0.323891
5.23058;-0.307271
5.37401;-0.290577
5.37401;-0.273801
5.51688;-0.256951
5.66032;-0.240056
5.80376;-0.22311
5.94662;-0.206066
5.94719;-0.188956
6.23293;-0.171794
6.23293;-0.154572
6.09006;-0.137276
6.23293;-0.119921
6.23293;-0.102491
6.3758;-0.0849801
6.3758;-0.0674093
6.51867;-0.0497939
6.3758;-0.0321116
6.51867;-0.014355
6.94727;0.00343126
6.94727;0.0212621
6.8044;0.039145
6.94727;0.0571022
7.23301;0.0751114
7.23301;0.0931503
7.23301;0.111249
7.37588;0.129429
7.66161;0.147661
7.80505;0.165915
7.80562;0.184229
7.80505;0.202602
7.80505;0.22102
8.23479;0.239475
8.09193;0.258012
8.37823;0.276623
8.37823;0.295264
8.66397;0.313942
8.80684;0.332657
8.80684;0.351424
9.09257;0.370213
9.09257;0.38901
9.09257;0.407837
9.52232;0.426693
9.66519;0.445557
9.66519;0.46442
9.95206;0.483299
10.2378;0.50217
10.5235;0.521041
10.8093;0.539927
10.8093;0.558806
11.095;0.577662
11.5236;0.596496
11.667;0.6153
11.9534;0.634075
12.3831;0.65282
12.9546;0.671535
13.0974;0.69019
13.3832;0.708757
14.0981;0.727256
14.2421;0.745667
14.8141;0.763981
15.2427;0.782191
15.9571;0.800304
16.5297;0.818313
17.388;0.836181
17.8166;0.853893
18.531;0.871419
19.3905;0.888737
20.2477;0.90584
20.9626;0.92269
21.8215;0.939243
22.8216;0.955476
24.1097;0.971338
25.3955;0.986821
26.6836;1.00193
28.114;1.01662
29.4004;1.03089
31.2599;1.04478
33.1195;1.05823
34.9791;1.07123
36.8386;1.08379
39.1262;1.09589
41.1281;1.10745
43.846;1.11843
46.277;1.12881
48.7081;1.13854
51.1391;1.14758
53.9992;1.15592
57.0026;1.16355
60.292;1.17048
63.4382;1.17672
66.5846;1.18232
70.1599;1.18729
73.5923;1.1917
77.4537;1.19562
81.172;1.19909
85.1764;1.20217
89.0378;1.20488
92.8992;1.20728
97.0466;1.20941
101.051;1.21129
105.198;1.21295
109.346;1.21445
113.35;1.21578
117.498;1.21693
121.645;1.21796
125.649;1.21889
129.797;1.21972
134.23;1.22045
138.235;1.22109
142.096;1.22168
146.387;1.22219
150.534;1.22265
154.252;1.22308
158.114;1.22348
162.404;1.22382
166.122;1.22412
170.127;1.22441
173.559;1.22467
177.564;1.2249
181.282;1.22514
185.143;1.22536
188.862;1.22554
192.437;1.22572
195.869;1.22589
199.731;1.22603
203.02;1.22616
206.595;1.22631
210.028;1.22644
213.603;1.22654
217.036;1.22662
220.468;1.22673
223.471;1.22683
226.76;1.22691
230.05;1.227
233.196;1.22708
236.485;1.22712
239.203;1.22717
242.349;1.22726
245.352;1.22731
248.07;1.22734
251.073;1.22741
253.933;1.22749
256.65;1.22752
259.511;1.22755
262.514;1.22762
265.088;1.22768
267.949;1.22769
270.666;1.22773
273.24;1.22778
275.814;1.22779
278.532;1.22783
281.106;1.22788
283.68;1.2279
285.968;1.22791
288.4;1.22794
290.688;1.22797
293.262;1.22796
295.407;1.22798
297.838;1.22803
299.984;1.22805
302.272;1.22803
304.131;1.22805
306.562;1.22809
308.565;1.2281
310.853;1.22811
312.569;1.22816
314.714;1.22818
316.716;1.2282
318.432;1.22823
320.292;1.22825
322.008;1.22823
324.01;1.22823
326.012;1.22825
327.728;1.22827
329.588;1.22826
331.161;1.22826
332.734;1.2283
334.307;1.2283
336.023;1.22829
337.74;1.2283
339.17;1.22833
340.6;1.22834
342.316;1.22836
343.603;1.2284
344.747;1.22841
346.32;1.2284
347.607;1.22841
349.181;1.22843
350.182;1.22845
351.469;1.22845
352.756;1.22847
353.9;1.22846
354.901;1.22844
356.045;1.22844
357.189;1.22847
358.19;1.22847
359.048;1.22846
360.193;1.22847
360.908;1.22847
361.909;1.22846
362.91;1.22845
363.768;1.22844
364.34;1.22843
365.198;1.22843
365.913;1.22845
366.628;1.22847
367.343;1.22847
368.201;1.22846
368.631;1.22845
369.202;1.22844
369.775;1.22846
370.347;1.22848
370.919;1.22848
371.491;1.22847
371.92;1.22846
372.635;1.22848
372.921;1.22848
373.207;1.22849
373.636;1.22849
374.065;1.22849
374.351;1.22851
374.494;1.22854
374.923;1.22855
375.209;1.22855
375.352;1.22854
375.495;1.22853
375.638;1.22852
375.781;1.2285
375.781;1.22849
375.924;1.22849
376.067;1.22848
375.924;1.22848
375.924;1.22848
375.924;1.22847
375.924;1.22845
375.781;1.22844
375.638;1.22843
375.495;1.22843
375.495;1.22844
375.209;1.22844
375.066;1.22844
374.78;1.22844
374.494;1.22845
374.208;1.22846
373.922;1.22843
373.779;1.22841
373.207;1.22841
372.635;1.22842
372.492;1.2284
372.063;1.22841
371.491;1.22841
371.205;1.2284
370.776;1.22839
370.347;1.22838
369.632;1.22835
369.202;1.22832
368.63;1.22831
367.915;1.22831
367.343;1.22829
366.628;1.22827
365.913;1.22825
365.341;1.22824
364.912;1.22821
363.911;1.22821
363.053;1.22821
362.195;1.22818
361.48;1.22817
360.765;1.22817
360.05;1.22815
359.048;1.22812
358.19;1.22813
357.189;1.22814
356.188;1.22811
355.33;1.22809
354.329;1.22807
353.614;1.22805
352.327;1.22805
351.326;1.22806
350.182;1.22804
349.038;1.22801
348.037;1.22799
346.749;1.22798
345.462;1.22796
344.318;1.22793
343.031;1.2279
341.744;1.22786
340.457;1.22782
339.313;1.2278
337.453;1.22779
336.738;1.22776
335.308;1.22773
333.735;1.22771
332.591;1.22769
331.161;1.22766
329.731;1.22763
328.301;1.22762
326.727;1.22759
325.297;1.22757
323.867;1.22756
322.151;1.22753
320.721;1.22751
319.005;1.22749
317.574;1.22745
316.001;1.22741
314.714;1.22737
312.998;1.22734
311.282;1.22731
309.423;1.22726
307.849;1.22722
306.133;1.22717
