H_675C_0.8lbf_strip';'B_675C_0.8lbf_strip'
-43.55774898;-0.123402716
-49.2770347;-0.13775427
-54.28368648;-0.152125351
-57.85869541;-0.166535475
-64.29420099;-0.180950486
-67.86960836;-0.195370373
-73.59003247;-0.209819541
-78.59560278;-0.224278481
-83.60117309;-0.238776494
-89.32182488;-0.253294044
-93.61208604;-0.267811593
-97.90257488;-0.282363318
-102.9079744;-0.29694922
-107.9134878;-0.311569298
-112.2039767;-0.326213779
-117.9246284;-0.34088754
-120.7849543;-0.355605241
-125.790297;-0.370313179
-130.0807289;-0.385050396
-135.0861284;-0.399802254
-138.6615358;-0.414519955
-142.2369432;-0.429218139
-146.527432;-0.44389191
-152.2480838;-0.458516855
-155.108182;-0.473073457
-160.1137523;-0.487581243
-165.8341764;-0.502049956
-169.4095838;-0.51646008
-172.2699097;-0.530811625
-177.9905615;-0.545153407
-183.7112133;-0.559465898
-187.286393;-0.57370517
-192.2919633;-0.587866327
-198.7274689;-0.601964027
-203.0179577;-0.615964094
-208.023528;-0.629871396
-214.4590905;-0.643720128
-218.7495224;-0.657481
-224.4701173;-0.671178417
-229.4755168;-0.684817243
-235.1961686;-0.698373078
-240.9168204;-0.711865456
-244.4921709;-0.725299254
-249.4975704;-0.738689123
-254.5031407;-0.752005762
-258.0783204;-0.765224769
-261.6537904;-0.778346134
-265.944228;-0.79136496
-269.5196012;-0.804242214
-273.8099876;-0.816958379
-278.1003512;-0.829523209
-283.8209506;-0.841887887
-288.1113894;-0.854018257
-293.1169199;-0.865880142
-298.1224276;-0.877463759
-303.127958;-0.88872517
-307.418259;-0.89963998
-312.4238293;-0.910227706
-317.4293997;-0.920488359
-323.1498238;-0.930441454
-326.7252311;-0.940101633
-332.4458829;-0.949449396
-338.166307;-0.958445692
-342.4567959;-0.967110038
-347.4623662;-0.975452167
-352.4677088;-0.983472079
-357.4732791;-0.991169802
-361.763711;-0.998559985
-366.7691106;-1.005657263
-372.4897624;-1.012442107
-378.2104142;-1.018934047
-383.2157568;-1.025142846
-386.7911642;-1.031073385
-392.5118159;-1.036745192
-398.2322401;-1.0422022
-403.9528918;-1.047439529
-408.2433807;-1.052427892
-413.2487233;-1.057191693
-418.2542936;-1.061779749
-423.9747177;-1.06615301
-429.6953695;-1.070311473
-435.4160213;-1.074318601
-440.4215916;-1.078179277
-444.7118528;-1.081854446
-451.147586;-1.085353873
-456.1529287;-1.088697084
-461.8735805;-1.091869434
-468.3093137;-1.094875805
-472.5998026;-1.097730842
-478.3202267;-1.100483361
-482.6106017;-1.103094309
-487.6160581;-1.105588095
-492.6216284;-1.107989128
-498.3422802;-1.110243709
-504.062932;-1.112346954
-507.6381117;-1.114328155
-513.3588204;-1.116241011
-518.3631954;-1.118046469
-524.0847579;-1.119734765
-529.0908405;-1.12136448
-532.6659633;-1.122911206
-538.385249;-1.124331008
-543.3919008;-1.125677584
-546.9664543;-1.126994869
-552.6880168;-1.128199873
-558.4073026;-1.12929748
-561.9841329;-1.130380441
-567.7039878;-1.131385295
-572.7100704;-1.132258341
-576.284624;-1.133087452
-582.0061865;-1.133877509
-586.2956508;-1.134565048
-590.5856843;-1.135184242
-594.8768561;-1.135818081
-599.8823695;-1.136407985
-604.1729722;-1.136900254
-608.4624365;-1.137372995
-613.4690883;-1.137845737
-618.4734633;-1.138235489
-622.0502936;-1.138576423
-627.0546686;-1.13895153
-632.0607512;-1.139282701
