'H_675C_2.5lbf_strip_2';'B_675C_2.5lbf_strip_2'
76.14976112;0.120926066
89.02099995;0.13913887
99.0319129;0.15741869
110.4731026;0.175840909
121.1989832;0.194342703
134.0704497;0.21279005
143.3663381;0.231266709
152.6621127;0.249822951
161.2430904;0.268358257
172.6843939;0.286931243
183.4102176;0.305546101
192.7062198;0.324114903
203.4324419;0.342729785
216.3034531;0.361466106
228.4598381;0.380181474
240.6159955;0.398804707
252.0571226;0.417453076
264.2133881;0.436134958
273.5092031;0.454728888
283.5202521;0.473285122
292.8162145;0.491837172
303.5422544;0.510271959
313.5531674;0.528585291
324.2793895;0.546793919
335.7204654;0.564914604
347.1615412;0.582930594
358.6026171;0.600846056
367.8986194;0.618744775
378.6246707;0.636534598
388.6355837;0.654156878
400.7917979;0.671745653
410.0878002;0.689275789
420.8137946;0.706592342
431.5399029;0.723871208
441.5509296;0.74111657
452.9920055;0.758160918
464.4330814;0.775058683
475.8741573;0.791763793
487.3154609;0.808267872
498.7565368;0.824516473
509.4830435;0.840409092
520.2084118;0.855903858
530.220577;0.870904427
541.6614252;0.885431735
553.1022734;0.899489973
563.8282109;0.913037254
574.5541484;0.926098731
585.2800859;0.938632516
596.7209341;0.950663727
607.4468716;0.962129542
618.8877198;0.973067648
632.4750078;0.983444574
644.6313359;0.9932268
654.6423627;1.002539957
668.227943;1.011354742
679.6693604;1.019658569
691.1102087;1.027472392
704.6974966;1.034833897
716.1383448;1.041776589
729.7239252;1.048371681
741.1647734;1.054619167
754.7526305;1.060531609
766.1934787;1.066155074
778.3492377;1.07153563
791.2204765;1.076698405
802.6613247;1.081635024
815.5331328;1.086383179
826.2596395;1.090980564
836.985577;1.095427178
850.5711573;1.099706271
862.0120055;1.103788524
874.8838136;1.107669747
884.8959787;1.11146302
899.1964698;1.115172533
910.637318;1.118609821
922.0781662;1.121825141
932.8041037;1.125019521
944.244952;1.128033815
957.1178984;1.130754945
967.8438359;1.133388124
980.7145055;1.135920788
991.440443;1.138122594
1003.596202;1.140131749
1015.03705;1.142094837
1025.048077;1.14388621
1037.919885;1.145539378
1049.361872;1.147104598
1060.80272;1.148552552
1071.528657;1.149812041
1084.399327;1.151033838
1095.125264;1.152268202
1107.281023;1.153213588
1118.008099;1.154004014
1130.164427;1.154920082
1140.890934;1.155656064
1150.901961;1.156124009
1162.342809;1.156663151
1173.068747;1.157223233
1183.794684;1.157636733
1193.805711;1.157958095
1203.816738;1.15825014
1215.972497;1.158605007
1225.268613;1.158930557
1236.709461;1.159055079
1245.290666;1.159250799
1256.016604;1.159576349
1266.742541;1.159688307
1276.038657;1.159804453
1286.049684;1.16018026
1295.3458;1.160342475
1304.641916;1.16024503
1314.652943;1.160486818
1323.949059;1.160904506
1333.960086;1.16087407
1342.541291;1.160814317
1353.982139;1.161252945
1362.563345;1.161503111
1371.857753;1.161284212
1382.583122;1.161421299
1391.164327;1.161914372
1399.745532;1.161959321
1410.47147;1.161769738
1419.052675;1.162036655
1428.348791;1.162387333
1436.929997;1.162331768
1446.226113;1.162368341
1455.522229;1.162647822
1462.671336;1.162667642
1471.252541;1.162599513
1479.833747;1.162853866
1488.414952;1.163078902
1496.280677;1.163027525
1504.861883;1.163068285
1511.296648;1.163234687
1520.592764;1.163283824
1527.744148;1.163337149
1536.324785;1.163532868
1543.474461;1.163695082
1553.485488;1.163685586
1559.921961;1.16369703
1567.787686;1.16389275
1574.222452;1.164054965
1582.803657;1.164066409
1590.669952;1.164161615
1597.106425;1.164369898
1602.825711;1.164469292
1609.977095;1.164505865
1616.412999;1.164655515
1622.847764;1.164813541
1629.999148;1.164820798
1636.435052;1.164777797
1643.584729;1.164889755
1650.021202;1.165043593
1656.455398;1.165029909
1662.891872;1.165041354
1670.043256;1.165207756
1677.192363;1.165290398
1683.628836;1.16526415
1689.350398;1.165359355
1695.069684;1.165504818
1700.791247;1.165507886
1705.795622;1.165515142
1711.517184;1.165639664
1717.23647;1.165718118
1722.958032;1.16571281
1729.392798;1.165774511
1734.398881;1.165878093
1740.120443;1.165881161
1745.839729;1.165875854
1750.845811;1.165958495
1755.135845;1.166020196
1760.142497;1.166006512
1765.146872;1.165992828
1770.867865;1.166062906
1775.157898;1.166199992
1779.44907;1.166249129
1783.739104;1.166222881
1788.743479;1.166292958
1792.320309;1.16639654
1797.324684;1.166403796
1800.186604;1.166406864
1805.190979;1.166493694
1808.765532;1.166559583
1813.772184;1.166516582
1817.346738;1.166511275
1822.353389;1.166656737
1823.783211;1.16671425
1828.787586;1.166616804
1831.649506;1.166636624
1835.224059;1.166727642
1837.368791;1.166726522
1840.228434;1.166775659
1843.805264;1.166849924
1846.664907;1.166819487
1848.809639;1.166822555
1852.38647;1.166829812
1855.246113;1.166774247
1858.105756;1.166840136
1860.965968;1.166956282
1863.112407;1.166934222
1865.97205;1.166882845
1868.831693;1.16693617
1871.693613;1.167052316
1873.123434;1.167088889
1874.553256;1.167041701
1877.412898;1.167015452
1878.84272;1.167056213
1880.272541;1.167147231
1882.418981;1.167100043
1883.134461;1.166985845
1885.279193;1.167097803
1887.423925;1.167213949
1887.423925;1.167066247
1888.853747;1.166968802
1890.284706;1.16716871
1891.715666;1.167259728
1892.430577;1.166998948
1894.575309;1.166968512
1895.29022;1.167273122
1896.005131;1.167242686
1896.005131;1.16703635
1897.434952;1.16723207
1898.864773;1.167310524
1897.434952;1.166982734
1900.294595;1.167023496
1899.579684;1.167261096
1900.294595;1.167038008
1900.294595;1.166856801
1901.010075;1.167086025
1900.294595;1.167160291
1900.294595;1.166970708
1901.010075;1.166986341
1901.010075;1.167211376
1901.010075;1.167206068
1900.294595;1.16702905
1900.294595;1.167149384
1900.294595;1.167315787
1900.294595;1.167209966
1898.864773;1.167116708
1898.864773;1.167190974
1898.864773;1.167227547
1896.005131;1.167113349
1895.29022;1.16710804
1894.575309;1.167224186
1893.860398;1.167126741
1893.145488;1.166932969
1891.715666;1.166969542
1891.715666;1.167010303
1888.853747;1.166812344
1888.138836;1.166760967
1887.423925;1.166923182
1885.994104;1.166842488
1884.564282;1.166682222
1883.134461;1.166785804
1881.703501;1.166843317
1880.272541;1.16666211
1877.412898;1.166556288
1876.697988;1.166563545
1874.553256;1.166461911
1873.123434;1.166356089
1871.693613;1.166363345
1868.831693;1.166316156
1865.97205;1.16619777
1863.112407;1.166171522
1861.681447;1.166166214
1858.820666;1.166047828
1856.675934;1.165975511
1853.101381;1.1660414
1850.240599;1.166015152
1847.379818;1.165867449
1845.949997;1.165832824
1842.374874;1.165831704
1840.228434;1.165713319
1836.653881;1.16564519
1834.509148;1.165685951
1830.934026;1.165651327
