H_675C_2.5lbf_strip';'B_675C_2.5lbf_strip'
60.58499945;0.072819235
72.02607534;0.085867869
83.46715124;0.09895602
94.90845481;0.112078743
104.9193678;0.125147126
117.7906066;0.13832419
127.0866657;0.151481495
136.3824972;0.164683251
145.6783287;0.177934403
156.4045508;0.191106522
167.1305452;0.204278651
176.4263767;0.21756932
187.8676803;0.230859989
199.3087561;0.244086468
210.749832;0.257317872
222.9059894;0.270578903
236.4923097;0.28377078
246.5034503;0.296923141
256.5143633;0.310228643
265.8103029;0.32348474
276.5364169;0.336686496
285.8322426;0.349957427
296.5583566;0.363124621
307.2844649;0.376188059
318.7255407;0.389355233
328.7364537;0.402527352
339.4626758;0.415566098
350.1886702;0.428629546
359.4845017;0.441638664
370.210553;0.454539101
379.5065553;0.467459286
390.2326066;0.480369593
399.5286088;0.493181108
410.9696847;0.505948171
419.5506624;0.518784398
430.9915106;0.531610747
443.1478957;0.544318545
452.443841;0.556976948
463.1697215;0.569689681
473.8959436;0.582234468
485.3370195;0.594680473
494.632851;0.607185754
504.6439916;0.619651508
513.9391401;0.632038228
525.3799883;0.644513871
536.8231133;0.657048789
545.4020419;0.669489841
556.8451669;0.681876551
566.1395753;0.694194108
576.1517405;0.70650673
585.446149;0.718750208
595.4571758;0.730875126
605.4682026;0.743079077
616.9090508;0.755223763
625.4902561;0.767220262
635.5012829;0.779271091
646.9432695;0.791287348
656.9531579;0.803214693
666.9653231;0.815062984
676.9752115;0.826896462
688.4183365;0.838734884
697.712745;0.850380648
708.4381133;0.861902908
718.4502785;0.873212761
728.4601669;0.883979269
739.9032919;0.89437037
749.1977003;0.904405801
759.9253454;0.913799067
768.504274;0.922742836
779.947399;0.93133587
791.3882472;0.939415158
799.9671758;0.94712892
811.4103008;0.954452446
819.9892294;0.961326458
830.0013945;0.968047339
840.0112829;0.974461958
850.738928;0.980372728
862.8952561;0.986174824
871.4764615;0.991967041
882.9173097;0.997364083
894.3581579;1.002380766
903.654274;1.007397449
913.6647316;1.01213751
922.245937;1.016467574
932.9713053;1.020896431
943.6983811;1.025216615
954.4243186;1.029092227
964.4353454;1.032898681
975.8761936;1.03681381
985.8872204;1.040343643
994.4684258;1.043522758
1005.193794;1.046943916
1014.490479;1.050399651
1023.784888;1.053351538
1035.227444;1.056130535
1045.237901;1.059240492
1054.534587;1.062226955
1065.259955;1.064684872
1073.839453;1.067207005
1085.997488;1.070065037
1094.576417;1.072582231
1105.304062;1.074793162
1115.31395;1.077196743
1124.610636;1.079629962
1133.190703;1.081791496
1143.201729;1.083953029
1151.782935;1.086213359
1161.793962;1.088216824
1171.090078;1.090126433
1180.386194;1.092218813
1188.967399;1.094197578
1197.548604;1.095993572
1207.558493;1.097829087
1216.855178;1.099625084
1224.719765;1.101322285
1233.30097;1.102999728
1241.882176;1.104662353
1250.463381;1.106216304
1258.329676;1.107770256
1269.055613;1.109363726
1275.48981;1.110769487
1283.356104;1.112086332
1291.93731;1.113556309
1301.948337;1.114962071
1309.09972;1.116160363
1316.963738;1.117398172
1325.544944;1.118744655
1334.126149;1.119849091
1341.277533;1.120795456
1349.143828;1.122013506
1359.153716;1.123231557
1366.303962;1.124148285
1374.170256;1.12509465
1382.751462;1.126233663
1389.901138;1.127209666
1398.482343;1.127988082
1406.348069;1.128909749
1412.784542;1.129865994
1421.365747;1.130590073
1428.514854;1.131299333
1437.09606;1.132166663
1444.247444;1.132935201
1450.682778;1.133609884
1458.547935;1.134333963
1464.269497;1.135003707
1472.135792;1.135643812
1479.284899;1.136333315
1486.436283;1.13697342
1492.157845;1.137509792
1500.736774;1.138051104
1506.458337;1.138617114
1512.89481;1.139128787
1520.043917;1.139596001
1526.48039;1.140078036
1534.346116;1.140535371
1540.780881;1.14093837
1546.502444;1.141282093
1552.937209;1.141680152
1558.658203;1.142147367
1565.094676;1.142436752
1571.528872;1.142656982
1577.250435;1.143035282
1583.686908;1.143374065
1589.406194;1.143544898
1594.412276;1.143789826
1599.41722;1.144133548
1606.568604;1.144338959
1610.143158;1.144494972
1615.86472;1.144774478
1620.869095;1.145034225
1627.305569;1.145180359
1632.309944;1.145370951
1638.746417;1.145576362
1643.035881;1.145678039
1648.757444;1.14587851
1653.047477;1.146162956
1658.05356;1.146284392
1662.343024;1.14637619
1668.064587;1.146616178
1673.069531;1.14680183
1677.360703;1.146799774
1683.079988;1.147005184
1686.656819;1.147393364
1690.231372;1.147475283
1695.238024;1.147463347
1698.812578;1.147718154
1702.387131;1.147923565
1706.678872;1.147802955
1710.253426;1.147865114
1715.257801;1.148238475
1718.11972;1.148315454
1721.694274;1.148189906
1725.985446;1.148385437
1729.560569;1.148556271
1734.564944;1.14846036
1735.995334;1.148571916
1741.001417;1.148831664
1743.86106;1.148711054
1746.722979;1.148536107
1750.297533;1.148850192
1753.157176;1.149085241
1757.448348;1.148910295
1761.02347;1.148844023
1763.883113;1.149079071
1765.314073;1.149200507
1768.889765;1.149109536
1770.319587;1.149142058
1774.609051;1.14932771
1776.039441;1.149409628
1778.185881;1.149338416
1781.045524;1.1493166
1783.190256;1.14937876
1784.620647;1.149455738
1787.481997;1.1494932
1789.626729;1.149421987
1791.771462;1.149395232
1792.486372;1.149531487
1794.631104;1.14954425
1796.776975;1.149379183
1797.492455;1.149470981
1801.067578;1.149671452
1801.067578;1.149452048
1803.92722;1.149282041
1803.92722;1.149566487
1805.35818;1.149623706
1806.78914;1.149433941
1806.78914;1.149624533
1808.933872;1.149745969
1809.648783;1.149487048
1810.363694;1.149489931
1809.648783;1.14972498
1811.078604;1.14960931
1812.508426;1.1494887
1812.508426;1.14970399
1813.223337;1.149761209
1813.223337;1.149606022
1814.653158;1.149505172
1813.938247;1.149527814
1815.368069;1.149540577
1814.653158;1.14938539
1813.938247;1.149319117
1814.653158;1.149356578
1814.653158;1.14921621
1813.938247;1.149105481
1813.938247;1.149093545
1812.508426;1.149017393
1812.508426;1.148877025
1811.793515;1.148800873
1811.793515;1.148867972
1810.363694;1.148816518
1809.648783;1.148730487
1809.648783;1.148832164
1807.504051;1.148795529
1806.78914;1.148645282
1806.78914;1.148643225
1805.35818;1.148720204
1803.92722;1.148584775
1801.782488;1.148365371
1801.067578;1.148358375
1798.207935;1.148356319
1798.207935;1.148235709
1795.346015;1.148100281
1793.916194;1.14816738
1792.486372;1.148155444
1789.626729;1.147936041
1788.196908;1.147859889
1786.051607;1.147917108
1783.905167;1.14776192
1781.760435;1.147498059
1779.615703;1.147461424
1778.185881;1.147479127
1775.323962;1.147309121
1772.464319;1.147094658
1770.319587;1.14712224
1768.174854;1.147075726
1764.598593;1.146801986
1762.453292;1.146666557
1758.878738;1.146654621
1756.017388;1.146454976
1752.442265;1.146250392
1749.582622;1.146243395
1746.722979;1.146167243
1743.86106;1.145933021
1741.001417;1.145817352
1737.426294;1.145785657
1733.135122;1.145546494
1730.275479;1.14534685
1726.700926;1.145216361
1723.124095;1.144996958
1718.11972;1.144733098
1714.54289;1.144543333
1711.683247;1.144447422
1706.678872;1.144331753
1703.816953;1.144176566
1698.812578;1.1440115
1695.238024;1.143876071
1691.661194;1.143706065
1686.656819;1.143491602
1682.365078;1.143316656
1678.790524;1.14314665
1675.21597;1.142951946
1669.494408;1.142856035
1665.203805;1.142725547
1660.198292;1.142491325
1655.193917;1.142316379
1650.902176;1.142156252
1645.897232;1.141951669
1640.891149;1.141692748
1635.886774;1.141473345
1629.450301;1.14127864
1625.160837;1.141074056
1620.154185;1.140839833
1613.71885;1.140541396
1608.713337;1.140257777
1603.708962;1.139984038
1597.987399;1.139764635
1592.981316;1.139495834
1587.976372;1.139118359
1582.255948;1.138805101
1577.250435;1.138511602
1571.528872;1.138173645
1564.379765;1.13780605
1558.658203;1.137403877
1552.937209;1.137041222
1547.217354;1.136648928
1540.780881;1.136177599
1535.061595;1.135730968
1528.625122;1.135294217
1521.474307;1.134847586
1515.039542;1.134376257
1507.173247;1.133904929
1502.883214;1.133482997
1495.017488;1.132957331
1489.295926;1.132313113
1482.86116;1.13174299
1476.425256;1.131222264
1469.273872;1.130612623
1462.839107;1.129909128
1457.833024;1.129235272
1449.967299;1.128635511
1443.532533;1.127897438
1436.381149;1.127021055
1427.799944;1.126243466
1420.650837;1.125480695
1414.214363;1.124554913
1406.348069;1.123579734
1398.482343;1.122688532
1392.047578;1.12174793
1384.181283;1.120718412
1376.314988;1.119772871
1369.163604;1.118852031
1360.584676;1.117886733
1352.718381;1.116872037
1344.137176;1.115812881
1336.270881;1.114758665
1329.121774;1.113659993
1321.97039;1.112536623
1314.819006;1.111383616
1306.953281;1.110171333
