'H_675C_3.5lbf_strip';'B_675C_3.5lbf_strip'
127.7642099;0.111640665
144.9261653;0.126773489
162.0876653;0.14206549
179.2493929;0.15744703
196.4111206;0.172808672
213.5728483;0.188170314
225.0138559;0.20357673
239.3153374;0.218948321
253.6168188;0.234280117
272.2087891;0.249786009
287.9401831;0.265391398
303.6717478;0.280772937
316.5429867;0.296109693
332.2747791;0.311555893
348.0061161;0.326837946
368.0281697;0.341950873
385.1898974;0.35719811
408.0720492;0.372455297
425.2337769;0.387558274
446.6859934;0.402790584
465.2776563;0.418037822
476.7198706;0.433086097
491.0203617;0.448099546
503.8910313;0.463287082
516.7639778;0.478400009
533.9241117;0.493289086
551.0865224;0.508217957
569.6787545;0.523196582
582.5494242;0.538055803
596.8499153;0.552845384
614.012326;0.567669809
631.1747367;0.582424575
648.3348706;0.597049968
665.4972813;0.611754971
678.3685202;0.626514706
689.8093684;0.641120222
705.5413885;0.655680964
722.7037992;0.670206881
739.8639331;0.68472285
757.0263438;0.699179126
768.467192;0.713481204
785.6296028;0.727842974
799.9312322;0.742289302
819.9521474;0.756571482
837.1145581;0.770719351
848.5554063;0.784877159
865.717817;0.798796199
881.4481295;0.812287429
897.1807188;0.825455312
917.2027724;0.838130734
934.3651831;0.850249022
947.2358528;0.86185495
958.676701;0.872863951
975.8391117;0.883266054
991.5694242;0.893130912
1008.731835;0.902518245
1025.894246;0.911293713
1043.05438;0.919526964
1054.495228;0.927262784
1070.227817;0.934471307
1085.959268;0.94128685
1104.552069;0.947843722
1117.423308;0.954122024
1134.583442;0.960002371
1147.454681;0.965633997
1163.186701;0.971036798
1180.349112;0.976101339
1197.509246;0.980877363
1214.671656;0.985499178
1228.973286;0.990001606
1244.705306;0.994260286
1261.867147;0.998285166
1279.027851;1.00231502
1296.190261;1.00626031
1311.922281;1.010031495
1323.36313;1.013762884
1340.52554;1.017354987
1357.685674;1.020787911
1374.848085;1.024091498
1392.010496;1.027325441
1406.310987;1.030459897
1420.611478;1.033519739
1436.344067;1.036539783
1453.505909;1.039495158
1472.09871;1.04235602
1483.539558;1.045211908
1500.699692;1.048052872
1512.14054;1.050714757
1525.013487;1.053371667
1542.17419;1.055988782
1557.90621;1.058516356
1575.068621;1.061038956
1586.509469;1.063506838
1597.950317;1.066039386
1613.682337;1.068462495
1627.983397;1.070686628
1643.71371;1.073015225
1660.876121;1.075259258
1673.747359;1.077294362
1688.048989;1.079433928
1700.920228;1.08152375
1718.082638;1.083459365
1730.953308;1.085519341
1746.685897;1.087494751
1759.556567;1.089276159
1772.427237;1.091316237
1781.008442;1.093356315
1793.879681;1.09495367
1808.18131;1.09663559
1822.482371;1.09860105
1838.212683;1.100287943
1849.655808;1.101646522
1865.386121;1.103228952
1878.25679;1.105010359
1891.129737;1.106468428
1904.000406;1.10764793
1918.300897;1.109081127
1934.033487;1.110668532
1942.614692;1.111917675
1955.485362;1.113077276
1964.066567;1.114406009
1975.507415;1.115704897
1988.378654;1.116894348
2002.680284;1.118118619
2015.551522;1.119407556
2028.422761;1.120497516
2038.433219;1.121507887
2049.874067;1.122762004
2061.317192;1.123961402
2071.32765;1.124882231
2084.198888;1.125902551
2095.639737;1.127077079
2111.371757;1.127938217
2122.812605;1.128714787
2135.683844;1.129874388
2145.694301;1.130929527
2152.843978;1.131611584
2164.287103;1.132462771
2178.587594;1.133512935
2190.028442;1.134269607
2201.470429;1.134901919
2211.480886;1.135847622
2221.491344;1.136853019
2231.502371;1.137470408
2238.653755;1.138008205
2250.094603;1.138889238
2261.535451;1.139670782
2268.686835;1.140124014
2278.697862;1.140746379
2291.569101;1.141547823
2304.440339;1.142085619
2313.020406;1.142513979
2318.741969;1.143191062
2328.752426;1.143848248
2337.332493;1.144251735
2345.914837;1.144690044
2354.494904;1.145202969
2364.505362;1.145681074
2374.516388;1.146154203
2385.958944;1.146587537
2393.108621;1.146991025
2401.689826;1.147384564
2410.271031;1.147768154
2415.990317;1.148111948
2423.141701;1.148450768
2433.152728;1.148814459
2438.87429;1.149163228
2446.023967;1.149462251
2456.034424;1.1497563
2463.185808;1.150174711
2473.196835;1.150498607
2478.918397;1.150593679
2490.359246;1.150837985
2496.078531;1.151206651
2501.800094;1.151336544
2507.51938;1.151456488
2513.240942;1.151904745
2518.960228;1.152198795
2524.672683;1.152149608
2530.410183;1.152314321
2538.982281;1.152658115
2546.125697;1.152827802
2553.29188;1.152942772
2559.006612;1.153137332
2566.150027;1.153267225
2573.304826;1.153372246
2580.459625;1.1536265
2587.60304;1.153781265
2589.031723;1.153692283
2593.317772;1.153807253
2599.055272;1.154151047
2604.770005;1.154201349
2610.484737;1.154087494
2614.787862;1.154207438
2620.508286;1.154421896
2624.794335;1.15448712
2629.080384;1.15446778
2633.366433;1.154627519
2639.103933;1.154921568
2644.818665;1.154951972
2650.533397;1.154858016
2656.24813;1.155152066
2659.11688;1.155376473
2661.98563;1.155188002
2667.700362;1.155312921
2673.415094;1.155597022
2673.415094;1.155468244
2679.129826;1.155424032
2683.432951;1.155653414
2684.867326;1.15575346
2689.153375;1.155719196
2692.010741;1.155794371
2696.29679;1.155993905
2696.29679;1.155979539
2702.011522;1.155900505
2703.445897;1.1560105
2706.314647;1.15607075
2707.749022;1.156036487
2710.606388;1.156056942
2713.463755;1.156186834
2716.321121;1.156202315
2719.178487;1.156118307
2719.178487;1.156148712
2723.464536;1.156208962
2724.893219;1.156139878
2724.893219;1.15613546
2724.893219;1.15625043
2730.630719;1.156191294
2729.196344;1.156162005
2730.630719;1.156311796
2733.488085;1.156362098
2736.345451;1.156243269
2736.345451;1.156194082
2736.345451;1.156259308
2737.774134;1.15626484
2739.202817;1.156180832
2739.202817;1.15613662
2742.060183;1.156157075
2739.202817;1.156043221
2740.6315;1.155919417
2742.060183;1.155964744
2740.6315;1.156015046
2740.6315;1.155916115
2740.6315;1.155817184
2740.6315;1.155877434
2739.202817;1.155848145
2736.345451;1.155749214
2736.345451;1.155834336
2736.345451;1.155889612
2736.345451;1.155775758
2736.345451;1.155617134
2732.059402;1.155562973
2730.630719;1.155533684
2729.196344;1.155355162
2726.327594;1.155206486
2726.327594;1.155177197
2724.893219;1.155147908
2722.035853;1.1550639
2720.60717;1.154989841
2719.178487;1.154930705
2714.892438;1.154841723
2713.463755;1.154727869
2712.035072;1.154594117
2707.749022;1.154495186
2704.880272;1.154376357
2702.011522;1.154182912
2702.011522;1.154088955
2696.29679;1.15406464
2694.868107;1.153920939
2690.582058;1.153762315
2689.153375;1.153713128
2684.867326;1.153549529
2681.998576;1.153316288
2679.129826;1.153282025
2673.415094;1.153282582
2671.986411;1.15305929
2667.700362;1.152840972
2661.98563;1.152851478
2656.24813;1.15281224
2651.96208;1.152608846
2649.104714;1.152490016
2644.818665;1.152490574
2637.669558;1.152356822
2631.93775;1.152153427
2627.651701;1.152059471
2621.936969;1.151925718
2616.222237;1.151697452
2610.484737;1.151548776
2609.056054;1.151410049
2604.770005;1.151171834
2599.055272;1.150993312
2593.317772;1.150954074
2587.60304;1.150825296
