H [A/m];B [T]
727.547059;1.396968131
626.8322668;1.382857342
551.6858276;1.368746552
490.7117819;1.354635763
437.278492;1.340524974
393.5896463;1.326414185
354.2391615;1.312303396
319.4757992;1.298192606
291.5666721;1.284081817
264.6618487;1.269971028
240.3244569;1.255860239
219.4011826;1.24174945
198.2373416;1.22763866
179.10825;1.213527871
162.8770765;1.199417082
148.4722341;1.185306293
133.7145384;1.171195504
120.1393883;1.157084714
107.3256981;1.142973925
95.92626182;1.128863136
84.63988993;1.114752347
73.24238909;1.100641558
62.17326373;1.086530768
52.46628671;1.072419979
43.79800181;1.05830919
36.06460669;1.044198401
28.73116698;1.030087612
21.72830683;1.015976822
15.31042946;1.001866033
9.41839672;0.987755244
4.082821006;0.973644455
-0.480413534;0.959533666
-4.78097665;0.945422876
-9.04856848;0.931312087
-13.14018805;0.917201298
-16.66636871;0.903090509
-19.82089235;0.88897972
-22.87809617;0.87486893
-25.81870084;0.860758141
-28.51997485;0.846647352
-30.82209683;0.832536563
-32.77567084;0.818425774
-34.46498938;0.804314984
-35.99965475;0.790204195
-37.32675139;0.776093406
-38.48581828;0.761982617
-39.58250833;0.747871828
-40.62262876;0.733761038
-41.53250721;0.719650249
-42.32033444;0.70553946
-43.14601752;0.691428671
-43.82311779;0.677317882
-44.4251959;0.663207092
-44.99682136;0.649096303
-45.56240948;0.634985514
-46.114045;0.620874725
-46.58577079;0.606763936
-47.01270445;0.592653146
-47.39667358;0.578542357
-47.75924245;0.564431568
-48.11153039;0.550320779
-48.43470615;0.53620999
-48.81191469;0.5220992
-49.19018383;0.507988411
-49.51044725;0.493877622
-49.80427695;0.479766833
-50.06151335;0.465656044
-50.29950919;0.451545254
-50.57086103;0.437434465
-50.88170701;0.423323676
-51.19177825;0.409212887
-51.48182503;0.395102098
-51.72219837;0.380991308
-51.94456295;0.366880519
-52.23280723;0.35276973
-52.50735851;0.338658941
-52.79481148;0.324548152
-53.11647247;0.310437362
-53.38589433;0.296326573
-53.62974902;0.282215784
-53.94559207;0.268104995
-54.32055077;0.253994206
-54.65664543;0.239883416
-54.96124896;0.225772627
-55.26487874;0.211661838
-55.60117142;0.197551049
-55.93272338;0.18344026
-56.25381059;0.16932947
-56.58511957;0.155218681
-56.9409094;0.141107892
-57.30242504;0.126997103
-57.66699793;0.112886314
-58.10048182;9.88E-02
-58.53978002;8.47E-02
-58.94756949;7.06E-02
-59.39335054;5.64E-02
-59.85229742;4.23E-02
-60.32578447;2.82E-02
-60.83706575;1.41E-02
-61.36320389;0.00E+00
-61.8732659;-1.41E-02
-62.40832717;-2.82E-02
-62.98638358;-4.23E-02
-63.57842031;-5.64E-02
-64.17074544;-7.06E-02
-64.82398576;-8.47E-02
-65.53621717;-9.88E-02
-66.23056671;-0.112886314
-66.90584283;-0.126997103
-67.62583412;-0.141107892
-68.39022445;-0.155218681
-69.18949329;-0.16932947
-70.00879109;-0.18344026
-70.82907056;-0.197551049
-71.65797883;-0.211661838
-72.50024707;-0.225772627
-73.35276957;-0.239883416
-74.23636858;-0.253994206
-75.14697814;-0.268104995
-76.0957381;-0.282215784
-77.06777757;-0.296326573
-78.04881836;-0.310437362
-79.04094834;-0.324548152
-80.05363091;-0.338658941
-81.08465346;-0.35276973
-82.14500671;-0.366880519
-83.19732354;-0.380991308
-84.22311129;-0.395102098
-85.28103074;-0.409212887
-86.36466103;-0.423323676
-87.44907283;-0.437434465
-88.60192821;-0.451545254
-89.83042313;-0.465656044
-91.09994745;-0.479766833
-92.41011473;-0.493877622
-93.77662387;-0.507988411
-95.2006721;-0.5220992
-96.64681317;-0.53620999
-98.14106924;-0.550320779
-99.68312111;-0.564431568
-101.2635739;-0.578542357
-102.8518414;-0.592653146
-104.4673525;-0.606763936
-106.2037156;-0.620874725
-108.070563;-0.634985514
