H [A/m];B [T]
800;1.315800717
790;1.315139047
780;1.315980959
770;1.315731
760;1.315551029
750;1.315414
740;1.315263894
730;1.314704455
720;1.314469715
710;1.315053251
700;1.315251843
690;1.31448712
680;1.314462
670;1.314458946
660;1.314302976
650;1.314048219
640;1.313669983
630;1.313424753
620;1.313286398
610;1.312979666
600;1.312398916
590;1.312299225
580;1.312703952
570;1.312849783
560;1.312438526
550;1.311893137
540;1.311301761
530;1.310763474
520;1.310526948
510;1.310379042
500;1.310338
490;1.310338
480;1.310338
470;1.310113024
460;1.309462257
450;1.309041863
440;1.308926508
430;1.308830728
420;1.308583984
410;1.307989701
400;1.307265423
390;1.306537591
380;1.305728455
370;1.304918523
360;1.304224893
350;1.303507146
340;1.3024722
330;1.300675418
320;1.298176081
310;1.295177046
300;1.291286213
290;1.28637667
280;1.280372129
270;1.272540833
260;1.262646247
250;1.250299158
240;1.23359026
230;1.212989103
220;1.188823535
210;1.1585973
200;1.12334894
190;1.084107843
180;1.037887756
170;0.987104963
160;0.93505181
150;0.880367933
140;0.823567744
130;0.766096889
120;0.707255021
110;0.64768006
100;0.588835959
90;0.53107208
80;0.473657367
70;0.415960395
60;0.357643172
50;0.299040894
40;0.240515391
30;0.182301243
20;0.124240237
10;0.066181036
0;0.008016396
-10;-0.050198392
-20;-0.108432936
-30;-0.166671509
-40;-0.224933646
-50;-0.283184543
-60;-0.341382835
-70;-0.399526495
-80;-0.457642273
-90;-0.515757778
-100;-0.573905963
-110;-0.632027812
-120;-0.690045783
-130;-0.748314396
-140;-0.806423349
-150;-0.863452337
-160;-0.920562442
-170;-0.976772923
-180;-1.027610886
-190;-1.072731793
-200;-1.114014049
-210;-1.149310979
-220;-1.178764137
-230;-1.204503283
-240;-1.225202692
-250;-1.240999976
-260;-1.254035281
-270;-1.264175605
-280;-1.271910374
-290;-1.278217157
-300;-1.283012594
-310;-1.286576899
-320;-1.289426419
-330;-1.291596392
-340;-1.293158543
-350;-1.294403587
-360;-1.295697874
-370;-1.297329808
-380;-1.298769987
-390;-1.299371195
-400;-1.299606681
-410;-1.299785938
-420;-1.300006544
-430;-1.300231252
-440;-1.300489176
-450;-1.300828319
-460;-1.301223716
-470;-1.301600392
-480;-1.301950421
-490;-1.302329836
-500;-1.302851801
-510;-1.303439169
-520;-1.303745066
-530;-1.303880739
-540;-1.303999428
-550;-1.304133022
-560;-1.304267554
-570;-1.304396403
-580;-1.30453201
-590;-1.304900291
-600;-1.305699066
-610;-1.305820969
-620;-1.305395759
-630;-1.305327996
-640;-1.30576526
-650;-1.305897
-660;-1.305897
-670;-1.306127645
-680;-1.306840225
-690;-1.307741863
-700;-1.308068976
-710;-1.307547113
-720;-1.307239919
-730;-1.307289075
-740;-1.307832916
-750;-1.308113831
-760;-1.308117
-770;-1.308117
-780;-1.308193452
-790;-1.308581918
-800;-1.309245569
-800;-1.30877659
-790;-1.309310522
-780;-1.308963571
-770;-1.308752
-760;-1.308924611
-750;-1.308945138
-740;-1.308645939
-730;-1.308377377
-720;-1.307825146
-710;-1.308391257
-700;-1.308561223
-690;-1.307567642
-680;-1.307616264
-670;-1.307795459
-660;-1.307376737
-650;-1.307166
-640;-1.307166
-630;-1.307204559
-620;-1.307424145
-610;-1.307274497
-600;-1.306191419
-590;-1.305929242
-580;-1.306120366
-570;-1.306206475
-560;-1.305972153
-550;-1.305604942
-540;-1.305130035
-530;-1.304677624
-520;-1.304628
-510;-1.304628
-500;-1.304603623
-490;-1.304000145
-480;-1.303204232
-470;-1.302843548
-460;-1.302627723
-450;-1.30234975
-440;-1.301882222
-430;-1.301356257
-420;-1.300951336
-410;-1.300648196
-400;-1.300293092
-390;-1.299721125
-380;-1.298898871
-370;-1.297944953
-360;-1.296855133
-350;-1.295581343
-340;-1.29417156
-330;-1.292725345
-320;-1.29098597
-310;-1.288525854
-300;-1.284426524
-290;-1.27897217
-280;-1.272742777
-270;-1.265267236
-260;-1.255972729
-250;-1.244206306
-240;-1.228197522
-230;-1.208283919
-220;-1.184886201
-210;-1.15516469
-200;-1.119872415
-190;-1.080548751
-180;-1.033807449
-170;-0.982083913
-160;-0.929802548
-150;-0.876230775
-140;-0.8209302
-130;-0.764437557
-120;-0.706213024
-110;-0.646741912
-100;-0.587286715
-90;-0.527866867
-80;-0.468361466
-70;-0.409400429
-60;-0.351446318
-50;-0.294075704
-40;-0.236580401
-30;-0.178527375
-20;-0.120208491
-10;-0.061717622
0;-0.003064533
10;0.055830685
20;0.114698402
30;0.173298289
40;0.231745651
50;0.289984586
60;0.347880929
70;0.40522752
80;0.462496377
90;0.52029362
100;0.578886082
110;0.637801062
120;0.696475132
130;0.755303597
140;0.813903191
150;0.870952046
160;0.927041686
170;0.981951124
180;1.032503046
190;1.078208402
200;1.120688047
210;1.156930052
220;1.186310868
230;1.211736314
240;1.232211472
250;1.247935271
260;1.260999751
270;1.271114052
280;1.278474475
290;1.284322976
300;1.288986323
310;1.292804006
320;1.295989371
330;1.298516612
340;1.300610562
350;1.302351199
360;1.303421409
370;1.303944371
380;1.304322137
390;1.30478975
400;1.305369439
410;1.305979732
420;1.306599492
430;1.307260029
440;1.307772918
450;1.308050193
460;1.308256589
470;1.308526529
480;1.308905041
490;1.309314499
500;1.309713647
510;1.310111309
520;1.310452438
530;1.310792664
540;1.310972172
550;1.310973
560;1.310973
570;1.311286393
580;1.312082898
590;1.312196028
600;1.311993567
610;1.311954285
620;1.312280248
630;1.312722015
640;1.313344362
650;1.31351
660;1.31351
670;1.313430035
680;1.313199834
690;1.313709048
700;1.314145
710;1.314145
720;1.314145
730;1.314323062
740;1.315093721
750;1.31478464
760;1.315662672
770;1.31479877
780;1.315414
790;1.315863315
800;1.315731
