H [A/m];M [A/m]
1524.87678351;1104217.30816546
1374.9055130306;1093066.9187713
1211.18579033059;1081916.52937715
1117.33811393824;1070766.13998299
991.582938685611;1059615.75058884
895.723548552732;1048465.36119468
801.718870962223;1037314.97180053
719.377786534785;1026164.58240637
639.812226264471;1015014.19301221
578.805689593035;1003863.80361806
516.884393613632;992713.414223904
468.992715973052;981563.024829749
415.016634468335;970412.635435594
378.060820245117;959262.246041439
342.743680895606;948111.856647284
309.517323769072;936961.467253128
279.589069814855;925811.077858973
252.048748344316;914660.688464818
226.996059310494;903510.299070663
202.565911817739;892359.909676508
181.770382081538;881209.520282352
158.539197204724;870059.130888197
141.781470798109;858908.741494042
120.221835600577;847758.352099887
95.6348638107461;836607.962705731
80.0766175847499;825457.573311576
62.5040087144217;814307.183917421
45.9263032596616;803156.794523266
31.2376067838446;792006.405129111
19.8999832768919;780856.015734955
3.31534610754233;769705.6263408
-5.43424031641463;758555.236946645
-18.7182728921163;747404.84755249
-32.013324052873;736254.458158334
-43.9761273820906;725104.068764179
-57.3550316304684;713953.679370024
-67.0464143885086;702803.289975869
-80.204355465193;691652.900581714
-89.9932577900099;680502.511187558
-100.470751082298;669352.121793403
-109.321025874557;658201.732399248
-119.042691036869;647051.343005093
-126.264071383821;635900.953610937
-136.720800692415;624750.564216782
-145.16743212156;613600.174822627
-153.165914501766;602449.785428472
-161.044568926291;591299.396034317
-168.541007618377;580149.006640161
-175.48834894044;568998.617246006
-183.50376403096;557848.227851851
-188.984752081082;546697.838457696
-195.105658148898;535547.44906354
-201.878274679433;524397.059669385
-207.710245664333;513246.67027523
-212.689067902406;502096.280881075
-217.056672350286;490945.89148692
-222.137150501778;479795.502092764
-226.945673731222;468645.112698609
-230.717398504779;457494.723304454
-234.574393801763;446344.333910299
-238.723201072568;435193.944516144
-242.625695811285;424043.555121988
-245.735493398337;412893.165727833
-248.84529098539;401742.776333678
-252.119738735777;390592.386939523
-255.511745600271;379441.997545367
-258.903752464766;368291.608151212
-261.494503082753;357141.218757057
-263.754849140229;345990.829362902
-266.015195197704;334840.439968747
-268.468316752643;323690.050574591
-271.223535140731;312539.661180436
-273.978753528818;301389.271786281
-276.733971916906;290238.882392126
-279.068488895846;279088.49299797
-281.328522372229;267938.103603815
-283.588555848612;256787.71420966
-285.848589324995;245637.324815505
-287.968628841952;234486.93542135
-290.067088208864;223336.546027194
-292.165547575777;212186.156633039
-294.26400694269;201035.767238884
-296.290283869736;189885.377844729
-298.058491306046;178734.988450574
-299.826698742356;167584.599056418
-301.594906178666;156434.209662263
-303.363113614976;145283.820268108
-305.165175161701;134133.430873953
-307.198881770141;122983.041479797
-309.232588378581;111832.652085642
-311.266294987021;100682.262691487
-313.300001595461;89531.8732973318
-315.333708203901;78381.4839031765
-317.286818813704;67231.0945090213
-319.184736532792;56080.7051148661
-321.082654251881;44930.3157207109
-322.980571970969;33779.9263265557
-324.878489690058;22629.5369324004
-326.781114464017;11479.1475382452
-328.75814409;328.75814409
-328.818747732841;-0
-328.879351375682;-328.75814409
-330.940237998245;-11508.502949101
-333.001124620809;-22688.247754112
-335.062011243373;-33867.9925591229
-337.122897865936;-45047.7373641339
-339.1837844885;-56227.4821691449
-341.244671111064;-67407.2269741559
-343.305557733627;-78586.9717791668
-345.366444356191;-89766.7165841778
-347.427330978755;-100946.461389189
-349.722108732229;-112126.2061942
-352.234056995143;-123305.950999211
-354.746005258057;-134485.695804222
-357.257953520971;-145665.440609233
-359.769901783885;-156845.185414244
-362.127775481442;-168024.930219255
-364.290492158903;-179204.675024266
-366.453208836364;-190384.419829277
-368.615925513826;-201564.164634288
-370.778642191287;-212743.909439299
-373.266552111152;-223923.65424431
-375.985421976818;-235103.39904932
-378.704291842485;-246283.143854331
-381.423161708151;-257462.888659342
-384.189800194781;-268642.633464353
-387.189467309437;-279822.378269364
-390.189134424094;-291002.123074375
-393.188801538751;-302181.867879386
-396.445133053557;-313361.612684397
-400.057771373268;-324541.357489408
-403.67040969298;-335721.102294419
-407.283048012691;-346900.84709943
-410.706875466122;-358080.591904441
-414.106966623212;-369260.336709452
-417.507057780302;-380440.081514463
-421.329354247574;-391619.826319474
-425.458989017371;-402799.571124485
-429.588623787167;-413979.315929496
-433.816522023578;-425159.060734507
-438.146569796746;-436338.805539518
-442.563278930864;-447518.550344529
-448.233565362233;-458698.29514954
-453.903851793601;-469878.039954551
-459.575296164803;-481057.784759562
-465.248350004437;-492237.529564573
-471.144610149648;-503417.274369584
-477.330966875251;-514597.019174595
-483.523296858803;-525776.763979606
-490.33173171803;-536956.508784617
-497.173717927555;-548136.253589628
-505.262527047634;-559315.998394639
-512.913688926344;-570495.74319965
-519.343948999044;-581675.488004661
-526.358462111993;-592855.232809672
-534.872129512824;-604034.977614683
-543.261579627853;-615214.722419694
-551.535518627458;-626394.467224705
-561.712441004174;-637574.212029716
-571.441312513776;-648753.956834727
-580.716808484938;-659933.701639738
-591.42716793859;-671113.446444749
-601.018781119954;-682293.19124976
-609.889867881303;-693472.93605477
-622.061373906352;-704652.680859781
-633.556544565209;-715832.425664792
-644.838650258226;-727012.170469804
-658.479091496559;-738191.915274814
-670.182053715384;-749371.660079825
-682.754403814649;-760551.404884836
-696.396801376757;-771731.149689847
-710.427557743256;-782910.894494858
-727.459861553701;-794090.639299869
-741.792524498571;-805270.38410488
-759.870279283458;-816450.128909891
-776.077401459278;-827629.873714902
-791.932818599303;-838809.618519913
-807.493151578895;-849989.363324924
-823.725146942869;-861169.108129935
-843.117830608512;-872348.852934946
-863.17921653314;-883528.597739957
-882.792422577664;-894708.342544968
-904.743953769301;-905888.087349979
-927.422174595721;-917067.83215499
