M [A/m];k [A/m]
0;322.570402988709
16275.5702975615;322.95535527231
32551.1405951231;323.34030755591
48826.7108926846;323.725259839511
65102.2811902462;324.110212123112
81377.8514878077;324.495164406713
97653.4217853693;324.880116690313
113928.992082931;325.329172157556
130204.562380492;325.803181800577
146480.132678054;326.27763675921
162755.702975615;326.752091717842
179031.273273177;327.226546676475
195306.843570739;327.691088047607
211582.4138683;328.041392129481
227857.984165862;328.389674875811
244133.554463423;329.161807535968
260409.124760985;330.13924548065
276684.695058546;331.120068747121
292960.265356108;332.100892013593
309235.835653669;333.386563528201
325511.405951231;334.921540179303
341786.976248792;336.460491940041
358062.546546354;337.041066137758
374338.116843916;337.187020501619
390613.687141477;337.41007125577
406889.257439039;337.703174424033
423164.8277366;337.997325505327
439440.398034162;337.903462105964
455715.968331723;337.17178896617
471991.538629285;337.052771073989
488267.108926846;337.055814812366
504542.679224408;337.85734928388
520818.24952197;339.336442566698
537093.819819531;342.285137241898
553369.390117093;344.636152504998
569644.960414654;346.978901002755
585920.530712216;347.660113202305
602196.101009777;348.26840085869
618471.671307339;350.12652785825
634747.2416049;352.493403003065
651022.811902462;354.152051440676
667298.382200023;354.499080588328
683573.952497585;357.457356685005
699849.522795147;358.808323983353
716125.093092708;363.876363663712
732400.66339027;359.891158906681
748676.233687831;362.669219521785
764951.803985393;364.526511389606
781227.374282954;365.133732100265
797502.944580516;370.408999397188
813778.514878077;369.624714003776
830054.085175639;374.379550356641
846329.6554732;380.761073529409
862605.225770762;382.023911191936
878880.796068324;388.683499639835
895156.366365885;390.787243542472
911431.936663447;394.332071755699
927707.506961008;405.952496057391
943983.07725857;412.616401131559
960258.647556131;417.613119982347
976534.217853693;424.522327929379
992809.788151254;434.592249148983
1009085.35844882;446.536533518899
1025360.92874638;449.183205001594
1041636.49904394;463.202130841571
1057912.0693415;473.277821004714
1074187.63963906;489.699204268972
1090463.20993662;490.495120818626
1106738.78023419;503.538242680312
1123014.35053175;511.193167884768
1139289.92082931;521.382598788743
1155565.49112687;527.95695636007
1171841.06142443;547.983437819873
1188116.63172199;546.10790214877
1204392.20201955;532.895050146598
1220667.77231712;518.049231264144
1236943.34261468;511.874477904455
1253218.91291224;487.998548421976
1269494.4832098;469.8976499633
1285770.05350736;467.51052829883
1302045.62380492;437.567027203578
1318321.19410249;393.888077474459
1334596.76440005;373.278634451627
1350872.33469761;370.997162187663
1367147.90499517;333.394177521323
1383423.47529273;269.988102428935
1399699.04559029;295.332818189769
1415974.61588785;270.056872834942
1432250.18618542;162.673404612882
1448525.75648298;168.087507670437
1464801.32678054;142.645708074754
1481076.8970781;97.5837191744619
1497352.46737566;122.930596792254
1513628.03767322;109.037305443636
1529903.60797079;67.3026215248716
1546179.17826835;90.6545093766471
1562454.74856591;30.5138442342323
1578730.31886347;-6.86356290213923
1595005.88916103;-49.9051212062897
1611281.45945859;0
