Hanh [A/m];Manh [A/m]
0;0
0.00072407516213957;0
0.0644678636902825;328.64487866
2.84526229535129;14665.6315823562
5.62605672701233;29002.6182860525
8.40685115867333;43339.6049897487
11.2621249976367;57676.5916934449
14.3425494882996;72013.5783971412
17.4229739789625;86350.5651008374
20.5033984696255;100687.551804534
23.5838229602884;115024.53850823
26.6642474509513;129361.525211926
29.7500339036599;143698.511915622
32.9521409913673;158035.498619319
35.8499990639403;172372.485323015
38.7478571365133;186709.472026711
41.6457152090862;201046.458730407
44.5435732816592;215383.445434104
47.4414313542322;229720.4321378
50.2760514159233;244057.418841496
53.520129709481;258394.405545192
56.7737033427173;272731.392248889
60.0272769759536;287068.378952585
63.2808506091899;301405.365656281
67.3383161300707;315742.352359977
71.4036521461651;330079.339063673
75.7395513841935;344416.32576737
80.1551516963611;358753.312471066
85.3401861240872;373090.299174762
90.8772712180609;387427.285878458
96.4143563120345;401764.272582155
101.842064810764;416101.259285851
106.813711218122;430438.245989547
111.78535762548;444775.232693243
116.757004032837;459112.21939694
122.694441260812;473449.206100636
128.98848238561;487786.192804332
135.311019472789;502123.179508028
142.530741119638;516460.166211725
149.902919508221;530797.152915421
157.984604626182;545134.139619117
168.087431023934;559471.126322813
178.459769674236;573808.11302651
187.859627273574;588145.099730206
196.728084542206;602482.086433902
208.472756384686;616819.073137598
220.086095847202;631156.059841294
231.081781722608;645493.046544991
243.529446984771;659830.033248687
258.414257216267;674167.019952383
273.052489905038;688504.006656079
288.754481683481;702840.993359776
305.281597826853;717177.980063472
320.317082584106;731514.966767168
337.685694136879;745851.953470864
355.529102736967;760188.940174561
375.285589678553;774525.926878257
392.428764187668;788862.913581953
409.46215054963;803199.900285649
430.252243504663;817536.886989346
451.543669740802;831873.873693042
472.83055385215;846210.860396738
493.367929536986;860547.847100434
515.82132178222;874884.833804131
540.631856619986;889221.820507827
566.885238967549;903558.807211523
594.666867474181;917895.793915219
619.844516836569;932232.780618915
642.826797703412;946569.767322612
673.1904033961;960906.754026308
706.19929904563;975243.740730004
744.538910237093;989580.7274337
782.068084636114;1003917.7141374
823.123496378601;1018254.70084109
871.742457309033;1032591.68754479
927.381751309715;1046928.67424849
979.853463452364;1061265.66095218
1034.85464196182;1075602.64765588
1088.50745772621;1089939.63435957
1149.50037459745;1104276.62106327
1223.23512143905;1118613.60776697
1305.49679802826;1132950.59447066
1394.47536064401;1147287.58117436
1499.04429353952;1161624.56787806
1591.53479423143;1175961.55458175
1727.78418923489;1190298.54128545
1857.98799901034;1204635.52798914
2028.40733899521;1218972.51469284
2200.70103684572;1233309.50139654
2388.86024881286;1247646.48810023
2629.88621695299;1261983.47480393
2923.9726199044;1276320.46150763
3252.46379050576;1290657.44821132
3622.06947067677;1304994.43491502
4004.49815331756;1319331.42161871
4392.71433310968;1333668.40832241
4919.59036077381;1348005.39502611
5467.48241301392;1362342.3817298
6008.88851360758;1376679.3684335
6614.66501990572;1391016.3551372
7279.96719156757;1405353.34184089
7941.5749344;1419690.32854459
