Hanh [A/m];Manh [A/m]
0;0
0.0351899772752043;5539.35137464008
0.118957889895484;8973.4358621979
0.210365549167829;12407.5203497557
0.299861781172644;15841.6048373135
0.354683715199653;19275.6893248713
0.419970965281373;22709.7738124292
0.514117166292874;26143.858299987
0.609813699712255;29577.9427875448
0.731568228462918;33012.0272751026
0.894902393144079;36446.1117626604
1.07797773749923;39880.1962502183
1.18035058040138;43314.2807377761
1.25314477922658;46748.3652253339
1.31743556118451;50182.4497128917
1.38172634314244;53616.5342004495
1.50723239788461;57050.6186880074
1.59212120078784;60484.7031755652
1.65788362708332;63918.787663123
1.72619585087326;67352.8721506808
1.7945080746632;70786.9566382386
1.869237852298;74221.0411257964
1.94523038064265;77655.1256133543
2.04382149182961;81089.2101009121
2.15704769435823;84523.2945884699
2.28043307525333;87957.3790760277
2.38586252814506;91391.4635635855
2.46498698534324;94825.5480511434
2.54404986475376;98259.6325387012
2.63117025408619;101693.717026259
2.72128193544899;105127.801513817
2.80037200286569;108561.886001375
2.86923993136332;111995.970488932
2.95793038951873;115430.05497649
3.08009271486542;118864.139464048
3.21373514290453;122298.223951606
3.34482659747159;125732.308439164
3.46317290072804;129166.392926722
3.57230438774507;132600.477414279
3.66836257181884;136034.561901837
3.76442075589261;139468.646389395
3.87044171702777;142902.730876953
3.97915630892229;146336.815364511
4.06640665920194;149770.899852068
4.15265172944108;153204.984339626
4.29183928549808;156639.068827184
4.46450612123292;160073.153314742
4.59283426442225;163507.2378023
4.73227348918167;166941.322289858
4.87515694735174;170375.406777415
4.99150368498782;173809.491264973
5.07506797766762;177243.575752531
5.16120141506812;180677.660240089
5.35483142708565;184111.744727647
5.52146221711668;187545.829215204
5.63808498489722;190979.913702762
5.7645050244589;194413.99819032
5.88342295720699;197848.082677878
6.00348724911095;201282.167165436
6.14965103060863;204716.251652994
6.28328032363761;208150.336140551
6.43043217111336;211584.420628109
6.60972314904985;215018.505115667
6.78448020103726;218452.589603225
6.95257018839829;221886.674090783
7.14736730798492;225320.75857834
7.33915767218552;228754.843065898
7.55385010461743;232188.927553456
7.75945195926731;235623.012041014
7.9180083385678;239057.096528572
8.07917624736475;242491.18101613
8.2561323822442;245925.265503687
8.42931506475775;249359.349991245
8.71893000807943;252793.434478803
8.94869097032948;256227.518966361
9.16314435562722;259661.603453919
9.40857627828018;263095.687941476
9.59940347465551;266529.772429034
9.83210196587445;269963.856916592
10.1516179150475;273397.94140415
10.3819656254802;276832.025891708
10.6045513792633;280266.110379266
10.8289562475314;283700.194866823
11.0350435579025;287134.279354381
11.363883960854;290568.363841939
11.6724173713189;294002.448329497
11.8803885458324;297436.532817055
12.2294142024089;300870.617304612
12.5535605218027;304304.70179217
12.8229714194006;307738.786279728
13.26287719202;311172.870767286
13.5042901079816;314606.955254844
13.9657503376263;318041.039742402
14.4161209623327;321475.124229959
14.7365485961924;324909.208717517
15.148141453361;328343.293205075
15.565330381145;331777.377692633
16.0933635255981;335211.462180191
16.6709949984282;338645.546667748
17.430125;342079.631155306
