H [A/m];M [A/m]
17.569875;342771.919155855
15.4042204917929;339373.37250415
14.5635534735252;335974.825852445
13.9193318998044;332576.279200741
13.3330978153373;329177.732549036
12.5823062907597;325779.185897331
11.876131527851;322380.639245626
11.4080571414424;318982.092593921
10.7864280835701;315583.545942217
10.3106291856813;312184.999290512
9.83926008171398;308786.452638807
9.20652864015282;305387.905987102
8.87361549778906;301989.359335398
8.39442793618356;298590.812683693
8.0148566729508;295192.266031988
7.68283811719893;291793.719380283
7.0855278411502;288395.172728578
6.88429085518435;284996.626076874
6.35105636978024;281598.079425169
6.00349478430666;278199.532773464
5.70309040942055;274800.986121759
5.37228419674567;271402.439470055
5.11681283231497;268003.89281835
4.8980971510763;264605.346166645
4.59061533196256;261206.79951494
4.15936291484489;257808.252863235
3.7982048770002;254409.706211531
3.45187698266105;251011.159559826
3.29316146539895;247612.612908121
3.01087821420279;244214.066256416
2.71258543355169;240815.519604712
2.52946195270428;237416.972953007
2.33542399626117;234018.426301302
2.09373963373995;230619.879649597
1.84699811451248;227221.332997893
1.72322154622351;223822.786346188
1.59944497793453;220424.239694483
1.25332463000166;217025.693042778
0.999269788512089;213627.146391073
0.803389621222176;210228.599739369
0.559421005281165;206830.053087664
0.278234768276811;203431.506435959
0.0920036458755492;200032.959784254
-0.0607163054143244;196634.41313255
-0.198980657660334;193235.866480845
-0.336529365412822;189837.31982914
-0.483853084057545;186438.773177435
-0.639433548502896;183040.22652573
-0.878044035585539;179641.679874026
-1.0559903355505;176243.133222321
-1.21950227808977;172844.586570616
-1.3639004389234;169446.039918911
-1.51996762246543;166047.493267207
-1.69135769464835;162648.946615502
-1.86568163372237;159250.399963797
-2.01921274114088;155851.853312092
-2.10817396753591;152453.306660387
-2.19713519393093;149054.760008683
-2.29449593564626;145656.213356978
-2.43900621693358;142257.666705273
-2.58021376796334;138859.120053568
-2.71119623169281;135460.573401864
-2.84034567893397;132062.026750159
-2.95824612807637;128663.480098454
-3.07614657721876;125264.933446749
-3.19345329870028;121866.386795045
-3.31061402207468;118467.84014334
-3.44329141447136;115069.293491635
-3.59490387274268;111670.74683993
-3.78688225735951;108272.200188225
-3.95533054116958;104873.653536521
-4.03781303462064;101475.106884816
-4.1202955280717;98076.5602331111
