M [A/m];k [A/m]
0;12.9974382129053
12007.523903414;12.9962688227461
24015.0478068281;12.995099432587
36022.5717102421;12.9939300424278
48030.0956136562;12.9927606522686
60037.6195170702;12.9915912621094
72045.1434204843;12.9904218719502
84052.6673238983;12.9839110637668
96060.1912273124;12.9633886596762
108067.715130726;12.9428662555857
120075.23903414;12.9223438514952
132082.762937554;12.9018214474046
144090.286840969;12.8985063411497
156097.810744383;12.9093209006004
168105.334647797;12.9217026545903
180112.858551211;12.9340844085802
192120.382454625;12.94646616257
204127.906358039;12.9588479165599
216135.430261453;12.9712296705498
228142.954164867;12.9826859904988
240150.478068281;12.977988902301
252158.001971695;12.9349309285972
264165.525875109;12.8918729548934
276173.049778523;12.8488149811896
288180.573681937;12.8057570074858
300188.097585351;12.7880554365065
312195.621488765;12.8397633738047
324203.145392179;12.9202899278902
336210.669295593;13.0008164819757
348218.193199007;13.0813430360612
360225.717102421;13.1366021700284
372233.241005835;13.1247576409389
384240.764909249;13.126748656864
396248.288812664;13.2259002507235
408255.812716078;13.3250518445831
420263.336619492;13.4242034384426
432270.860522906;13.514561512795
444278.38442632;13.6072557893676
456285.908329734;13.7209941577498
468293.432233148;13.8354003682068
480300.956136562;13.9498065786638
492308.480039976;14.1251041861569
504316.00394339;14.2694792543173
516323.527846804;14.3808736569805
528331.051750218;14.5341684126235
540338.575653632;14.740474755904
552346.099557046;14.9062676308901
564353.62346046;15.0727165652794
576361.147363874;15.2525397803292
588368.671267288;15.4251942736285
600376.195170702;15.5833397690652
612383.719074116;15.7654433013801
624391.24297753;15.9624056395069
636398.766880944;16.155123169988
648406.290784358;16.3259220175714
660413.814687772;16.4261837700384
672421.338591187;16.5017718056553
684428.862494601;16.6358812422961
696436.386398014;16.8574205211796
708443.910301429;16.9632635962231
720451.434204843;17.0575770497764
732458.958108257;17.1196536800096
744466.482011671;17.2244778132369
756474.005915085;17.3725261854439
768481.529818499;17.4678452629509
780489.053721913;17.509637202189
792496.577625327;17.5422248679164
804504.101528741;17.5411287612077
816511.625432155;17.5209604858906
828519.149335569;17.5498897562077
840526.673238983;17.6289926617421
852534.197142397;17.6520983034913
864541.721045811;17.6478917050791
876549.244949225;17.7089774340767
888556.768852639;17.7114057765784
900564.292756053;17.7040361333975
912571.816659467;17.76911013729
924579.340562881;17.8077370402641
936586.864466296;17.8844081576357
948594.38836971;17.8610577644014
960601.912273124;17.8053671588484
972609.436176538;17.8390755095819
984616.960079952;17.824316786645
996624.483983366;17.8285718967338
1008632.00788678;17.6786438200825
1020639.53179019;17.5616551203949
1032647.05569361;17.4905819048021
1044654.57959702;17.3358989311321
1056662.10350044;17.0504642811118
1068669.62740385;16.7935587418149
1080677.15130726;16.5453353327179
1092684.67521068;16.1265038699257
1104692.19911409;15.6753565184921
1116699.72301751;15.0380518014351
1128707.24692092;14.2269790882803
1140714.77082433;12.9650954536488
1152722.29472775;11.4576212331145
1164729.81863116;9.39585746458543
1176737.34253458;5.96327959678228
1188744.86643799;0
