H [A/m];M [A/m]
35.78;151558.507520315
34.8984088175323;150035.292232052
33.9676705778228;148512.076943789
32.9828144212073;146988.861655527
32.0981892296053;145465.646367264
31.3625013922805;143942.431079001
30.7084895316283;142419.215790738
29.9427513633306;140896.000502475
28.8548671771262;139372.785214213
27.874459545395;137849.56992595
27.2761315645573;136326.354637687
26.6385099841764;134803.139349424
25.9030919079042;133279.924061161
25.1893643248047;131756.708772899
24.4893043933225;130233.493484636
23.8161162314123;128710.278196373
23.1310418279921;127187.06290811
22.4343864057053;125663.847619847
21.7900283305516;124140.632331585
21.1550941999402;122617.417043322
20.5431762721379;121094.201755059
19.9404021586285;119570.986466796
19.3515345139721;118047.771178533
18.7682566063423;116524.555890271
18.1927459939483;115001.340602008
17.6172629689313;113478.125313745
17.0418051272097;111954.910025482
16.4696397001649;110431.69473722
15.8994323270356;108908.479448957
15.393049515235;107385.264160694
14.92120887208;105862.048872431
14.459116395113;104338.833584168
14.0249983320791;102815.618295906
13.5908802690452;101292.403007643
13.0834381074315;99769.18771938
12.5450022041424;98245.9724311172
12.0065409860669;96722.7571428544
11.4680656582442;95199.5418545916
11.0206898894211;93676.3265663288
10.638784465626;92153.111278066
10.2568790418308;90629.8959898032
9.86477608165177;89106.6807015405
9.46368844903873;87583.4654132777
9.0626008164257;86060.2501250149
8.66577034960171;84537.0348367521
8.26992869459222;83013.8195484893
7.87424415574159;81490.6042602265
7.49610640654458;79967.3889719637
7.11796865734757;78444.173683701
6.74397194102288;76920.9583954382
6.39931529628548;75397.7431071754
6.05465865154808;73874.5278189126
5.71000200681068;72351.3125306498
5.36350670828674;70828.097242387
5.01637808079129;69304.8819541242
4.66924945329584;67781.6666658614
4.3317689631299;66258.4513775986
4.01892752833981;64735.2360893358
3.70608609354973;63212.020801073
3.39553539493489;61688.8055128103
3.09812032819328;60165.5902245475
2.80070526145168;58642.3749362847
2.50329019471007;57119.1596480219
2.21155737720992;55595.9443597591
1.93008635101479;54072.7290714963
1.64861532481965;52549.5137832335
1.36714429862452;51026.2984949707
1.08655093996619;49503.0832067079
0.810849574281325;47979.8679184452
0.535148208596453;46456.6526301824
0.259446842911584;44933.4373419196
-0.0162529464519264;43410.2220536568
-0.291946224188541;41887.006765394
-0.567639501925154;40363.7914771312
-0.843332779661769;38840.5761888684
-1.10771210914316;37317.3609006056
-1.33580326335112;35794.1456123428
-1.56389441755907;34270.93032408
-1.79198557176703;32747.7150358172
-2.02007672597498;31224.4997475545
-2.24542605688061;29701.2844592917
-2.46618714568704;28178.0691710289
-2.68694823449347;26654.8538827661
-2.90770932329989;25131.6385945033
-3.12847041210632;23608.4233062405
-3.3525239177265;22085.2080179777
-3.60704194356924;20561.9927297149
-3.86155996941199;19038.7774414521
-4.11607799525473;17515.5621531893
-4.37059602109748;15992.3468649266
-4.60699723773924;14469.1315766638
-4.83916557590541;12945.916288401
-5.07133391407158;11422.7010001382
-5.30350225223776;9899.4857118754
-5.53398516556031;8376.27042361261
-5.75102813244825;6853.05513534982
-5.96807109933619;5329.83984708703
-6.18511406622412;3806.62455882424
