Hanh [A/m];Manh [A/m]
0;0
4.69615554246496;4745.80368378971
13.0893434235247;14032.6616040254
22.3020265079684;23319.519524261
30.916455939147;32606.3774444967
40.4925473078042;41893.2353647324
50.0436734952613;51180.0932849681
59.5292839165986;60466.9512052037
67.4582139203708;69753.8091254394
80.2035145824347;79040.6670456751
89.9574563166281;88327.5249659108
100.178131785223;97614.3828861464
110.467330825356;106901.240806382
120.433819033031;116188.098726618
129.782267262094;125474.956646853
139.237439478655;134761.814567089
147.968686132413;144048.672487325
157.182373709728;153335.53040756
166.711898057921;162622.388327796
175.821085315769;171909.246248032
184.726558510999;181196.104168267
194.251514368296;190482.962088503
204.882289165654;199769.820008739
215.752116823453;209056.677928974
227.291983002497;218343.53584921
237.450485014526;227630.393769446
248.863828992271;236917.251689682
259.030044653074;246204.109609917
267.931611543044;255490.967530153
276.479109854115;264777.825450388
285.980574313062;274064.683370624
295.007285513708;283351.54129086
304.902461200761;292638.399211096
315.170064910523;301925.257131331
325.41155117179;311212.115051567
334.430655914543;320498.972971803
343.802881419628;329785.830892038
353.719061404075;339072.688812274
362.658957520832;348359.54673251
372.139926065682;357646.404652745
381.967397984838;366933.262572981
391.481562015634;376220.120493217
401.268774163336;385506.978413452
411.115619556606;394793.836333688
419.804298766202;404080.694253924
429.852318826323;413367.552174159
440.132647941667;422654.410094395
450.642446924383;431941.268014631
460.594044826818;441228.125934866
470.35941131384;450514.983855102
480.456891806396;459801.841775338
490.568541961523;469088.699695573
500.25936042422;478375.557615809
509.641995217113;487662.415536045
519.041939820864;496949.27345628
529.222594287057;506236.131376516
539.458495995933;515522.989296752
548.791960882918;524809.847216987
558.146004903953;534096.705137223
568.176499923415;543383.563057459
577.728938247206;552670.420977694
587.908028812693;561957.27889793
597.651947580793;571244.136818166
607.090648365884;580530.994738401
616.840678843243;589817.852658637
626.865418921085;599104.710578873
637.100562063764;608391.568499108
647.396440996583;617678.426419344
657.372429503971;626965.28433958
667.825226166883;636252.142259815
677.94144033468;645539.000180051
687.238165600333;654825.858100287
698.084760644595;664112.716020522
708.808982624551;673399.573940758
719.509209406759;682686.431860994
729.540460953797;691973.289781229
739.314741322452;701260.147701465
750.143956769154;710547.005621701
762.284052808265;719833.863541937
773.082258051647;729120.721462172
785.231718619865;738407.579382408
797.538341612821;747694.437302643
810.98378873327;756981.295222879
824.661759584155;766268.153143115
839.651652048396;775555.01106335
855.398463941999;784841.868983586
873.432134628971;794128.726903822
893.009707101431;803415.584824058
912.412449770367;812702.442744293
932.686780604337;821989.300664529
956.520617172551;831276.158584764
981.182161170833;840563.016505
1006.78705282362;849849.874425236
1035.14321317742;859136.732345472
1066.32603064646;868423.590265707
1101.7497806482;877710.448185943
1140.71851176926;886997.306106179
1187.64954855382;896284.164026414
1251.41870411631;905571.02194665
1378.69627082318;914857.879866886
1813.689438;924144.737787121
