Hanh [A/m];Manh [A/m]
0;0
0.000479046546102868;0
4.32053163686429;6011.12701241073
10.1460503940059;15314.8637423747
16.5738462465461;24618.6004723388
23.9988782995485;33922.3372023028
31.0709538266902;43226.0739322668
37.8944661544718;52529.8106622308
44.4453878005674;61833.5473921948
51.4677348255456;71137.2841221588
58.3950692087049;80441.0208521228
64.5109163823857;89744.7575820869
71.0398918204533;99048.4943120509
77.7120213618438;108352.231042015
85.1740767522429;117655.967771979
91.5542435139282;126959.704501943
97.4243831175809;136263.441231907
103.975994498275;145567.177961871
110.642496021848;154870.914691835
116.760385569304;164174.651421799
122.95766166371;173478.388151763
129.699348398692;182782.124881727
136.377353590038;192085.861611691
142.831037191953;201389.598341655
149.348272961134;210693.335071619
155.862059399408;219997.071801583
162.498666153636;229300.808531547
169.719981659977;238604.545261511
176.523191555079;247908.281991475
183.016139378663;257212.018721439
189.311278897633;266515.755451403
196.332319075197;275819.492181367
203.591601360658;285123.228911331
209.994381552447;294426.965641295
216.861311286297;303730.702371259
224.187800794345;313034.439101223
230.676966184795;322338.175831187
237.263957025013;331641.912561151
244.69549924634;340945.649291115
252.149825726082;350249.386021079
258.774341596918;359553.122751043
265.042622307073;368856.859481007
271.287722206677;378160.596210971
277.76976266713;387464.332940935
284.356552555289;396768.069670899
291.179488329866;406071.806400863
298.384555789261;415375.543130827
305.49656606497;424679.279860791
312.807270149048;433983.016590755
320.435662194596;443286.753320719
327.489071868401;452590.490050683
334.77452515569;461894.226780647
342.130351368048;471197.963510611
349.257910707423;480501.700240575
355.978497488962;489805.43697054
363.047923585286;499109.173700503
370.560259943147;508412.910430468
378.807782116704;517716.647160432
385.810507153268;527020.383890396
392.837692189455;536324.12062036
400.108274042247;545627.857350324
406.89000916692;554931.594080288
413.116550165261;564235.330810252
420.291098473086;573539.067540216
427.412083087269;582842.80427018
434.629003158715;592146.541000144
442.187336287183;601450.277730108
449.387029121564;610754.014460072
456.78346868683;620057.751190036
464.115718439162;629361.48792
471.85460209637;638665.224649964
479.773281251848;647968.961379928
488.13340176088;657272.698109892
496.392687366715;666576.434839856
504.024365073354;675880.17156982
512.20716796417;685183.908299784
521.104308668851;694487.645029748
530.121440201454;703791.381759712
539.605662743243;713095.118489676
549.827550083182;722398.85521964
560.767823342739;731702.591949604
571.404796130009;741006.328679568
582.030588637167;750310.065409532
593.350786984835;759613.802139496
605.321129414833;768917.53886946
618.378913011492;778221.275599424
632.935830638652;787525.012329388
647.85339188631;796828.749059352
664.683719787115;806132.485789316
683.740502698041;815436.22251928
704.01346645068;824739.959249244
726.218242880073;834043.695979208
750.827159378838;843347.432709172
777.029315114333;852651.169439136
804.443679631328;861954.9061691
834.689228108715;871258.642899064
869.764213210862;880562.379629028
911.93194888045;889866.116358992
961.490180520913;899169.853088956
1031.88726532079;908473.58981892
1220.04039930362;917777.326548884
1803.056744;927081.063278848
