M [A/m];k [A/m]
978.246444380951;8.85995185013961
3662.60471367852;8.85940543472232
6346.96298297609;8.85857378359532
9031.32125227365;8.85733060221468
11715.6795215712;8.85566418721466
14400.0377908688;8.85375058061357
17084.3960601664;8.85128966946447
19768.7543294639;8.8485782166098
22453.1125987615;8.84520847074961
25137.4708680591;8.84154427267467
27821.8291373566;8.83763674919841
30506.1874066542;8.83308156240197
33190.5456759518;8.8285395410587
35874.9039452493;8.82302603867131
38559.2622145469;8.81775695879671
41243.6204838445;8.81120475660319
43927.978753142;8.80522780309986
46612.3370224396;8.79861326892187
49296.6952917372;8.7916089509793
51981.0535610347;8.78419250622971
54665.4118303323;8.77628071495726
57349.7700996299;8.76799498105916
60034.1283689274;8.75906420809415
62718.486638225;8.75019602407281
65402.8449075226;8.73996074664272
68087.2031768202;8.73037104338457
70771.5614461177;8.71966625935425
73455.9197154153;8.70866716140183
76140.2779847129;8.6976259463779
78824.6362540104;8.68551624739474
81508.994523308;8.67378513388006
84193.3527926056;8.66142001786439
86877.7110619031;8.64864394662196
89562.0693312007;8.63569836331999
92246.4276004983;8.62254897747353
94930.7858697958;8.60911581960097
97615.1441390934;8.59524113233852
100299.502408391;8.58097646007193
102983.860677689;8.56778411776922
105668.218946986;8.55349654632043
108352.577216284;8.53882988881302
111036.935485581;8.52434676350397
113721.293754879;8.51076297540972
116405.652024176;8.49695930797528
119090.010293474;8.48272793006618
121774.368562772;8.46828527022728
124458.726832069;8.45445680030903
127143.085101367;8.44116671169544
129827.443370664;8.42807806831779
132511.801639962;8.41519356463637
135196.159909259;8.40255710114102
137880.518178557;8.39022182052864
140564.876447854;8.37819448079987
143249.234717152;8.36647716711304
145933.59298645;8.35505642209215
148617.951255747;8.34389833749078
151302.309525045;8.33294597816771
153986.667794342;8.32181786670093
156671.02606364;8.31009311696172
159355.384332937;8.29862017538015
162039.742602235;8.28710027108926
164724.100871533;8.27414973582058
167408.45914083;8.25935867810311
170092.817410128;8.24445094859124
172777.175679425;8.22721936316323
175461.533948723;8.22138027521182
178145.89221802;8.20785767237858
180830.250487318;8.18636920025841
183514.608756616;8.16638369500766
186198.967025913;8.14773067406295
188883.325295211;8.1303981155569
191567.683564508;8.11443819215208
194252.041833806;8.0994357139808
196936.400103103;8.08539690044359
199620.758372401;8.07229149165478
202305.116641699;8.06009089466103
204989.474910996;8.04857454025757
207673.833180294;8.03678683293179
210358.191449591;8.02632438662551
213042.549718889;8.01521214133432
215726.907988186;8.00460603711191
218411.266257484;7.99411007728445
221095.624526781;7.9838052028452
223779.982796079;7.97294534121057
226464.341065377;7.96203547773973
229148.699334674;7.9504694569524
231833.057603972;7.93777820693545
234517.415873269;7.92549721310685
237201.774142567;7.91179869571687
239886.132411864;7.89689861938091
242570.490681162;7.88150726891153
245254.84895046;7.86466512943931
247939.207219757;7.84651447419387
250623.565489055;7.82565899999446
253307.923758352;7.79962412167271
255992.28202765;7.76242493001359
258676.640296947;7.6968822723257
261360.998566245;7.54914381334558
264045.356835543;7.10295525550699
266729.71510484;0
