H [A/m];M [A/m]
800;1041064.52013756
349.392693507043;1030573.3500137
296.00046883511;1020082.17988985
275.040263377338;1009591.009766
259.880790791103;999099.839642143
249.018609650433;988608.66951829
240.776915581927;978117.499394437
233.999899429855;967626.329270583
227.766369544442;957135.15914673
222.128778048607;946643.989022877
217.238066328971;936152.818899024
212.800482510385;925661.648775171
208.621401536249;915170.478651318
204.884524530275;904679.308527464
201.1476475243;894188.138403611
197.676298368738;883696.968279758
194.32264151597;873205.798155905
190.968984663202;862714.628032052
187.993866514994;852223.457908199
185.172563302336;841732.287784345
182.351260089678;831241.117660492
179.575244460013;820749.947536639
177.025767378081;810258.777412786
174.476290296148;799767.607288933
171.926813214216;789276.437165079
169.383981396222;778785.267041226
166.861713132713;768294.096917373
164.339444869204;757802.92679352
161.817176605696;747311.756669667
159.311896194943;736820.586545814
156.850397224899;726329.41642196
154.388898254854;715838.246298107
151.92739928481;705347.076174254
149.482601089977;694855.906050401
147.098070787243;684364.735926548
144.713540484508;673873.565802695
142.329010181773;663382.395678841
139.945651686222;652891.225554988
137.61144925906;642400.055431135
135.277246831897;631908.885307282
132.943044404735;621417.715183429
130.608841977573;610926.545059575
128.32597151327;600435.374935722
126.061214976286;589944.204811869
123.796458439301;579453.034688016
121.531701902317;568961.864564163
119.282314232898;558470.69444031
117.065039481908;547979.524316456
114.847764730917;537488.354192603
112.630489979927;526997.18406875
110.413215228937;516506.013944897
108.195457464208;506014.843821044
105.977589066414;495523.67369719
103.759720668621;485032.503573337
101.541852270827;474541.333449484
99.3235816244636;464050.163325631
97.1043935327227;453558.993201778
94.8852054409818;443067.823077925
92.6660173492409;432576.652954071
90.4468292575;422085.482830218
88.2301898863956;411594.312706365
86.0141930730665;401103.142582512
83.7981962597375;390611.972458659
81.5821994464084;380120.802334805
79.3603497845463;369629.632210952
77.1238891851951;359138.462087099
74.887428585844;348647.291963246
72.6509679864928;338156.121839393
70.4145073871416;327664.95171554
68.1463843239764;317173.781591686
65.8710578238304;306682.611467833
63.5957313236844;296191.44134398
61.3204048235385;285700.271220127
59.0353640120349;275209.101096274
56.7368908700187;264717.930972421
54.4384177280024;254226.760848567
52.1399445859862;243735.590724714
49.8418153170748;233244.420600861
47.5483279209435;222753.250477008
45.2548405248122;212262.080353155
42.9613531286809;201770.910229302
40.6678657325496;191279.740105448
38.3899992773424;180788.569981595
36.1185504846129;170297.399857742
33.8471016918835;159806.229733889
31.575652899154;149315.059610036
29.3073767112501;138823.889486182
27.046284992294;128332.719362329
24.7851932733378;117841.549238476
22.5241015543816;107350.379114623
20.2630098354255;96859.2089907698
18.007794485948;86368.0388669166
15.7533526497997;75876.8687430634
13.4989108136513;65385.6986192102
11.244468977503;54894.5284953571
8.99282107615913;44403.3583715039
6.74461580711935;33912.1882476507
4.49641053807957;23421.0181237975
2.24820526903978;12929.8479999444
-0;2438.67787609118
-0.520447519804056;-0
-1.04089503960811;-2438.67787609118
-3.29145287578867;-12984.189950053
-5.54201071196924;-23529.7020240149
-7.7925685481498;-34075.2140979767
-10.0431465358155;-44620.7261719386
-12.2947559807405;-55166.2382459004
-14.5463654256654;-65711.7503198623
-16.7979748705903;-76257.2623938241
-19.0495843155152;-86802.774467786
-21.3071421247128;-97348.2865417478
-23.5690447278015;-107893.79861571
-25.8309473308903;-118439.310689672
-28.0928499339791;-128984.822763633
-30.3556785030122;-139530.334837595
-32.6234850660759;-150075.846911557
-34.8912916291395;-160621.358985519
-37.1590981922031;-171166.871059481
-39.4269047552668;-181712.383133443
-41.7007777037888;-192257.895207404
-43.9767021029746;-202803.407281366
-46.2526265021604;-213348.919355328
-48.5285509013461;-223894.43142929
-50.8092366830506;-234439.943503252
-53.0986314108357;-244985.455577214
-55.3880261386207;-255530.967651176
-57.6774208664058;-266076.479725137
-59.9668155941909;-276621.991799099
-62.2778441797933;-287167.503873061
-64.5891909567939;-297713.015947023
-66.9005377337945;-308258.528020985
-69.2118845107951;-318804.040094947
-71.5252993026745;-329349.552168908
-73.8397840795069;-339895.06424287
-76.1542688563393;-350440.576316832
-78.4687536331717;-360986.088390794
-80.776076438446;-371531.600464756
-83.0693974496467;-382077.112538718
-85.3627184608473;-392622.62461268
-87.6560394720479;-403168.136686641
-89.9493604832486;-413713.648760603
-92.2122372111985;-424259.160834565
-94.4744265103739;-434804.672908527
-96.7366158095492;-445350.184982489
-98.9988051087245;-455895.697056451
-101.254089879386;-466441.209130412
-103.503892644234;-476986.721204374
-105.753695409082;-487532.233278336
-108.003498173929;-498077.745352298
-110.254341190482;-508623.25742626
-112.513383404552;-519168.769500222
-114.772425618622;-529714.281574184
-117.031467832692;-540259.793648146
