H [A/m];M [A/m];dM/dH;dM/dlogH [A/m]
0.28513;32853.0212463808;115197.291542203;32846.2037374283
0.296562061760436;34169.9471216449;115194.354747136;34162.2753469735
0.308452482992321;35539.6377556245;115191.177073135;35531.0045870165
0.320819641256018;36964.2041517587;115187.73870455;36954.4890082857
0.333682650945632;38445.8413800704;115184.018185641;38434.9085347546
0.347061392831776;39986.8318756829;115179.992283141;39974.5285481402
0.360976544788833;41589.5488604701;115175.635837014;41575.7030683024
0.375449613754199;43256.4598916268;115170.921598328;43240.8780298072
0.390502968968907;44990.1305409277;115165.82005311;44972.5946544783
0.406159876551013;46793.2282084484;115160.299230884;46773.4929191937
0.42244453545517;48668.5260744528;115154.324496468;48646.3151175642
0.439382114873968;50618.9071931141;115147.858323515;50593.909513394
0.456998793138865;52647.3687316114;115140.860048056;52619.2340829327
0.475321798180804;54757.026358019;115133.28560017;54725.3603419367
0.494379449613078;56951.1187812314;115125.087211689;56915.4772523724
0.514201202501469;59233.0124459233;115116.213097653;59192.8952022283
0.534817692889317;61606.2063852692;115106.607108906;61561.0500503022
0.556260785147881;64074.3372337858;115096.208353055;64023.5072260146
0.578563621225176;66641.1844022311;115084.950780588;66583.965872138
0.6017606718694;69310.6754159676;115072.762732656;69246.2630158713
0.625887789906128;72086.8914175742;115059.566446607;72014.3777508242
0.65098226565161;74974.0728337358;115045.277514873;74892.4354091506
0.677082884547825;77976.6252055572;115029.804292329;77884.7116992219
0.704229987108357;81099.1251803865;115013.047246617;80995.6367797776
0.732465531267771;84346.3266620005;114994.898245264;84229.7992363006
0.761833157230817;87723.1671145353;114975.239772659;87591.9499193753
0.792378254921732;91234.7740138334;114953.944069026;91087.005597785
0.824148034137849;94886.4714378664;114930.872182556;94720.0523710015
0.857191597515976;98683.7867855325;114905.872924662;98496.3487762591
0.891560016424296;102632.457610371;114878.781716965;102421.32851438
0.927306409897089;106738.438552513;114849.419317049;106500.602705658
0.964486026734291;111007.908348397;114817.59040824;110739.961572048
1.00315633089276;115447.27689339;114783.082036496;115145.375424294
1.04337709030123;120063.192327258;114745.661875108;119722.994811939
1.08521046923627;124862.548106398;114705.076294991;124479.149669869
1.12872112440191;129852.490019655;114661.048215038;129420.34726638
1.1739763048616;135040.423096233;114613.27470306;134553.268723986
1.22104595597676;140434.018344447;114561.424293236;139884.763844194
1.27000282751275;146041.21924861;114505.133980569;145421.84392005
1.32092258607921;151870.247937808;114444.005846427;151171.672163926
1.37388393207862;157929.610924437;114377.603261675;157141.551310879
1.42896872134384;164228.104291522;114305.446604916;163338.907877664
1.48626209165259;170774.818185591;114227.008422641;169771.272461452
1.54585259431442;177579.140445452;114141.707945384;176446.25534685
1.60783233103357;184650.75916584;114048.90485874;183371.516550854
1.67229709625926;191999.663957457;113947.892209867;190554.729267425
1.73934652524335;199636.145620285;113837.888308254;198003.535470003
1.80908424803429;207570.793893496;113718.027453192;205725.4921831
1.88161804964535;215814.492881071;113587.349288697;213728.006632983
1.9570600366446;224378.413674849;113444.786548306;222018.258119367
2.03552681042428;233274.003603345;113289.150905778;230603.103998913
2.11713964741721;242512.971421581;113119.116591535;239488.966616748
2.2020246865388;252107.267619823;112933.201366395;248681.697338658
2.29031312414451;262069.058861871;112729.74436118;258186.412991866
2.38214141680385;272410.69535926;112506.88018991;268007.298975773
2.47765149220452;283144.669737528;112262.508621621;278147.372004982
2.57699096851258;294283.565643437;111994.258946901;288608.193831422
2.68031338252766;305839.993963804;111699.447994733;299389.525281236
2.7877784269859;317826.514059912;111375.030537468;310488.907437249
2.89955219737735;330255.536844728;111017.540560607;321901.153679938
3.01580744865931;343139.205816481;110623.021564205;333617.732426528
3.13672386226242;356489.251278729;110186.94370045;345626.015614966
3.26248832380213;370316.811884178;109704.10513866;357908.362088039
3.39329521192476;384632.216290592;109168.514595085;370440.99786844
3.52934669873469;399444.716059249;108573.251499129;383192.646749342
3.67085306226684;414762.158903909;107910.299850408;396122.854656003
3.81803301148762;430590.588960138;107170.351568875;409179.9401427
3.97111402432635;446933.757861109;106342.575264569;422298.492016111
4.13033269926;463792.527098125;105414.347223763;435396.325309455
4.29593512099425;481164.138541238;104370.943650601;448370.802439929
4.46817724080638;499041.326433281;103195.197848447;461094.434386941
4.6473252721376;517411.241358748;101867.134716714;473409.709569229
4.83365610204645;536254.155982803;100363.61019099;485123.176823089
5.027457719159;555541.926174724;98658.0086858506;495998.967324536
5.22902965877744;575236.19354558;96720.0919162947;505752.229229985
5.4386834658349;595286.342865172;94516.1526306553;514043.436566673
5.65674317641213;615627.279574565;92009.7091697966;520475.294509911
5.88354581856015;636177.180373897;89163.0744041154;524595.033580301
6.11944193320306;656835.504505213;85940.2161259872;525906.1623099
6.36479611592595;677481.735965147;82311.324620809;523894.799243245
6.61998758048544;697975.531139023;78259.2905439905;518075.531458819
6.88541074491368;718159.093789678;73787.7149122709;508058.725099578
7.16147584112181;737862.544402378;68929.0547376542;493633.760255073
7.44860954894481;756912.616286294;63750.3113913213;474851.178177601
7.74725565560811;775144.117538943;58353.0705802365;452076.156074836
8.05787574163482;792412.457117706;52865.7153477551;425985.365264847
8.38094989425393;808604.706415018;47428.5081186977;397495.950102021
8.71697744941203;823646.76460798;42175.5613930763;367643.417579739
9.06647776353542;837505.329498753;37219.1451799587;337446.552151892
9.42999101623543;850184.950420706;32640.2741091402;307797.491616654
9.80807904519751;861721.621989708;28486.4307050837;279397.164071003
10.2013262145446;872174.75363763;24774.8054300314;252735.87209362
10.6103403180168;881619.076020633;21498.5639238227;228107.079580397
11.0357535183633;890137.503973587;18633.9806302494;205640.017301388
11.4782233243987;897815.449871166;16147.0280871685;185339.194409858
11.9384336072332;904736.687319377;13998.7153406975;167122.733681474
12.4170956572481;910980.620156114;12148.9800586004;150855.047525641
12.9149492834498;916620.693566132;10559.2493147319;136372.169371065
13.4327639569016;921723.656991229;9193.92952861791;123499.885194312
13.97134;926349.4154;8021.11740416455;112065.7584335
