H [A/m];M [A/m];M1 [A/m];dM/dH;dM1/dH;dM/dlogH [A/m];dM1/dlogH [A/m]
6.95217715626403;3709.16772575772;3709.16772575772;533.525973625873;533.525973625873;3709.16708611532;3709.16708611532
7.40526496424677;3950.90183548594;3950.90183548594;533.525955050587;533.525955050587;3950.90106245241;3950.90106245241
7.88788144463362;4208.39024907525;4208.39024907525;533.525933975107;533.525933975107;4208.38931483306;4208.38931483306
8.40195104226414;4482.65970519755;4482.65970519755;533.525910062802;533.525910062802;4482.65857612708;4482.65857612708
8.94952362204051;4774.80385679827;4774.80385679827;533.525882931876;533.525882931876;4774.80249226884;4774.80249226884
9.53278264281309;5085.9876319512;5085.9876319512;533.525852149066;533.525852149066;5085.98598285868;5085.98598285868
10.1540538639753;5417.45187890246;5417.45187890246;533.525817222729;533.525817222729;5417.44988590102;5417.44988590102
10.8158146194851;5770.51831381751;5770.51831381751;533.525777595062;533.525777595062;5770.51590518483;5770.51590518483
11.5207036962939;6146.59479096038;6146.59479096038;533.525732633192;533.525732633192;6146.59188001512;6146.59188001512
12.271531856573;6547.18091630495;6547.18091630495;533.525681618969;533.525681618969;6547.17739828703;6547.17739828703
13.0712930456957;6973.8740269619;6973.8740269619;533.525623737531;533.525623737531;6973.86977526085;6973.86977526085
13.9231763306661;7428.37556024875;7428.37556024875;533.525558064303;533.525558064303;7428.37042184632;7428.37042184632
14.830578616601;7912.49783778965;7912.49783778965;533.525483550166;533.525483550166;7912.49162775082;7912.49162775082
15.7971181919709;8428.17129168097;8428.17129168097;533.525399004671;533.525399004671;8428.16378649523;8428.16378649523
16.826649156612;8977.45216151818;8977.45216151818;533.525303077004;533.525303077004;8977.44309105184;8977.44309105184
17.9232767900426;9562.53069295511;9562.53069295511;533.52519423432;533.52519423432;9562.51973072295;9562.51973072295
19.0913739213637;10185.7398704587;10185.7398704587;533.525070737245;533.525070737245;10185.7266218668;10185.7266218668
20.3355983660207;10849.5647190514;10849.5647190514;533.524930611953;533.524930611953;10849.5487071838;10849.5487071838
21.6609114989543;11556.6522120902;11556.6522120902;533.524771618559;533.524771618559;11556.6328605294;11556.6328605294
23.0725980382029;12309.8218245441;12309.8218245441;533.524591215137;533.524591215137;12309.7984366034;12309.7984366034
24.5762871178428;13112.0767737932;13112.0767737932;533.524386516965;533.524386516965;13112.0485074119;13112.0485074119
26.1779747342962;13966.6159927031;13966.6159927031;533.524154250156;533.524154250156;13966.5818300973;13966.5818300973
27.8840476555109;14876.846882633;14876.846882633;533.523890699034;533.523890699034;14876.8055936055;14876.8055936055
29.701308888352;15846.3988971296;15846.3988971296;533.52359164633;533.52359164633;15846.3489947106;15846.3489947106
31.6370048057548;16879.1380103484;16879.1380103484;533.523252305263;533.523252305263;16879.0776971636;16879.0776971636
33.6988540418123;17979.1821277469;17979.1821277469;533.522867242322;533.522867242322;17979.1092311682;17979.1092311682
35.8950782700136;19150.9175003205;19150.9175003205;533.52243028951;533.52243028951;19150.8293940499;19150.8293940499
38.2344349873659;20399.0162076152;20399.0162076152;533.521934444585;533.521934444585;20398.9097168552;20398.9097168552
40.7262524351241;21728.4547789672;21728.4547789672;533.521371757593;533.521371757593;21728.3260657334;21728.3260657334
43.3804667953775;23144.5340269024;23144.5340269024;533.520733201804;533.520733201804;23144.3784513063;23144.3784513063
46.2076618118158;24652.9001713982;24652.9001713982;533.520008526822;533.520008526822;24652.7121238445;24652.7121238445
49.2191109926612;26259.5673387664;26259.5673387664;533.519186091383;533.519186091383;26259.3400369461;26259.3400369461
52.4268225640545;27970.9415243139;27970.9415243139;533.5182526729;533.5182526729;27970.6667675665;27970.6667675665
55.8435873531458;29793.8461136374;29793.8461136374;533.517193250453;533.517193250453;29793.5139856869;29793.5139856869
59.4830297918259;31735.5490634898;31735.5490634898;533.515990757356;533.515990757356;31735.1475726353;31735.1475726353
63.3596622444767;33803.7918495906;33803.7918495906;533.514625798854;533.514625798854;33803.3064931038;33803.3064931038
67.4889428763735;36006.8202955835;36006.8202955835;533.51307632982;533.51307632982;36006.2335322215;36006.2335322215
71.8873372934917;38353.4174045833;38353.4174045833;533.511317286464;533.511317286464;38352.7080156671;38352.7080156671
76.5723841995069;40852.9383224193;40852.9383224193;533.50932016512;533.50932016512;40852.0806377013;40852.0806377013
81.5627653317983;43515.3475697908;43515.3475697908;533.507052539988;533.507052539988;43514.3105291784;43514.3105291784
86.8783799553264;46351.2586891251;46351.2586891251;533.504477510368;533.504477510368;46350.0047050136;46350.0047050136
92.5404242114316;49371.9764609673;49371.9764609673;533.501553066219;533.501553066219;49370.4600382055;49370.4600382055
98.571475637958;52589.5418542708;52589.5418542708;533.498231358935;533.498231358935;52587.707915291;52587.707915291
104.99558319773;56016.7798849786;56016.7798849786;533.49445786179;533.49445786179;56014.5617359552;56014.5617359552
111.838363174368;59667.3505678067;59667.3505678067;533.490170401588;533.490170401588;59664.6674273284;59664.6674273284
119.127101317843;63555.8031571529;63555.8031571529;533.485298039489;533.485298039489;63552.5571511297;63552.5571511297
126.890861647052;67697.6338845297;67697.6338845297;533.47975977457;533.47975977457;67693.7063890576;67693.7063890576
135.160602343303;72109.3474118409;72109.3474118409;533.473463038246;533.473463038246;72104.5945984173;72104.5945984173
143.969299196803;76808.5222321253;76808.5222321253;533.46630194093;533.46630194093;76802.7696355458;76802.7696355458
153.352077098416;81813.8802619984;81813.8802619984;533.458155223827;533.458155223827;81806.9161486629;81806.9161486629
163.346350101013;87145.3608828323;87145.3608828323;533.448883858104;533.448883858104;87136.9281436803;87136.9281436803
173.991970608909;92824.1997005421;92824.1997005421;533.438328220145;533.438328220145;92813.9859253448;92813.9859253448
185.331388290283;98873.0123064828;98873.0123064828;533.426304754364;533.426304754364;98860.6376106819;98860.6376106819
197.409819346256;105315.88333407;105315.88333407;533.412602012803;533.412602012803;105300.885400364;105300.885400364
210.275426811576;112178.461116903;112178.461116903;533.396975932037;533.396975932037;112160.276774113;112160.276774113
223.979512605888;119488.058263733;119488.058263733;533.379144170376;533.379144170376;119466.000745426;119466.000745426
238.576722101363;127273.758472813;127273.758472813;533.358779278996;533.358779278996;127246.989264367;127246.989264367
254.125262022446;135566.52991173;135566.52991173;533.335500415208;533.335500415208;135534.023788887;135534.023788887
270.687132546566;144399.345487181;144399.345487181;533.308863218516;533.308863218516;144359.846946289;144359.846946289
288.328374531338;153807.310320007;153807.310320007;533.278347351924;533.278347351924;153759.279064739;153759.279064739
307.119332854074;163827.79672089;163827.79672089;533.243341049762;533.243341049762;163769.33915208;163769.33915208
327.134936913674;174500.586926802;174500.586926802;533.203121791364;533.203121791364;174429.369609392;174429.369609392
348.45499941341;185868.02380099;185868.02380099;533.156831910614;533.156831910614;185781.163550669;185781.163550669
371.164534616004;197975.169610226;197975.169610226;533.103447515571;533.103447515571;197869.092999304;197869.092999304
395.354097340046;210869.972857989;210869.972857989;533.041738470041;533.041738470041;210740.235357392;210740.235357392
421.120144049514;224603.442949892;224603.442949892;532.970216288352;532.970216288352;224444.494257451;224444.494257451
448.56541747625;239229.832165626;239229.832165626;532.8870654715;532.8870654715;239034.708990917;239034.708990917
477.799356309074;254806.823960232;254806.823960232;532.790051837924;532.790051837924;254566.743816038;254566.743816038
508.938531583195;271395.725938499;271395.725938499;532.676398402389;532.676398402389;271099.544011937;271099.544011937
542.107111510019;289061.664814928;289061.664814928;532.542614713007;532.542614713007;288695.138618061;288695.138618061
577.437356600885;307873.779084286;307873.779084286;532.384258218697;532.384258218697;307418.558761727;307418.558761727
615.070147059038;327905.402643876;327905.402643876;532.195594379468;532.195594379468;327337.622499152;327337.622499152
655.155544542834;349234.228645347;349234.228645347;531.969102582082;531.969102582082;348522.507082126;348522.507082126
697.853390540212;371942.436384119;371942.436384119;531.694741468559;531.694741468559;371044.978066235;371044.978066235
743.333943740484;396116.75319364;396116.75319364;531.358828587748;531.358828587748;394977.053595455;394977.053595455
791.778558944958;421848.404597303;421848.404597303;530.942282814617;530.942282814617;420388.715569904;420388.715569904
843.380410223571;449232.872555309;449232.872555309;530.417777625075;530.417777625075;447343.96288331;447343.96288331
898.34526120115;478369.319656252;478369.319656252;529.744960527337;529.744960527337;475893.874934924;475893.874934924
956.892285544822;509359.417047926;509359.417047926;528.862088211743;528.862088211743;506064.052326941;506064.052326941
1019.25494092429;542305.069819251;542305.069819251;527.670689363261;527.670689363261;537830.95731443;537830.95731443
1085.68189992991;577304.009587818;577304.009587818;526.00590948818;526.00590948818;571075.095187488;571075.095187488
1156.43804166064;614441.029540817;614441.029540817;523.575636136389;523.575636136389;605482.783314791;605482.783314791
1231.80550793583;653769.730439374;653769.730439374;519.826992729416;519.826992729416;640325.752817816;640325.752817816
1312.08482834251;695272.071974736;695272.071974736;513.632013607172;513.632013607172;673928.772404985;673928.772404985
1397.59611860437;738761.857962082;738761.857962082;502.490647383341;502.490647383341;702278.978417953;702278.978417953
1488.68035705089;783634.747350281;783634.747350281;480.353089260397;480.353089260397;715092.208430666;715092.208430666
1585.7007442767;828174.394667443;828174.394667443;431.707996575378;431.707996575378;684559.691479779;684559.691479779
1689.04415141263;867888.002695463;867888.002695463;326.153895244458;326.153895244458;550888.329223101;550888.329223101
1799.12266278372;895489.129370019;895489.129370019;178.130172825982;178.130172825982;320478.030856805;320478.030856805
1916.37521910534;909941.779521318;909941.779521318;81.4709236854869;81.4709236854869;156128.85922849;156128.85922849
2041.26936776992;917115.576186476;917115.576186476;39.8772751494709;39.8772751494709;81400.2602327474;81400.2602327474
2174.30312720337;921061.352716657;921061.352716657;21.9452826784338;21.9452826784338;47715.6967550807;47715.6967550807
2316.00697272563;923483.450795103;923483.450795103;13.2854915382425;13.2854915382425;30769.2910386569;30769.2910386569
2466.94595183371;925100.421444959;925100.421444959;8.63002361860485;8.63002361860485;21289.8018301465;21289.8018301465
2627.72193734224;926248.551504143;926248.551504143;5.90632471689355;5.90632471689355;15520.1790276479;15520.1790276479
2798.9760273658;927102.168065551;927102.168065551;4.20541750018069;4.20541750018069;11770.8627680703;11770.8627680703
2981.39110171308;927759.5672106;927759.5672106;3.08786108261486;3.08786108261486;9206.12155503406;9206.12155503406
3175.69454488661;928280.034488585;928280.034488585;2.32340070242921;2.32340070242921;7378.41093629014;7378.41093629014
3382.66114654591;928701.319023433;928701.319023433;1.78318943948745;1.78318943948745;6031.92563388518;6031.92563388518
3603.116191;929048.544313736;929048.544313736;1.3911228068839;1.3911228068839;5012.37710915276;5012.37710915276
