H [A/m];M [A/m];M1 [A/m];dM/dH;dM1/dH;dM/dlogH [A/m];dM1/dlogH [A/m]
1.91931763541973;4950.68211558055;4950.68211558055;2579.39026737217;2579.39026737217;4950.66922879742;4950.66922879742
2.04159504057452;5266.08318423027;5266.08318423027;2579.38894317619;2579.38894317619;5266.06767410126;5266.06767410126
2.17166259131827;5601.57789004687;5601.57789004687;2579.38744486365;2579.38744486365;5601.55922252642;5601.55922252642
2.31001658840435;5958.44633700686;5958.44633700686;2579.38574953744;2579.38574953744;5958.42386932527;5958.42386932527
2.45718495130684;6338.05017536032;6338.05017536032;2579.38383128972;2579.38383128972;6338.02313388928;6338.02313388928
2.61372923261101;6741.83779529769;6741.83779529769;2579.38166080358;2579.38166080358;6741.80524890306;6741.80524890306
2.78024676073814;7171.34985118021;7171.34985118021;2579.3792049064;2579.3792049064;7171.31067915632;7171.31067915632
2.95737291918075;7628.22513734268;7628.22513734268;2579.37642606156;2579.37642606156;7628.17799080769;7628.17799080769
3.14578357094522;8114.20683776561;8114.20683776561;2579.37328179255;2579.37328179255;8114.15009319805;8114.15009319805
3.34619763745258;8631.1491733675;8631.1491733675;2579.3697240354;2579.3697240354;8631.08087668397;8631.08087668397
3.55937984173806;9181.02447212568;9181.02447212568;2579.36569840076;2579.36569840076;9180.94227135827;9180.94227135827
3.78614362641657;9765.93068882157;9765.93068882157;2579.3611433405;2579.3611433405;9765.83175308519;9765.83175308519
4.02735425754815;10388.0994029074;10388.0994029074;2579.35598920659;2579.35598920659;10387.9803248635;10387.9803248635
4.28393212624699;11049.9043247537;11049.9043247537;2579.35015718104;2579.35015718104;11049.7610031881;11049.7610031881
4.55685626063195;11753.8703424241;11753.8703424241;2579.34355806813;2579.34355806813;11753.6978409034;11753.6978409034
4.84716806151923;12502.6831431381;12502.6831431381;2579.33609092674;2579.33609092674;12502.4755198639;12502.4755198639
5.15597527611148;13299.1994456942;13299.1994456942;2579.3276415192;2579.3276415192;13298.9495486639;13298.9495486639
5.48445622484578;14146.4578823581;14146.4578823581;2579.31808055618;2579.31808055618;14146.1571027636;14146.1571027636
5.83386429752913;15047.6905711019;15047.6905711019;2579.30726171033;2579.30726171033;15047.3285464495;15047.3285464495
6.20553273591714;16006.3354215847;16006.3354215847;2579.29501936372;2579.29501936372;16005.8996782496;16005.8996782496
6.60087972098515;17026.0492208871;17026.0492208871;2579.28116605722;2579.28116605722;17025.524743746;17025.524743746
7.02141378430314;18110.721547832;18110.721547832;2579.26548960072;2579.26548960072;18110.0902620599;18110.0902620599
7.46873956416286;19264.4895676162;19264.4895676162;2579.24774979729;2579.24774979729;19263.729714689;19263.729714689
7.94456392842086;20491.753761594;20491.753761594;2579.22767473096;2579.22767473096;20490.8391478524;20490.8391478524
8.45070248742034;21797.1946502702;21797.1946502702;2579.20495655693;2579.20495655693;21796.0937419425;21796.0937419425
8.98908652184354;23185.7905709493;23185.7905709493;2579.1792467282;2579.1792467282;23184.465404183;23184.465404183
9.56177035192909;24662.8365750378;24662.8365750378;2579.15015057969;2579.15015057969;24661.2414429864;24661.2414429864
10.1709391761733;26233.9645136646;26233.9645136646;2579.11722118318;2579.11722118318;26232.0443848753;26232.0443848753
10.8189174094258;27905.1643841328;27905.1643841328;2579.07995237026;2579.07995237026;27902.8529969998;27902.8529969998
11.5081775521949;29682.8070136523;29682.8070136523;2579.03777080922;2579.03777080922;29680.0245802895;29680.0245802895
12.2413496250057;31573.6681608861;31573.6681608861;2578.99002700175;2578.99002700175;31570.3185999313;31570.3185999313
13.0212312038101;33584.954119999;33584.954119999;2578.93598504725;2578.93598504725;33580.9217211259;33580.9217211259
13.8507980947402;35724.3289161176;35724.3289161176;2578.87481099909;2578.87481099909;35719.4743187596;35719.4743187596
14.7332156889376;37999.943185354;37999.943185354;2578.8055596097;2578.8055596097;37994.0985295612;37994.0985295612
15.671851040785;40420.46483675;40420.46483675;2578.72715922991;2578.72715922991;40413.4279142777;40413.4279142777
16.6702857156274;42995.1115976189;42995.1115976189;2578.63839459074;2578.63839459074;42986.6387951143;42986.6387951143
17.732329456006;45733.6855476578;45733.6855476578;2578.53788715179;2578.53788715179;45723.4833297692;45723.4833297692
18.8620347185516;48646.6097508428;48646.6097508428;2578.42407264725;2578.42407264725;48634.3243774216;48634.3243774216
20.0637121370054;51744.9670972728;51744.9670972728;2578.2951753994;2578.2951753994;51730.1722034434;51730.1722034434
21.3419469703706;55040.5414696695;55040.5414696695;2578.14917889368;2578.14917889368;55022.7230576535;55022.7230576535
22.7016165989557;58545.8613509237;58545.8613509237;2577.98379202011;2577.98379202011;58524.3996447626;58524.3996447626
24.1479091350696;62274.2459895846;62274.2459895846;2577.79641027739;2577.79641027739;62248.393484087;62248.393484087
25.6863432193811;66239.8542391776;66239.8542391776;2577.58407110384;2577.58407110384;66208.7091271829;66208.7091271829
27.3227890784816;70457.7361842007;70457.7361842007;2577.34340233863;2577.34340233863;70420.2101649144;70420.2101649144
29.0634909239985;74943.8876599944;74943.8876599944;2577.07056261898;2577.07056261898;74898.6669071805;74898.6669071805
30.9150907787298;79715.3077646172;79715.3077646172;2576.76117227534;2576.76117227534;79660.8055559985;79660.8055559985
32.8846538207122;84790.0594473976;84790.0594473976;2576.41023298334;2576.41023298334;84724.3586117978;84724.3586117978
34.9796953419302;90187.3332396784;90187.3332396784;2576.01203405341;2576.01203405341;90108.1161483343;90108.1161483343
37.2082094245307;95927.5141667572;95927.5141667572;2575.56004276387;2575.56004276387;95831.9774566112;95831.9774566112
39.5786994439654;102032.25184401;102032.25184401;2575.04677554258;2575.04677554258;101917.002383352;101917.002383352
42.1002105154515;108524.533711818;108524.533711818;2574.46364603861;2574.46364603861;108385.461462602;108385.461462602
