H [A/m];M [A/m];M1 [A/m];dM/dH;dM1/dH;dM/dlogH [A/m];dM1/dlogH [A/m]
4.1189694785431;4117.94755596008;4117.94755596008;999.749970411529;999.749970411529;4117.93961429945;4117.93961429945
4.38018282301894;4379.09554044801;4379.09554044801;999.74959195325;999.74959195325;4379.08598999382;4379.08598999382
4.65796157582997;4656.80467639132;4656.80467639132;999.749163968405;999.749163968405;4656.79319123297;4656.79319123297
4.95335626811909;4952.12520229558;4952.12520229558;999.748679975187;999.748679975187;4952.11139049887;4952.11139049887
5.26748405273025;5266.17395521923;5266.17395521923;999.748132643456;999.748132643456;5266.15734544625;5266.15734544625
5.60153292916754;5600.13859332623;5600.13859332623;999.74751368353;999.74751368353;5600.11861875167;5600.11861875167
5.9567662364891;5955.28208604775;5955.28208604775;999.74681372117;999.74681372117;5955.25806501182;5955.25806501182
6.33452743112763;6332.94748875521;6332.94748875521;999.746022154192;999.746022154192;6332.91860149646;6332.91860149646
6.73624516770674;6734.56301997038;6734.56301997038;999.745126992166;999.745126992166;6734.52828063934;6734.52828063934
7.16343870206822;7161.64746021897;7161.64746021897;999.744114676226;999.744114676226;7161.60568323661;7161.60568323661
7.61772363694391;7615.81589287812;7615.81589287812;999.742969870669;999.742969870669;7615.7656524523;7615.7656524523
8.10081803200182;8098.78580860956;8098.78580860956;999.741675232487;999.741675232487;8098.72539006704;8098.72539006704
8.614548901374;8612.38359635635;8612.38359635635;999.740211147562;999.740211147562;8612.31093760064;8612.31093760064
9.16085912323912;9158.55144528418;9158.55144528418;999.73855543287;999.73855543287;9158.46406639111;9158.46406639111
9.74181478759129;9739.35468360932;9739.35468360932;999.736682999748;999.736682999748;9739.2496021444;9739.2496021444
10.3596130099833;10356.9895818294;10356.9895818294;999.734565472968;999.734565472968;10356.8632110038;10356.8632110038
11.0165902407955;11013.7916496298;11013.7916496298;999.732170760145;999.732170760145;11013.6396758055;11013.6396758055
11.7152311014546;11712.2444575088;11712.2444575088;999.72946256301;999.72946256301;11712.0616928587;11712.0616928587
12.4581777810209;12454.9890161256;12454.9890161256;999.726399826304;999.726399826304;12454.7692214161;12454.7692214161
13.2482400286795;13244.8337483727;13244.8337483727;999.722936113133;999.722936113133;13244.569419803;13244.569419803
14.0884057799281;14084.7650913547;14084.7650913547;999.719018897696;999.719018897696;14084.4472041423;14084.4472041423
14.9818524566462;14977.9587676979;14977.9587676979;999.714588765666;999.714588765666;14977.576467644;14977.576467644
15.9319589837838;15927.7917680381;15927.7917680381;999.709578508009;999.709578508009;15927.3320004854;15927.3320004854
16.9423185681131;16937.855089046;16937.855089046;999.703912095742;999.703912095742;16937.302152515;16937.302152515
18.0167522873737;18011.967274018;18011.967274018;999.697503518557;999.697503518557;18011.3022831997;18011.3022831997
19.1593235412016;19154.1888058636;19154.1888058636;999.690255469852;999.690255469852;19153.3890455333;19153.3890455333
20.3743534184956;20368.8374052665;20368.8374052665;999.682057856743;999.682057856743;20367.8755529022;20367.8755529022
21.6664370393386;21660.5042898673;21660.5042898673;999.672786112299;999.672786112299;21659.3474802423;21659.3474802423
23.0404609332769;23034.0714535582;23034.0714535582;999.662299282569;999.662299282569;23032.6801530898;23032.6801530898
24.5016215196804;24494.7300283385;24494.7300283385;999.650437857795;999.650437857795;24493.0566803745;24493.0566803745
26.0554447600752;26047.9997946784;26047.9997946784;999.637021313463;999.637021313463;26045.987188959;26045.987188959
27.7078070567708;27699.7499099651;27699.7499099651;999.621845320628;999.621845320628;27697.3292198772;27697.3292198772
29.4649574768197;29456.2209283585;29456.2209283585;999.604678580086;999.604678580086;29453.3093479922;29453.3093479922
31.3335413853561;31324.0481892109;31324.0481892109;999.585259228145;999.585259228145;31320.546088217;31320.546088217
33.3206255776954;33310.286655124;33310.286655124;999.563290753729;999.563290753729;33306.0741524141;33306.0741524141
35.4337250052385;35422.4372846832;35422.4372846832;999.538437357887;999.538437357887;35417.3701215052;35417.3701215052
37.6808311962583;37668.4750288566;37668.4750288566;999.510318676047;999.510318676047;37662.3795969504;37662.3795969504
40.0704424790507;40056.8785439671;40056.8785439671;999.478503771292;999.478503771292;40049.5458944152;40049.5458944152
42.611596121753;42596.6617179286;42596.6617179286;999.442504292339;999.442504292339;42587.8403398186;42587.8403398186
45.3139025103777;45297.4071100204;45297.4071100204;999.401766672955;999.401766672955;45286.7942237175;45286.7942237175
48.1875814943197;48169.3014077297;48169.3014077297;999.355663229579;999.355663229579;48156.5324636852;48156.5324636852
51.2435010367936;51223.1730069925;51223.1730069925;999.303481989805;999.303481989805;51207.809015416;51207.809015416
54.4932183163706;54470.5318243;54470.5318243;999.244415056053;999.244415056053;54452.0440610636;54452.0440610636
57.9490234350592;57923.6114504244;57923.6114504244;999.177545274624;999.177545274624;57901.3629869041;57901.3629869041
61.6239858982272;61595.4137556062;61595.4137556062;999.101830938953;999.101830938953;61568.6371406751;61568.6371406751
65.5320040421494;65499.7560546362;65499.7560546362;999.016088206472;999.016088206472;65467.5263305188;65467.5263305188
69.6878575961089;69651.3209368166;69651.3209368166;998.918970847578;998.918970847578;69612.5229904776;69612.5229904776
74.1072635778386;74065.7088597818;74065.7088597818;998.80894687145;998.80894687145;74018.997889706;74018.997889706
78.8069357336922;78759.4935967778;78759.4935967778;998.684271482194;998.684271482194;78703.2472009465;78703.2472009465
83.8046477483419;83750.280613336;83750.280613336;998.542955706481;998.542955706481;83682.5406645699;83682.5406645699
89.1193004630562;89056.7684300468;89056.7684300468;998.38272989376;998.38272989376;88975.1704825283;88975.1704825283
94.770993356769;94698.8130018056;94698.8130018056;998.201001115275;998.201001115275;94600.5004454159;94600.5004454159
100.781100560276;100697.49510837;100697.49510837;997.994803267969;997.994803267969;100579.014626783;100579.014626783
107.172351691037;107075.190703705;107075.190703705;997.760738410796;997.760738410796;106932.36476047;106932.36476047
113.968917814284;113855.644108898;113855.644108898;997.494907506104;997.494907506104;113683.41513373;113683.41513373
121.196502855553;121064.043850838;121064.043850838;997.19282828397;997.19282828397;120856.283460655;120856.283460655
128.882440810323;128727.100840303;128727.100840303;996.849337360386;996.849337360386;128476.37571916;128476.37571916
137.055799118427;136873.128440556;136873.128440556;996.458472977587;996.458472977587;136570.41230227;136570.41230227
145.747488594163;145532.123790135;145532.123790135;996.013333736966;996.013333736966;145166.441998463;145166.441998463
154.990380327875;154735.849496701;154735.849496701;995.505907379397;995.505907379397;154293.839203379;154293.839203379
164.819430001082;164517.914492509;164517.914492509;994.926861920229;994.926861920229;163983.278274458;163983.278274458
175.271810085339;174913.85240895;174913.85240895;994.265289105712;994.265289105712;174266.676926581;174266.676926581
186.387050424755;185961.195249537;185961.195249537;993.508386996765;993.508386996765;185177.097824583;185177.097824583
198.207187733871;197699.539364283;197699.539364283;992.641064179226;992.641064179226;196748.593760121;196748.593760121
