H (A/m);J (T)
2296.296296;1.62720403
2261.437908;1.617128463
2235.294118;1.607052897
2200.43573;1.59697733
2165.577342;1.586901763
2130.718954;1.576826196
2078.431373;1.556675063
2017.429194;1.536523929
1965.141612;1.516372796
1921.568627;1.496221662
1869.281046;1.465994962
1816.993464;1.435768262
1747.276688;1.385390428
1703.703704;1.355163728
1668.845316;1.324937028
1642.701525;1.294710327
1616.557734;1.264483627
1590.413943;1.234256927
1564.270153;1.19395466
1538.126362;1.143576826
1511.982571;1.093198992
1485.83878;1.052896725
1459.694989;1.002518892
1433.551198;0.942065491
1407.407407;0.891687657
1381.263617;0.841309824
1355.119826;0.780856423
1320.261438;0.720403023
1285.40305;0.659949622
1259.259259;0.599496222
1233.115468;0.549118388
1206.971678;0.498740554
1180.827887;0.458438287
1154.684096;0.408060453
1119.825708;0.35768262
1084.96732;0.297229219
1050.108932;0.256926952
1006.535948;0.216624685
962.962963;0.186397985
919.3899782;0.166246851
867.1023965;0.146095718
797.3856209;0.115869018
701.5250545;0.095717884
631.8082789;0.085642317
553.3769063;0.075566751
492.3747277;0.065491184
431.372549;0.055415617
344.2265795;0.04534005
213.5076253;0.025188917
100.2178649;0.005037783
-56.64488017;-0.025188917
-169.9346405;-0.04534005
-248.3660131;-0.055415617
-318.0827887;-0.065491184
-405.2287582;-0.075566751
-492.3747277;-0.085642317
-570.8061002;-0.105793451
-684.0958606;-0.125944584
-753.8126362;-0.146095718
-832.2440087;-0.176322418
-884.5315904;-0.206549118
-945.5337691;-0.246851385
-980.3921569;-0.277078086
-1015.250545;-0.317380353
-1050.108932;-0.367758186
-1084.96732;-0.41813602
-1119.825708;-0.468513854
-1154.684096;-0.518891688
-1180.827887;-0.579345088
-1215.686275;-0.639798489
-1250.544662;-0.700251889
-1276.688453;-0.76070529
-1302.832244;-0.811083123
-1328.976035;-0.871536524
-1363.834423;-0.931989924
-1398.69281;-1.002518892
-1433.551198;-1.073047859
-1468.409586;-1.133501259
-1503.267974;-1.19395466
-1538.126362;-1.244332494
-1581.699346;-1.294710327
-1616.557734;-1.335012594
-1660.130719;-1.375314861
-1703.703704;-1.405541562
-1738.562092;-1.425692695
-1782.135076;-1.455919395
-1825.708061;-1.476070529
-1877.995643;-1.506297229
-1930.283224;-1.526448363
-2008.714597;-1.546599496
-2078.431373;-1.576826196
-2130.718954;-1.586901763
-2183.006536;-1.59697733
-2244.008715;-1.607052897
-2296.2963;-1.6272
-2261.43791;-1.61713
-2235.29412;-1.60705
-2200.43573;-1.59698
-2165.57734;-1.5869
-2130.71895;-1.57683
-2078.43137;-1.55668
-2017.42919;-1.53652
-1965.14161;-1.51637
-1921.56863;-1.49622
-1869.28105;-1.46599
-1816.99346;-1.43577
-1747.27669;-1.38539
-1703.7037;-1.35516
-1668.84532;-1.32494
-1642.70153;-1.29471
-1616.55773;-1.26448
-1590.41394;-1.23426
-1564.27015;-1.19395
-1538.12636;-1.14358
-1511.98257;-1.0932
-1485.83878;-1.0529
-1459.69499;-1.00252
-1433.5512;-0.94207
-1407.40741;-0.89169
-1381.26362;-0.84131
-1355.11983;-0.78086
-1320.26144;-0.7204
-1285.40305;-0.65995
-1259.25926;-0.5995
-1233.11547;-0.54912
-1206.97168;-0.49874
-1180.82789;-0.45844
-1154.6841;-0.40806
-1119.82571;-0.35768
-1084.96732;-0.29723
-1050.10893;-0.25693
-1006.53595;-0.21662
-962.96296;-0.1864
-919.38998;-0.16625
-867.1024;-0.1461
-797.38562;-0.11587
-701.52505;-0.09572
-631.80828;-0.08564
-553.37691;-0.07557
-492.37473;-0.06549
-431.37255;-0.05542
-344.22658;-0.04534
-213.50763;-0.02519
-100.21786;-0.00504
56.64488;0.02519
169.93464;0.04534
248.36601;0.05542
318.08279;0.06549
405.22876;0.07557
492.37473;0.08564
570.8061;0.10579
684.09586;0.12594
753.81264;0.1461
832.24401;0.17632
884.53159;0.20655
945.53377;0.24685
980.39216;0.27708
1015.25054;0.31738
1050.10893;0.36776
1084.96732;0.41814
1119.82571;0.46851
1154.6841;0.51889
1180.82789;0.57935
1215.68627;0.6398
1250.54466;0.70025
1276.68845;0.76071
1302.83224;0.81108
1328.97603;0.87154
1363.83442;0.93199
1398.69281;1.00252
1433.5512;1.07305
1468.40959;1.1335
1503.26797;1.19395
1538.12636;1.24433
1581.69935;1.29471
1616.55773;1.33501
1660.13072;1.37531
1703.7037;1.40554
1738.56209;1.42569
1782.13508;1.45592
1825.70806;1.47607
1877.99564;1.5063
1930.28322;1.52645
2008.7146;1.5466
2078.43137;1.57683
2130.71895;1.5869
2183.00654;1.59698
2244.00871;1.60705
