time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,23,13,1,1
2026-04-01 00:00:00+00:00,17,8,1,1
2026-04-02 00:00:00+00:00,11,6,0,0
2026-04-03 00:00:00+00:00,14,10,10,3
2026-04-04 00:00:00+00:00,14,9,4,1
2026-04-05 00:00:00+00:00,12,6,10,2
2026-04-06 00:00:00+00:00,25,18,61,4
2026-04-07 00:00:00+00:00,12,8,1,1
2026-04-08 00:00:00+00:00,28,13,4,1
2026-04-09 00:00:00+00:00,13,7,6,2
2026-04-10 00:00:00+00:00,19,7,9,4
2026-04-11 00:00:00+00:00,37,13,14,2
2026-04-12 00:00:00+00:00,32,11,0,0
2026-04-13 00:00:00+00:00,117,59,21,2
