time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,21,7,0,0
2026-03-07 00:00:00+00:00,17,7,46,3
2026-03-08 00:00:00+00:00,21,8,20,3
2026-03-09 00:00:00+00:00,31,14,12,5
2026-03-10 00:00:00+00:00,22,8,19,9
2026-03-11 00:00:00+00:00,20,9,1,1
2026-03-12 00:00:00+00:00,5,4,0,0
2026-03-13 00:00:00+00:00,39,11,31,2
2026-03-14 00:00:00+00:00,7,6,4,3
2026-03-15 00:00:00+00:00,15,6,1,1
2026-03-16 00:00:00+00:00,79,17,7,2
2026-03-17 00:00:00+00:00,15,6,3,1
2026-03-18 00:00:00+00:00,16,6,1,1
2026-03-19 00:00:00+00:00,9,4,1,1
