time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-29 00:00:00+00:00,0,0,1,1
2024-07-01 00:00:00+00:00,1,1,1,1
2024-07-03 00:00:00+00:00,5,2,2,2
2024-07-04 00:00:00+00:00,0,0,13,1
2024-07-05 00:00:00+00:00,0,0,29,3
2024-07-07 00:00:00+00:00,1,1,1,1
2024-07-08 00:00:00+00:00,3,3,22,2
2024-07-09 00:00:00+00:00,1,1,3,1
2024-07-10 00:00:00+00:00,2,2,80,2
2024-07-11 00:00:00+00:00,2,1,41,10
2024-07-14 00:00:00+00:00,3,1,9,4
2024-07-15 00:00:00+00:00,0,0,6,2
2024-07-16 00:00:00+00:00,0,0,2,1
2024-07-17 00:00:00+00:00,0,0,47,21
2024-07-18 00:00:00+00:00,0,0,17,7
2024-07-19 00:00:00+00:00,3,2,43,9
2024-07-20 00:00:00+00:00,0,0,1,1
2024-07-21 00:00:00+00:00,1,1,6,3
2024-07-22 00:00:00+00:00,11,9,23,6
2024-07-23 00:00:00+00:00,0,0,1,1
2024-07-24 00:00:00+00:00,3,3,3,2
2024-07-25 00:00:00+00:00,0,0,6,3
2024-07-26 00:00:00+00:00,0,0,10,2
2024-07-27 00:00:00+00:00,1,1,2,1
2024-07-28 00:00:00+00:00,3,1,2,2
2024-07-29 00:00:00+00:00,0,0,8,2
2024-07-30 00:00:00+00:00,0,0,5,2
2024-07-31 00:00:00+00:00,2,1,1,1
2024-08-02 00:00:00+00:00,0,0,57,8
2024-08-03 00:00:00+00:00,0,0,5,3
2024-08-05 00:00:00+00:00,4,2,0,0
2024-08-06 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,2,1,1,1
2024-08-09 00:00:00+00:00,4,2,22,2
2024-08-10 00:00:00+00:00,0,0,7,3
2024-08-11 00:00:00+00:00,2,1,7,1
2024-08-12 00:00:00+00:00,0,0,12,4
2024-08-13 00:00:00+00:00,0,0,4,2
2024-08-16 00:00:00+00:00,2,2,14,2
2024-08-18 00:00:00+00:00,0,0,7,2
2024-08-19 00:00:00+00:00,3,3,0,0
2024-08-21 00:00:00+00:00,2,1,3,1
2024-08-22 00:00:00+00:00,0,0,1,1
2024-08-23 00:00:00+00:00,0,0,1,1
2024-08-24 00:00:00+00:00,5,3,0,0
2024-08-27 00:00:00+00:00,2,1,0,0
2024-08-28 00:00:00+00:00,0,0,5,5
2024-08-30 00:00:00+00:00,3,2,8,1
2024-08-31 00:00:00+00:00,0,0,3,2
2024-09-01 00:00:00+00:00,1,1,2,2
2024-09-02 00:00:00+00:00,1,1,1,1
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,1,1,3,1
2024-09-06 00:00:00+00:00,0,0,6,3
2024-09-07 00:00:00+00:00,2,1,0,0
2024-09-09 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,4,3,0,0
2024-09-12 00:00:00+00:00,0,0,3,1
2024-09-14 00:00:00+00:00,1,1,3,1
2024-09-15 00:00:00+00:00,1,1,0,0
2024-09-16 00:00:00+00:00,2,1,2,1
2024-09-17 00:00:00+00:00,0,0,2,1
2024-09-18 00:00:00+00:00,0,0,3,2
2024-09-19 00:00:00+00:00,0,0,1,1
2024-09-20 00:00:00+00:00,2,1,2,1
2024-09-21 00:00:00+00:00,2,1,0,0
2024-09-22 00:00:00+00:00,0,0,3,1
2024-09-27 00:00:00+00:00,2,1,2,2
2024-09-29 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,1,1,0,0
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,1,1,0,0
2024-10-05 00:00:00+00:00,2,1,1,1
2024-10-07 00:00:00+00:00,1,1,1,1
2024-10-08 00:00:00+00:00,3,1,6,1
2024-10-10 00:00:00+00:00,1,1,0,0
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,2,1,0,0
2024-10-13 00:00:00+00:00,2,1,0,0
2024-10-14 00:00:00+00:00,0,0,13,2
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,0,0,7,2
2024-10-17 00:00:00+00:00,3,1,4,2
2024-10-18 00:00:00+00:00,2,1,1,1
2024-10-19 00:00:00+00:00,0,0,3,2
2024-10-21 00:00:00+00:00,3,1,2,2
2024-10-22 00:00:00+00:00,1,1,0,0
2024-10-23 00:00:00+00:00,1,1,12,2
2024-10-25 00:00:00+00:00,1,1,0,0
2024-10-26 00:00:00+00:00,1,1,3,2
2024-10-27 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,3,2,0,0
2024-10-31 00:00:00+00:00,0,0,3,2
2024-11-04 00:00:00+00:00,4,2,8,2
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,2,1,2,2
2024-11-09 00:00:00+00:00,1,1,0,0
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,4,3
2024-11-12 00:00:00+00:00,0,0,8,3
2024-11-13 00:00:00+00:00,0,0,2,2
2024-11-15 00:00:00+00:00,1,1,7,5
2024-11-16 00:00:00+00:00,4,1,1,1
2024-11-18 00:00:00+00:00,0,0,3,3
2024-11-20 00:00:00+00:00,0,0,2,2
2024-11-21 00:00:00+00:00,2,1,3,1
2024-11-22 00:00:00+00:00,2,2,0,0
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-24 00:00:00+00:00,4,2,3,2
2024-11-25 00:00:00+00:00,2,2,0,0
2024-11-26 00:00:00+00:00,3,1,3,2
2024-11-27 00:00:00+00:00,1,1,1,1
2024-11-28 00:00:00+00:00,1,1,2,2
2024-11-30 00:00:00+00:00,1,1,0,0
2024-12-01 00:00:00+00:00,2,1,3,1
2024-12-02 00:00:00+00:00,3,3,3,1
2024-12-04 00:00:00+00:00,1,1,9,1
2024-12-06 00:00:00+00:00,4,2,0,0
2024-12-08 00:00:00+00:00,1,1,0,0
2024-12-09 00:00:00+00:00,3,1,0,0
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,2,1,0,0
2024-12-12 00:00:00+00:00,2,2,0,0
2024-12-13 00:00:00+00:00,3,1,2,2
2024-12-14 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,3,2,0,0
2024-12-16 00:00:00+00:00,0,0,2,1
2024-12-18 00:00:00+00:00,0,0,1,1
